Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-05,19.571532,[ 6 26] ; [11  1],[12.36363636 19.63636364] ; [4.63636364 7.36363636],1
b5,1,0.622101,0.242926,[16 16] ; [7 5],[16.72727273 15.27272727] ; [6.27272727 5.72727273],0
v4,1,0.622101,0.242926,[16 16] ; [7 5],[16.72727273 15.27272727] ; [6.27272727 5.72727273],0
s5,1,0.647141,0.209524,[ 6 26] ; [3 9],[ 6.54545455 25.45454545] ; [2.45454545 9.54545455],0
r1,1,0.654301,0.200521,[11 21] ; [5 7],[11.63636364 20.36363636] ; [4.36363636 7.63636364],0
p3,1,0.654301,0.200521,[11 21] ; [5 7],[11.63636364 20.36363636] ; [4.36363636 7.63636364],0
b4,1,0.658202,0.195715,[19 13] ; [8 4],[19.63636364 12.36363636] ; [7.36363636 4.63636364],0
p6,1,0.683162,0.166588,[ 6 25] ; [3 9],[ 6.48837209 24.51162791] ; [2.51162791 9.48837209],0
n2,1,0.756495,0.096154,[8 5] ; [1 1],[7.8 5.2] ; [1.2 0.8],0
n3,1,0.756495,0.096154,[8 5] ; [1 1],[7.8 5.2] ; [1.2 0.8],0
s3,1,0.80401,0.061584,[10 21] ; [4 7],[10.33333333 20.66666667] ; [3.66666667 7.33333333],0
a5,1,0.853364,0.034161,[15 17] ; [6 6],[15.27272727 16.72727273] ; [5.72727273 6.27272727],0
a7,1,0.901116,0.015439,[14 18] ; [5 7],[13.81818182 18.18181818] ; [5.18181818 6.81818182],0
s1,1,0.914754,0.011458,[ 3 29] ; [ 1 11],[ 2.90909091 29.09090909] ; [ 1.09090909 10.90909091],0
p12,1,0.914754,0.011458,[ 3 29] ; [ 1 11],[ 2.90909091 29.09090909] ; [ 1.09090909 10.90909091],0
