Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3.5e-05,17.124774,[36  8] ; [ 8 17],[28.05797101 15.94202899] ; [15.94202899  9.05797101],1
v4,1,0.21896,1.511172,[43  2] ; [21  3],[41.73913043  3.26086957] ; [22.26086957  1.73913043],0
p12,1,0.244824,1.352603,[ 1 43] ; [ 2 22],[ 1.94117647 42.05882353] ; [ 1.05882353 22.94117647],0
a1,1,0.252774,1.307905,[ 1 44] ; [ 2 23],[ 1.92857143 43.07142857] ; [ 1.07142857 23.92857143],0
r3,1,0.262144,1.257397,[43  1] ; [23  2],[42.08695652  1.91304348] ; [23.91304348  1.08695652],0
p4,1,0.305569,1.049731,[19 25] ; [14 11],[21.04347826 22.95652174] ; [11.95652174 13.04347826],0
b2,1,0.3123,1.020924,[ 4 19] ; [ 5 11],[ 5.30769231 17.69230769] ; [ 3.69230769 12.30769231],0
b3,1,0.3123,1.020924,[ 4 19] ; [ 5 11],[ 5.30769231 17.69230769] ; [ 3.69230769 12.30769231],0
s5,1,0.368358,0.809197,[11 30] ; [ 9 15],[12.61538462 28.38461538] ; [ 7.38461538 16.61538462],0
s8,1,0.431363,0.619152,[19 26] ; [13 12],[20.57142857 24.42857143] ; [11.42857143 13.57142857],0
s6,1,0.467968,0.52677,[32 13] ; [19  5],[33.26086957 11.73913043] ; [17.73913043  6.26086957],0
a5,1,0.486759,0.483683,[29 16] ; [14 11],[27.64285714 17.35714286] ; [15.35714286  9.64285714],0
s3,1,0.50157,0.451613,[39  6] ; [23  2],[39.85714286  5.14285714] ; [22.14285714  2.85714286],0
p6,1,0.516837,0.4202,[14 29] ; [ 6 18],[12.8358209 30.1641791] ; [ 7.1641791 16.8358209],0
p1,1,0.539157,0.377104,[ 2 43] ; [ 2 23],[ 2.57142857 42.42857143] ; [ 1.42857143 23.57142857],0
b4,1,0.590544,0.289495,[24 21] ; [15 10],[25.07142857 19.92857143] ; [13.92857143 11.07142857],0
n4,1,0.640995,0.217443,[19 26] ; [12 13],[19.92857143 25.07142857] ; [11.07142857 13.92857143],0
p10,1,0.641649,0.216592,[31 12] ; [16  8],[30.1641791 12.8358209] ; [16.8358209  7.1641791],0
s1,1,0.656985,0.197206,[ 3 41] ; [ 1 23],[ 2.58823529 41.41176471] ; [ 1.41176471 22.58823529],0
p3,1,0.662747,0.190204,[17 27] ; [11 14],[17.85507246 26.14492754] ; [10.14492754 14.85507246],0
u2,1,0.768458,0.086667,[12  4] ; [8 2],[12.30769231  3.69230769] ; [7.69230769 2.30769231],0
p7,1,0.775646,0.081224,[22 19] ; [12 12],[21.44615385 19.55384615] ; [12.55384615 11.44615385],0
a4,1,0.785495,0.074074,[13 32] ; [ 8 17],[13.5 31.5] ; [ 7.5 17.5],0
n2,1,0.854632,0.033566,[11  2] ; [9 2],[10.83333333  2.16666667] ; [9.16666667 1.83333333],0
a3,1,0.854783,0.033496,[28 17] ; [15 10],[27.64285714 17.35714286] ; [15.35714286  9.64285714],0
p11,1,0.856484,0.032707,[26 19] ; [15 10],[26.35714286 18.64285714] ; [14.64285714 10.35714286],0
d2,1,0.872848,0.025614,[15 29] ; [ 9 16],[15.30434783 28.69565217] ; [ 8.69565217 16.30434783],0
v3,1,0.874506,0.024944,[12 30] ; [ 7 16],[12.27692308 29.72307692] ; [ 6.72307692 16.27692308],0
s7,1,0.935526,0.006544,[23 20] ; [12 10],[23.15384615 19.84615385] ; [11.84615385 10.15384615],0
s4,1,0.937127,0.006222,[13 32] ; [ 7 18],[12.85714286 32.14285714] ; [ 7.14285714 17.85714286],0
v2,1,0.941563,0.005374,[21 20] ; [12 11],[21.140625 19.859375] ; [11.859375 11.140625],0
n5,1,0.947458,0.004343,[19 25] ; [11 14],[19.13043478 24.86956522] ; [10.86956522 14.13043478],0
p8,1,0.98118,0.000556,[15 27] ; [ 9 16],[15.04477612 26.95522388] ; [ 8.95522388 16.04477612],0
