Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,111.616237,[166   3] ; [81 91],[122.41348974  46.58651026] ; [124.58651026  47.41348974],1
s8,1,0.015965,5.806676,[ 52 118] ; [ 33 138],[ 42.37536657 127.62463343] ; [ 42.62463343 128.37536657],0
p10,1,0.017521,5.643382,[140  29] ; [121  47],[130.88724036  38.11275964] ; [130.11275964  37.88724036],0
r3,1,0.022213,5.228996,[156  14] ; [143  28],[149.06158358  20.93841642] ; [149.93841642  21.06158358],0
v2,1,0.023878,5.103455,[94 72] ; [72 91],[83.75683891 82.24316109] ; [82.24316109 80.75683891],0
p8,1,0.024616,5.050722,[94 72] ; [74 93],[83.74774775 82.25225225] ; [84.25225225 82.74774775],0
v1,1,0.025606,4.982424,[96 74] ; [74 93],[85.75667656 84.24332344] ; [84.24332344 82.75667656],0
p4,1,0.02871,4.784914,[102  67] ; [83 88],[91.95588235 77.04411765] ; [93.04411765 77.95588235],0
v4,1,0.032949,4.548429,[159  11] ; [149  23],[153.0994152  16.9005848] ; [154.9005848  17.0994152],0
s5,1,0.045719,3.991913,[ 39 128] ; [ 25 144],[ 31.80952381 135.19047619] ; [ 32.19047619 136.80952381],0
b4,1,0.05496,3.683299,[107  64] ; [90 82],[98.21282799 72.78717201] ; [98.78717201 73.21282799],0
p3,1,0.058965,3.56626,[86 83] ; [ 70 102],[77.31378299 91.68621701] ; [78.68621701 93.31378299],0
p7,1,0.092336,2.833167,[106  61] ; [92 77],[98.41071429 68.58928571] ; [99.58928571 69.41071429],0
p6,1,0.095238,2.783529,[ 57 112] ; [ 43 126],[ 50. 119.] ; [ 50. 119.],0
s4,1,0.125322,2.349519,[ 13 155] ; [ 22 150],[ 17.29411765 150.70588235] ; [ 17.70588235 154.29411765],0
p11,1,0.136516,2.216802,[136  35] ; [125  47],[130.11953353  40.88046647] ; [130.88046647  41.11953353],0
u3,1,0.166219,1.91672,[20 16] ; [36 50],[16.52459016 19.47540984] ; [39.47540984 46.52459016],0
p9,1,0.169708,1.885522,[140  28] ; [130  38],[135.  33.] ; [135.  33.],0
p2,1,0.241368,1.372587,[134  34] ; [128  44],[129.45882353  38.54117647] ; [132.54117647  39.45882353],0
n2,1,0.261339,1.261649,[23 13] ; [39 13],[25.36363636 10.63636364] ; [36.63636364 15.36363636],0
s1,1,0.26179,1.259264,[  2 166] ; [  5 166],[  3.46902655 164.53097345] ; [  3.53097345 167.46902655],0
b2,1,0.504246,0.445989,[44 67] ; [33 61],[41.69268293 69.30731707] ; [35.30731707 58.69268293],0
b3,1,0.504246,0.445989,[44 67] ; [33 61],[41.69268293 69.30731707] ; [35.30731707 58.69268293],0
b5,1,0.542696,0.370567,[101  70] ; [96 76],[98.21282799 72.78717201] ; [98.78717201 73.21282799],0
u4,1,0.55857,0.342185,[  2 169] ; [  1 171],[  1.49562682 169.50437318] ; [  1.50437318 170.49562682],0
n3,1,0.56822,0.32567,[22 12] ; [36 15],[23.2 10.8] ; [34.8 16.2],0
s3,1,0.7252,0.123564,[ 39 131] ; [ 42 129],[ 40.38123167 129.61876833] ; [ 40.61876833 130.38123167],0
a8,1,0.756045,0.096521,[ 20 126] ; [ 20 140],[ 19.08496732 126.91503268] ; [ 20.91503268 139.08496732],0
s6,1,0.782641,0.076109,[78 90] ; [81 88],[79.26409496 88.73590504] ; [79.73590504 89.26409496],0
s7,1,0.783364,0.075591,[ 45 118] ; [ 42 118],[ 43.90402477 119.09597523] ; [ 43.09597523 116.90402477],0
b1,1,0.858643,0.03172,[ 66 105] ; [ 68 104],[ 66.80466472 104.19533528] ; [ 67.19533528 104.80466472],0
n1,1,0.858938,0.031587,[16 18] ; [23 28],[15.6 18.4] ; [23.4 27.6],0
u2,1,0.88012,0.022746,[17 18] ; [40 45],[16.625 18.375] ; [40.375 44.625],0
p12,1,0.979416,0.000666,[  9 159] ; [  9 161],[  8.94674556 159.05325444] ; [  9.05325444 160.94674556],0
p1,1,0.986663,0.000279,[ 15 156] ; [ 15 157],[ 14.95626822 156.04373178] ; [ 15.04373178 156.95626822],0
a1,1,0.989861,0.000161,[  9 162] ; [  9 163],[  8.97376093 162.02623907] ; [  9.02623907 162.97376093],0
p5,1,1.0,0.0,[ 20 150] ; [ 20 150],[ 20. 150.] ; [ 20. 150.],0
