Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.001931,9.61392,[13  6] ; [32 71],[ 7.00819672 11.99180328] ; [37.99180328 65.00819672],0
s3,1,0.358079,0.844618,[ 7 11] ; [29 74],[ 5.3553719 12.6446281] ; [30.6446281 72.3553719],0
u2,1,0.359809,0.838561,[5 1] ; [14  8],[4.07142857 1.92857143] ; [14.92857143  7.07142857],0
a4,1,0.432372,0.616444,[ 6 13] ; [42 60],[ 7.53719008 11.46280992] ; [40.46280992 61.53719008],0
d3,1,0.445559,0.581923,[12  7] ; [74 29],[13.39344262  5.60655738] ; [72.60655738 30.39344262],0
b2,1,0.447117,0.577949,[4 8] ; [36 44],[5.2173913 6.7826087] ; [34.7826087 45.2173913],0
b3,1,0.447117,0.577949,[4 8] ; [36 44],[5.2173913 6.7826087] ; [34.7826087 45.2173913],0
r4,1,0.473503,0.51379,[15  4] ; [88 15],[16.04098361  2.95901639] ; [86.95901639 16.04098361],0
s4,1,0.520803,0.412304,[ 3 16] ; [11 92],[ 2.18032787 16.81967213] ; [11.81967213 91.18032787],0
n3,1,0.532706,0.389227,[5 2] ; [17 12],[4.27777778 2.72222222] ; [17.72222222 11.27777778],0
s8,1,0.545399,0.365625,[ 9 10] ; [56 46],[10.20661157  8.79338843] ; [54.79338843 47.20661157],0
a7,1,0.55966,0.340294,[12  7] ; [72 31],[13.08196721  5.91803279] ; [70.91803279 32.08196721],0
a8,1,0.604393,0.26842,[ 2 16] ; [14 74],[ 2.71698113 15.28301887] ; [13.28301887 74.71698113],0
d1,1,0.628689,0.233843,[ 9 10] ; [55 48],[9.96721311 9.03278689] ; [54.03278689 48.96721311],0
r1,1,0.632506,0.228678,[14  5] ; [81 22],[14.79508197  4.20491803] ; [80.20491803 22.79508197],0
b5,1,0.685156,0.164379,[ 9 10] ; [54 49],[9.81147541 9.18852459] ; [53.18852459 49.81147541],0
p1,1,0.687041,0.162307,[ 2 17] ; [ 8 95],[ 1.55737705 17.44262295] ; [ 8.44262295 94.55737705],0
a5,1,0.696749,0.151875,[15  4] ; [77 26],[14.32786885  4.67213115] ; [77.67213115 25.32786885],0
s5,1,0.720753,0.127772,[ 5 14] ; [23 79],[ 4.39669421 14.60330579] ; [23.60330579 78.39669421],0
p10,1,0.738453,0.111491,[15  4] ; [83 18],[15.51666667  3.48333333] ; [82.48333333 18.51666667],0
p9,1,0.738453,0.111491,[15  4] ; [83 18],[15.51666667  3.48333333] ; [82.48333333 18.51666667],0
a2,1,0.776672,0.080462,[ 5 14] ; [24 79],[ 4.51639344 14.48360656] ; [24.48360656 78.51639344],0
v2,1,0.837588,0.042017,[10  8] ; [54 48],[9.6 8.4] ; [54.4 47.6],0
p5,1,0.85801,0.032008,[ 3 16] ; [18 85],[ 3.2704918 15.7295082] ; [17.7295082 85.2704918],0
p2,1,0.869144,0.027141,[15  4] ; [83 20],[15.26229508  3.73770492] ; [82.73770492 20.26229508],0
v1,1,0.896226,0.017012,[10  9] ; [51 49],[9.7394958 9.2605042] ; [51.2605042 48.7394958],0
d2,1,0.924956,0.008872,[ 9 10] ; [50 53],[9.18852459 9.81147541] ; [49.81147541 53.18852459],0
p4,1,0.932694,0.007133,[12  7] ; [64 39],[11.83606557  7.16393443] ; [64.16393443 38.83606557],0
s6,1,0.932694,0.007133,[12  7] ; [64 39],[11.83606557  7.16393443] ; [64.16393443 38.83606557],0
p7,1,0.935555,0.006538,[12  6] ; [67 35],[11.85  6.15] ; [67.15 34.85],0
p8,1,0.946715,0.004467,[10  9] ; [54 47],[10.13333333  8.86666667] ; [53.86666667 47.13333333],0
p11,1,0.947447,0.004345,[15  4] ; [82 21],[15.10655738  3.89344262] ; [81.89344262 21.10655738],0
d5,1,0.976078,0.000899,[15  4] ; [81 22],[14.95081967  4.04918033] ; [81.04918033 21.95081967],0
