Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,101.188137,[372  91] ; [59 98],[321.85967742 141.14032258] ; [109.14032258  47.85967742],1
v2,1,0.127674,2.320561,[273 170] ; [83 69],[265.05546218 177.94453782] ; [90.94453782 61.05546218],0
n4,1,0.146558,2.107712,[362 102] ; [131  26],[368.36070853  95.63929147] ; [124.63929147  32.36070853],0
p12,1,0.147927,2.093497,[ 48 415] ; [ 10 145],[ 43.45307443 419.54692557] ; [ 14.54692557 140.45307443],0
u2,1,0.173387,1.853412,[79 40] ; [13 12],[76.02777778 42.97222222] ; [15.97222222  9.02777778],0
d5,1,0.192679,1.697011,[414  50] ; [134  23],[409.45571659  54.54428341] ; [138.54428341  18.45571659],0
p4,1,0.205267,1.604497,[301 162] ; [92 63],[294.43203883 168.56796117] ; [98.56796117 56.43203883],0
r1,1,0.266863,1.232799,[385  76] ; [125  32],[380.4368932  80.5631068] ; [129.5631068  27.4368932],0
n1,1,0.281874,1.158033,[29 60] ; [15 20],[31.58064516 57.41935484] ; [12.41935484 22.58064516],0
p7,1,0.356715,0.849423,[302 150] ; [107  44],[306.58043118 145.41956882] ; [102.41956882  48.58043118],0
v1,1,0.380114,0.770332,[250 199] ; [92 62],[254.65671642 194.34328358] ; [87.34328358 66.65671642],0
s2,1,0.438339,0.600627,[259 200] ; [83 74],[254.83441558 204.16558442] ; [87.16558442 69.83441558],0
s4,1,0.451668,0.566462,[ 76 382] ; [ 30 126],[ 79.06840391 378.93159609] ; [ 26.93159609 129.06840391],0
a4,1,0.576979,0.311144,[224 239] ; [80 77],[227.01935484 235.98064516] ; [76.98064516 80.01935484],0
p8,1,0.594993,0.282615,[260 199] ; [84 71],[257.15960912 201.84039088] ; [86.84039088 68.15960912],0
v3,1,0.613641,0.254906,[182 260] ; [67 87],[184.66107383 257.33892617] ; [64.33892617 89.66107383],0
p11,1,0.619101,0.247133,[392  72] ; [130  27],[390.02898551  73.97101449] ; [131.97101449  25.02898551],0
p2,1,0.623364,0.241168,[404  59] ; [132  22],[402.2171799  60.7828201] ; [133.7828201  20.2171799],0
u4,1,0.648096,0.208309,[  9 454] ; [  4 153],[  9.70806452 453.29193548] ; [  3.29193548 153.70806452],0
p9,1,0.649093,0.207045,[438  25] ; [147  10],[436.86290323  26.13709677] ; [148.13709677   8.86290323],0
s1,1,0.700505,0.147947,[ 12 446] ; [  5 151],[ 12.68078176 445.31921824] ; [  4.31921824 151.68078176],0
s3,1,0.790261,0.070741,[264 191] ; [93 64],[265.41666667 189.58333333] ; [91.58333333 65.41666667],0
a5,1,0.801107,0.063461,[365  99] ; [122  35],[363.87761675 100.12238325] ; [123.12238325  33.87761675],0
d2,1,0.804051,0.061557,[244 219] ; [84 72],[245.33764136 217.66235864] ; [82.66235864 73.33764136],0
s6,1,0.806449,0.06003,[320 135] ; [106  47],[318.79934211 136.20065789] ; [107.20065789  45.79934211],0
p6,1,0.808673,0.058631,[181 280] ; [58 94],[179.73735726 281.26264274] ; [59.26264274 92.73735726],0
n6,1,0.838333,0.041627,[401  59] ; [135  21],[400.25974026  59.74025974] ; [135.74025974  20.25974026],0
p3,1,0.857543,0.032221,[246 218] ; [84 72],[246.96774194 217.03225806] ; [83.03225806 72.96774194],0
p1,1,0.897691,0.016532,[ 37 425] ; [ 13 143],[ 37.37864078 424.62135922] ; [ 12.62135922 143.37864078],0
p5,1,0.898329,0.016326,[ 61 400] ; [ 21 133],[ 61.46666667 399.53333333] ; [ 20.53333333 133.46666667],0
n3,1,0.982755,0.000467,[63 26] ; [24 10],[62.95121951 26.04878049] ; [24.04878049  9.95121951],0
n2,1,0.988265,0.000216,[66 23] ; [26  9],[66.03225806 22.96774194] ; [25.96774194  9.03225806],0
