Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,99.387871,[ 98 135] ; [483 138],[158.51639344  74.48360656] ; [422.48360656 198.51639344],1
n2,1,0.476504,0.506854,[55 15] ; [97 34],[52.93532338 17.06467662] ; [99.06467662 31.93532338],0
n5,1,0.508816,0.4365,[174  55] ; [458 163],[170.26823529  58.73176471] ; [461.73176471 159.26823529],0
n3,1,0.52291,0.40815,[48 20] ; [98 33],[49.88944724 18.11055276] ; [96.11055276 34.88944724],0
s2,1,0.5328,0.389048,[115 116] ; [322 295],[119.04127358 111.95872642] ; [317.95872642 299.04127358],0
s1,1,0.552487,0.35288,[  9 220] ; [ 19 593],[  7.62425684 221.37574316] ; [ 20.37574316 591.62425684],0
n1,1,0.578908,0.308003,[29 40] ; [49 80],[27.18181818 41.81818182] ; [50.81818182 78.18181818],0
v3,1,0.638846,0.220254,[ 86 137] ; [241 356],[ 88.92804878 134.07195122] ; [238.07195122 358.92804878],0
p7,1,0.676802,0.173749,[140  86] ; [383 220],[142.57901086  83.42098914] ; [380.42098914 222.57901086],0
s3,1,0.691309,0.157672,[132  97] ; [344 269],[129.4584323  99.5415677] ; [346.5415677 266.4584323],0
s4,1,0.701664,0.146747,[ 41 190] ; [102 511],[ 39.13862559 191.86137441] ; [103.86137441 509.13862559],0
p11,1,0.759418,0.093786,[183  50] ; [484 140],[181.34305718  51.65694282] ; [485.65694282 138.34305718],0
p5,1,0.792144,0.069447,[ 24 204] ; [ 69 549],[ 25.06382979 202.93617021] ; [ 67.93617021 550.06382979],0
v1,1,0.798577,0.065121,[121 105] ; [331 276],[122.63145258 103.36854742] ; [329.36854742 277.63145258],0
a3,1,0.840304,0.040604,[165  67] ; [446 175],[166.18053927  65.81946073] ; [444.81946073 176.18053927],0
d2,1,0.893185,0.01803,[112 120] ; [303 318],[112.87221571 119.12778429] ; [302.12778429 318.87221571],0
u4,1,0.931149,0.007465,[  5 228] ; [ 14 610],[  5.16569428 227.83430572] ; [ 13.83430572 610.16569428],0
p6,1,0.931808,0.007322,[ 81 143] ; [224 390],[ 81.5274463 142.4725537] ; [223.4725537 390.5274463],0
n4,1,0.957129,0.00289,[176  55] ; [475 147],[176.29660023  54.70339977] ; [474.70339977 147.29660023],0
a4,1,0.98296,0.000456,[105 127] ; [281 341],[104.8618267 127.1381733] ; [281.1381733 340.8618267],0
