Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.336276,[92 18] ; [ 8 15],[82.70676692 27.29323308] ; [17.29323308  5.70676692],1
u1,1,0.311944,1.022429,[19 92] ; [ 2 21],[17.39552239 93.60447761] ; [ 3.60447761 19.39552239],0
a2,1,0.350581,0.871354,[24 87] ; [ 3 20],[22.36567164 88.63432836] ; [ 4.63432836 18.36567164],0
p7,1,0.400222,0.707659,[93 16] ; [18  5],[91.65909091 17.34090909] ; [19.34090909  3.65909091],0
v4,1,0.410982,0.675958,[106   5] ; [21  2],[105.20149254   5.79850746] ; [21.79850746  1.20149254],0
d5,1,0.435381,0.608427,[90 21] ; [17  6],[88.63432836 22.36567164] ; [18.36567164  4.63432836],0
p1,1,0.464165,0.535833,[16 95] ; [ 2 21],[14.91044776 96.08955224] ; [ 3.08955224 19.91044776],0
d2,1,0.498823,0.45744,[52 59] ; [ 9 14],[50.52985075 60.47014925] ; [10.47014925 12.52985075],0
b3,1,0.537043,0.381048,[30 43] ; [7 7],[31.04597701 41.95402299] ; [5.95402299 8.04597701],0
b2,1,0.537043,0.381048,[30 43] ; [7 7],[31.04597701 41.95402299] ; [5.95402299 8.04597701],0
n3,1,0.554915,0.348586,[16  5] ; [11  2],[16.67647059  4.32352941] ; [10.32352941  2.67647059],0
r2,1,0.560006,0.339694,[103   6] ; [21  2],[102.39393939   6.60606061] ; [21.60606061  1.39393939],0
a4,1,0.59646,0.280369,[46 64] ; [11 12],[47.14285714 62.85714286] ; [ 9.85714286 13.14285714],0
p12,1,0.69424,0.154533,[  7 102] ; [ 2 21],[  7.43181818 101.56818182] ; [ 1.56818182 21.43181818],0
n1,1,0.761069,0.092463,[ 7 14] ; [5 8],[ 7.41176471 13.58823529] ; [4.58823529 8.41176471],0
p5,1,0.780795,0.077442,[17 94] ; [ 3 20],[16.56716418 94.43283582] ; [ 3.43283582 19.56716418],0
d3,1,0.826802,0.047876,[73 38] ; [15  7],[73.44360902 37.55639098] ; [14.55639098  7.44360902],0
b5,1,0.856952,0.032492,[65 46] ; [13 10],[64.6119403 46.3880597] ; [13.3880597  9.6119403],0
a7,1,0.877359,0.023814,[79 32] ; [16  7],[78.69402985 32.30597015] ; [16.30597015  6.69402985],0
u3,1,0.936475,0.006352,[18 17] ; [5 5],[17.88888889 17.11111111] ; [5.11111111 4.88888889],0
s5,1,0.948626,0.004152,[25 82] ; [ 5 17],[24.88372093 82.11627907] ; [ 5.11627907 16.88372093],0
a1,1,0.97362,0.001093,[  5 106] ; [ 1 22],[  4.97014925 106.02985075] ; [ 1.02985075 21.97014925],0
p8,1,0.987928,0.000229,[76 33] ; [16  7],[75.96969697 33.03030303] ; [16.03030303  6.96969697],0
