Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.2e-05,18.025005,[80 63] ; [107  27],[96.53790614 46.46209386] ; [90.46209386 43.53790614],1
n5,1,0.478955,0.501241,[114  32] ; [110  25],[116.38434164  29.61565836] ; [107.61565836  27.38434164],0
n1,1,0.528182,0.397889,[13 17] ; [ 8 15],[11.88679245 18.11320755] ; [ 9.11320755 13.88679245],0
s3,1,0.529987,0.394417,[62 84] ; [61 71],[64.5971223 81.4028777] ; [58.4028777 73.5971223],0
r1,1,0.555973,0.346725,[116  30] ; [111  24],[117.9430605  28.0569395] ; [109.0569395  25.9430605],0
n3,1,0.561117,0.337774,[23  7] ; [16  7],[22.0754717  7.9245283] ; [16.9245283  6.0754717],0
a3,1,0.565743,0.329858,[100  46] ; [96 38],[102.2  43.8] ; [93.8 40.2],0
a4,1,0.566943,0.327824,[60 85] ; [60 74],[62.3655914 82.6344086] ; [57.6344086 76.3655914],0
u3,1,0.593242,0.28531,[28 19] ; [21 18],[26.77906977 20.22093023] ; [22.22093023 16.77906977],0
a6,1,0.630008,0.23205,[103  44] ; [91 44],[101.12765957  45.87234043] ; [92.87234043 42.12765957],0
p4,1,0.636838,0.222901,[87 60] ; [83 51],[88.93238434 58.06761566] ; [81.06761566 52.93238434],0
s1,1,0.676667,0.173902,[  5 139] ; [  6 129],[  5.67741935 138.32258065] ; [  5.32258065 129.67741935],0
s6,1,0.731009,0.118187,[87 60] ; [82 52],[88.40925267 58.59074733] ; [80.59074733 53.40925267],0
p2,1,0.732043,0.117244,[123  23] ; [114  19],[124.02150538  21.97849462] ; [112.97849462  20.02150538],0
r3,1,0.740721,0.109494,[135  10] ; [127   8],[135.67857143   9.32142857] ; [126.32142857   8.67857143],0
b1,1,0.750281,0.101295,[55 92] ; [53 82],[56.29787234 90.70212766] ; [51.70212766 83.29787234],0
b2,1,0.924054,0.009088,[34 58] ; [35 58],[34.31351351 57.68648649] ; [34.68648649 58.31351351],0
b3,1,0.924054,0.009088,[34 58] ; [35 58],[34.31351351 57.68648649] ; [34.68648649 58.31351351],0
a5,1,0.927714,0.00823,[106  41] ; [98 37],[106.34042553  40.65957447] ; [97.65957447 37.34042553],0
a7,1,0.949433,0.004022,[108  39] ; [98 36],[107.76512456  39.23487544] ; [98.23487544 35.76512456],0
b5,1,0.991459,0.000115,[97 50] ; [89 46],[96.95744681 50.04255319] ; [89.04255319 45.95744681],0
