Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,102.008972,[250   7] ; [13 17],[235.5087108  21.4912892] ; [27.4912892  2.5087108],1
s8,1,0.413729,0.668059,[152 103] ; [15 14],[149.9471831 105.0528169] ; [17.0528169 11.9471831],0
p5,1,0.428288,0.627462,[ 49 205] ; [ 4 26],[ 47.40140845 206.59859155] ; [ 5.59859155 24.40140845],0
p6,1,0.434701,0.610231,[134 122] ; [12 15],[132.07067138 123.92932862] ; [13.92932862 13.07067138],0
u4,1,0.475558,0.509032,[ 10 246] ; [ 2 28],[ 10.74125874 245.25874126] ; [ 1.25874126 28.74125874],0
r3,1,0.482142,0.494015,[244  10] ; [28  2],[243.26760563  10.73239437] ; [28.73239437  1.26760563],0
a2,1,0.525447,0.403188,[101 156] ; [10 20],[ 99.39721254 157.60278746] ; [11.60278746 18.39721254],0
d2,1,0.554029,0.350149,[193  64] ; [24  6],[194.31707317  62.68292683] ; [22.68292683  7.31707317],0
v2,1,0.558454,0.342388,[161  90] ; [17 12],[159.56428571  91.43571429] ; [18.43571429 10.56428571],0
p1,1,0.57017,0.322398,[ 33 222] ; [ 5 25],[ 34. 221.] ; [ 4. 26.],0
b4,1,0.573058,0.317593,[149 108] ; [19 11],[150.43902439 106.56097561] ; [17.56097561 12.43902439],0
b3,1,0.599121,0.276323,[ 72 101] ; [10 11],[73.12371134 99.87628866] ; [ 8.87628866 12.12371134],0
b2,1,0.599121,0.276323,[ 72 101] ; [10 11],[73.12371134 99.87628866] ; [ 8.87628866 12.12371134],0
u3,1,0.633751,0.227008,[30 13] ; [4 1],[30.45833333 12.54166667] ; [3.54166667 1.45833333],0
d3,1,0.688024,0.161233,[229  28] ; [26  4],[228.34494774  28.65505226] ; [26.65505226  3.34494774],0
s4,1,0.745487,0.105362,[ 50 203] ; [ 5 24],[ 49.34397163 203.65602837] ; [ 5.65602837 23.34397163],0
r2,1,0.745611,0.105257,[248   6] ; [29  1],[247.73943662   6.26056338] ; [29.26056338  0.73943662],0
a4,1,0.798905,0.064905,[156 100] ; [19 11],[156.64335664  99.35664336] ; [18.35664336 11.64335664],0
b5,1,0.863491,0.029561,[150 107] ; [18 12],[150.43902439 106.56097561] ; [17.56097561 12.43902439],0
a8,1,0.881113,0.022368,[ 31 197] ; [ 3 21],[ 30.76190476 197.23809524] ; [ 3.23809524 20.76190476],0
u2,1,0.9029,0.014884,[27 16] ; [3 2],[26.875 16.125] ; [3.125 1.875],0
a3,1,0.933981,0.006862,[214  41] ; [25  5],[213.84210526  41.15789474] ; [25.15789474  4.84210526],0
a1,1,0.945271,0.004712,[ 18 239] ; [ 2 28],[ 17.90940767 239.09059233] ; [ 2.09059233 27.90940767],0
a5,1,0.98734,0.000252,[223  34] ; [26  4],[222.97212544  34.02787456] ; [26.02787456  3.97212544],0
