Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,74.024984,[324  96] ; [58 92],[281.47368421 138.52631579] ; [100.52631579  49.47368421],1
b2,1,0.072952,3.215315,[ 78 163] ; [41 55],[ 85.10089021 155.89910979] ; [33.89910979 62.10089021],0
p3,1,0.074637,3.177988,[192 229] ; [55 93],[182.75395431 238.24604569] ; [64.24604569 83.75395431],0
n6,1,0.089486,2.883592,[341  79] ; [112  38],[333.78947368  86.21052632] ; [119.21052632  30.78947368],0
p7,1,0.119541,2.423321,[245 167] ; [76 70],[237.01075269 174.98924731] ; [83.98924731 62.01075269],0
u2,1,0.125275,2.350099,[78 55] ; [23 27],[73.40437158 59.59562842] ; [27.59562842 22.40437158],0
n1,1,0.139478,2.183708,[28 62] ; [21 27],[31.95652174 58.04347826] ; [17.04347826 30.95652174],0
a5,1,0.164113,1.935915,[296 126] ; [96 54],[289.2027972 132.7972028] ; [102.7972028  47.2027972],0
a8,1,0.253573,1.303511,[ 49 332] ; [ 13 128],[ 45.25287356 335.74712644] ; [ 16.74712644 124.25287356],0
s7,1,0.279869,1.167724,[154 249] ; [62 81],[159.42857143 243.57142857] ; [56.57142857 86.42857143],0
s8,1,0.319169,0.992347,[141 280] ; [57 93],[145.98598949 275.01401051] ; [52.01401051 97.98598949],0
s2,1,0.343606,0.896931,[165 255] ; [52 97],[160.17574692 259.82425308] ; [56.82425308 92.17574692],0
p6,1,0.392685,0.730613,[126 292] ; [ 38 106],[121.97864769 296.02135231] ; [ 42.02135231 101.97864769],0
p5,1,0.407984,0.684668,[ 21 399] ; [ 10 137],[ 22.96296296 397.03703704] ; [  8.03703704 138.96296296],0
a1,1,0.418513,0.654486,[ 16 406] ; [  8 142],[ 17.70629371 404.29370629] ; [  6.29370629 143.70629371],0
n5,1,0.430641,0.621093,[298 121] ; [111  38],[301.70950704 117.29049296] ; [107.29049296  41.70950704],0
v1,1,0.436544,0.605349,[204 204] ; [68 79],[199.95675676 208.04324324] ; [72.04324324 74.95675676],0
p12,1,0.486106,0.485133,[ 20 399] ; [  5 142],[ 18.50706714 400.49293286] ; [  6.49293286 140.50706714],0
a4,1,0.598254,0.277637,[175 245] ; [58 90],[172.28873239 247.71126761] ; [60.71126761 87.28873239],0
p1,1,0.647216,0.209428,[ 30 390] ; [  9 140],[ 28.78734622 391.21265378] ; [ 10.21265378 138.78734622],0
p11,1,0.676318,0.1743,[325  97] ; [113  37],[323.13986014  98.86013986] ; [114.86013986  35.13986014],0
a3,1,0.748041,0.103184,[286 134] ; [100  50],[284.42105263 135.57894737] ; [101.57894737  48.42105263],0
n3,1,0.770622,0.085008,[61 29] ; [33 14],[61.75182482 28.24817518] ; [32.24817518 14.75182482],0
d2,1,0.782412,0.076274,[192 229] ; [66 83],[190.55789474 230.44210526] ; [67.44210526 81.55789474],0
s4,1,0.786134,0.073622,[ 48 370] ; [ 16 134],[ 47.09859155 370.90140845] ; [ 16.90140845 133.09859155],0
u4,1,0.794142,0.068088,[ 10 412] ; [  3 147],[  9.59090909 412.40909091] ; [  3.40909091 146.59090909],0
n2,1,0.8311,0.045493,[59 31] ; [33 16],[59.56834532 30.43165468] ; [32.43165468 16.56834532],0
s3,1,0.846259,0.037595,[199 218] ; [72 76],[200.01238938 216.98761062] ; [70.98761062 77.01238938],0
s1,1,0.876627,0.024101,[ 13 404] ; [  5 143],[ 13.28495575 403.71504425] ; [  4.71504425 143.28495575],0
n4,1,0.887981,0.019841,[314 107] ; [111  39],[313.35376532 107.64623468] ; [111.64623468  38.35376532],0
v3,1,0.94254,0.005195,[148 255] ; [53 90],[148.35714286 254.64285714] ; [52.64285714 90.35714286],0
