Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000225,13.611078,[59 12] ; [ 9 12],[52.47826087 18.52173913] ; [15.52173913  5.47826087],1
a3,1,0.449907,0.570887,[41 31] ; [10 11],[39.48387097 32.51612903] ; [11.51612903  9.48387097],0
u3,1,0.470358,0.521135,[13 18] ; [6 5],[14.02380952 16.97619048] ; [4.97619048 6.02380952],0
a5,1,0.473937,0.512782,[44 28] ; [11 10],[42.58064516 29.41935484] ; [12.41935484  8.58064516],0
s3,1,0.500581,0.453705,[38 33] ; [ 9 11],[36.67032967 34.32967033] ; [10.32967033  9.67032967],0
s2,1,0.509482,0.435132,[27 44] ; [ 6 14],[25.74725275 45.25274725] ; [ 7.25274725 12.74725275],0
d3,1,0.515474,0.42294,[22 50] ; [ 8 13],[23.22580645 48.77419355] ; [ 6.77419355 14.22580645],0
v1,1,0.527417,0.399366,[36 35] ; [ 9 12],[34.72826087 36.27173913] ; [10.27173913 10.72826087],0
s5,1,0.590717,0.289226,[19 51] ; [ 4 15],[18.08988764 51.91011236] ; [ 4.91011236 14.08988764],0
p12,1,0.693423,0.155405,[ 5 67] ; [ 2 19],[ 5.41935484 66.58064516] ; [ 1.58064516 19.41935484],0
n1,1,0.707787,0.140498,[10  7] ; [3 3],[9.60869565 7.39130435] ; [3.39130435 2.60869565],0
b1,1,0.710926,0.137354,[31 41] ; [10 11],[31.74193548 40.25806452] ; [ 9.25806452 11.74193548],0
a6,1,0.74374,0.106867,[44 28] ; [12  9],[43.35483871 28.64516129] ; [12.64516129  8.35483871],0
n2,1,0.771671,0.084211,[14  4] ; [5 1],[14.25  3.75] ; [4.75 1.25],0
r4,1,0.799211,0.064703,[60 12] ; [17  4],[59.61290323 12.38709677] ; [17.38709677  3.61290323],0
p1,1,0.799211,0.064703,[12 60] ; [ 4 17],[12.38709677 59.61290323] ; [ 3.61290323 17.38709677],0
s4,1,0.819686,0.051961,[12 59] ; [ 4 17],[12.34782609 58.65217391] ; [ 3.65217391 17.34782609],0
a8,1,0.83246,0.044753,[ 8 56] ; [ 3 18],[ 8.28235294 55.71764706] ; [ 2.71764706 18.28235294],0
d2,1,0.86155,0.030416,[22 50] ; [ 6 15],[21.67741935 50.32258065] ; [ 6.32258065 14.67741935],0
a2,1,0.864073,0.029307,[ 6 66] ; [ 2 19],[ 6.19354839 65.80645161] ; [ 1.80645161 19.19354839],0
r3,1,0.864073,0.029307,[66  6] ; [19  2],[65.80645161  6.19354839] ; [19.19354839  1.80645161],0
s1,1,0.8666,0.028217,[ 4 66] ; [ 1 20],[ 3.84615385 66.15384615] ; [ 1.15384615 19.84615385],0
a7,1,0.868063,0.027596,[46 26] ; [13  8],[45.67741935 26.32258065] ; [13.32258065  7.67741935],0
v4,1,0.878148,0.023506,[65  6] ; [19  2],[64.82608696  6.17391304] ; [19.17391304  1.82608696],0
d1,1,0.887175,0.02013,[ 4 68] ; [ 1 20],[ 3.87096774 68.12903226] ; [ 1.12903226 19.87096774],0
p7,1,0.957831,0.002796,[51 21] ; [15  6],[51.09677419 20.90322581] ; [14.90322581  6.09677419],0
p8,1,0.96942,0.00147,[37 33] ; [11 10],[36.92307692 33.07692308] ; [11.07692308  9.92307692],0
