Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,9.1e-05,15.313283,[106   9] ; [35 16],[97.68072289 17.31927711] ; [43.31927711  7.68072289],1
p5,1,0.34015,0.909866,[  6 110] ; [ 1 50],[  4.86227545 111.13772455] ; [ 2.13772455 48.86227545],0
d2,1,0.348418,0.879209,[26 89] ; [15 36],[28.40361446 86.59638554] ; [12.59638554 38.40361446],0
r2,1,0.387901,0.745513,[97 19] ; [39 11],[95.03614458 20.96385542] ; [40.96385542  9.03614458],0
n5,1,0.410007,0.678781,[70 45] ; [27 23],[67.60606061 47.39393939] ; [29.39393939 20.60606061],0
s4,1,0.437891,0.601803,[26 87] ; [ 9 42],[24.11585366 88.88414634] ; [10.88414634 40.11585366],0
a8,1,0.480113,0.498607,[13 96] ; [ 4 45],[11.7278481 97.2721519] ; [ 5.2721519 43.7278481],0
n3,1,0.514005,0.425906,[23 13] ; [11  9],[21.85714286 14.14285714] ; [12.14285714  7.85714286],0
v2,1,0.569138,0.324126,[34 77] ; [12 34],[32.52229299 78.47770701] ; [13.47770701 32.52229299],0
b3,1,0.595444,0.281922,[12 48] ; [ 7 21],[12.95454545 47.04545455] ; [ 6.04545455 21.95454545],0
b2,1,0.595444,0.281922,[12 48] ; [ 7 21],[12.95454545 47.04545455] ; [ 6.04545455 21.95454545],0
a3,1,0.639097,0.219925,[50 66] ; [20 31],[48.62275449 67.37724551] ; [21.37724551 29.62275449],0
v3,1,0.66533,0.187113,[22 91] ; [11 38],[23.01851852 89.98148148] ; [ 9.98148148 39.01851852],0
d4,1,0.685658,0.163826,[70 44] ; [33 18],[71.16363636 42.83636364] ; [31.83636364 19.16363636],0
u2,1,0.719358,0.129109,[31 34] ; [16 15],[31.82291667 33.17708333] ; [15.17708333 15.82291667],0
u3,1,0.837548,0.042038,[30 35] ; [15 16],[30.46875 34.53125] ; [14.53125 16.46875],0
p1,1,0.855309,0.033251,[ 10 105] ; [ 4 47],[  9.69879518 105.30120482] ; [ 4.30120482 46.69879518],0
n4,1,0.90778,0.013419,[62 53] ; [27 24],[61.65662651 53.34337349] ; [27.34337349 23.65662651],0
d1,1,0.921257,0.009771,[35 81] ; [15 36],[34.73053892 81.26946108] ; [15.26946108 35.73053892],0
n2,1,0.957263,0.002872,[23 12] ; [13  7],[22.90909091 12.09090909] ; [13.09090909  6.90909091],0
b5,1,0.95733,0.002863,[70 46] ; [31 20],[70.15568862 45.84431138] ; [30.84431138 20.15568862],0
r1,1,0.980439,0.000601,[68 48] ; [30 21],[68.07185629 47.92814371] ; [29.92814371 21.07185629],0
