Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.5e-05,17.787726,[15 15] ; [71 10],[23.24324324  6.75675676] ; [62.75675676 18.24324324],1
d1,1,0.44427,0.585229,[18 12] ; [42 39],[16.21621622 13.78378378] ; [43.78378378 37.21621622],0
p11,1,0.480862,0.496907,[21  9] ; [62 19],[22.43243243  7.56756757] ; [60.56756757 20.43243243],0
u3,1,0.49205,0.472041,[6 2] ; [11  7],[5.23076923 2.76923077] ; [11.76923077  6.23076923],0
a3,1,0.546012,0.36451,[22  8] ; [63 17],[23.18181818  6.81818182] ; [61.81818182 18.18181818],0
p6,1,0.551204,0.355164,[12 16] ; [40 41],[13.35779817 14.64220183] ; [38.64220183 42.35779817],0
a6,1,0.567208,0.327377,[21  9] ; [52 29],[19.72972973 10.27027027] ; [53.27027027 27.72972973],0
b1,1,0.567208,0.327377,[ 9 21] ; [29 52],[10.27027027 19.72972973] ; [27.72972973 53.27027027],0
p7,1,0.627319,0.235714,[18 12] ; [52 28],[19.09090909 10.90909091] ; [50.90909091 29.09090909],0
b4,1,0.65166,0.203814,[17 13] ; [42 39],[15.94594595 14.05405405] ; [43.05405405 37.94594595],0
d5,1,0.712341,0.135949,[25  5] ; [65 16],[24.32432432  5.67567568] ; [65.67567568 15.32432432],0
s5,1,0.834505,0.043651,[10 20] ; [25 55],[ 9.54545455 20.45454545] ; [25.45454545 54.54545455],0
r3,1,0.924271,0.009035,[28  2] ; [76  5],[28.10810811  1.89189189] ; [75.89189189  5.10810811],0
p1,1,0.924271,0.009035,[ 2 28] ; [ 5 76],[ 1.89189189 28.10810811] ; [ 5.10810811 75.89189189],0
d2,1,0.953935,0.003337,[15 15] ; [40 41],[14.86486486 15.13513514] ; [40.13513514 40.86486486],0
s6,1,0.962325,0.002231,[18 12] ; [49 32],[18.10810811 11.89189189] ; [48.89189189 32.10810811],0
r4,1,0.973042,0.001142,[26  4] ; [70 11],[25.94594595  4.05405405] ; [70.05405405 10.94594595],0
p5,1,0.973042,0.001142,[ 4 26] ; [11 70],[ 4.05405405 25.94594595] ; [10.94594595 70.05405405],0
