Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.4e-05,17.818182,[16 17] ; [65 10],[24.75  8.25] ; [56.25 18.75],1
p11,1,0.599991,0.27501,[27  6] ; [58 17],[25.97222222  7.02777778] ; [59.02777778 15.97222222],0
d3,1,0.614627,0.253492,[16 17] ; [32 42],[14.80373832 18.19626168] ; [33.19626168 40.80373832],0
a3,1,0.617936,0.248779,[15 18] ; [37 36],[16.18867925 16.81132075] ; [35.81132075 37.18867925],0
p4,1,0.637413,0.222142,[16 17] ; [39 34],[17.12264151 15.87735849] ; [37.87735849 35.12264151],0
p12,1,0.641951,0.2162,[ 3 30] ; [ 9 65],[ 3.70093458 29.29906542] ; [ 8.29906542 65.70093458],0
r4,1,0.653324,0.201735,[28  5] ; [66  9],[28.72222222  4.27777778] ; [65.27777778  9.72222222],0
b4,1,0.655657,0.198842,[20 13] ; [42 33],[18.94444444 14.05555556] ; [43.05555556 31.94444444],0
u2,1,0.669399,0.182306,[10  7] ; [24 13],[10.7037037  6.2962963] ; [23.2962963 13.7037037],0
b5,1,0.689909,0.159184,[18 15] ; [44 31],[18.94444444 14.05555556] ; [43.05555556 31.94444444],0
s4,1,0.737644,0.112208,[ 8 25] ; [16 59],[ 7.33333333 25.66666667] ; [16.66666667 58.33333333],0
p10,1,0.752513,0.099432,[27  6] ; [57 15],[26.4  6.6] ; [57.6 14.4],0
s5,1,0.789051,0.071579,[12 20] ; [29 43],[12.61538462 19.38461538] ; [28.38461538 43.61538462],0
s2,1,0.793348,0.068626,[19 14] ; [44 29],[19.61320755 13.38679245] ; [43.38679245 29.61320755],0
n2,1,0.818733,0.052521,[6 2] ; [12  5],[5.76 2.24] ; [12.24  4.76],0
a8,1,0.832212,0.044887,[ 4 27] ; [10 59],[ 4.34 26.66] ; [ 9.66 59.34],0
b3,1,0.848129,0.036674,[4 7] ; [16 32],[3.72881356 7.27118644] ; [16.27118644 31.72881356],0
b2,1,0.848129,0.036674,[4 7] ; [16 32],[3.72881356 7.27118644] ; [16.27118644 31.72881356],0
a5,1,0.859944,0.031133,[18 15] ; [39 35],[17.57943925 15.42056075] ; [39.42056075 34.57943925],0
a4,1,0.863718,0.029461,[ 5 28] ; [10 62],[ 4.71428571 28.28571429] ; [10.28571429 61.71428571],0
p2,1,0.874742,0.02485,[25  8] ; [55 19],[24.6728972  8.3271028] ; [55.3271028 18.6728972],0
d1,1,0.906192,0.013887,[ 2 31] ; [ 5 70],[ 2.13888889 30.86111111] ; [ 4.86111111 70.13888889],0
n3,1,0.914641,0.011489,[5 3] ; [11  6],[5.12 2.88] ; [10.88  6.12],0
s8,1,0.915639,0.011221,[14 19] ; [31 44],[13.75 19.25] ; [31.25 43.75],0
p3,1,0.958913,0.002654,[14 19] ; [31 43],[13.87850467 19.12149533] ; [31.12149533 42.87850467],0
