Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,36.855324,[166  62] ; [71 96],[136.8  91.2] ; [100.2  66.8],1
u1,1,0.140426,2.173287,[ 66 169] ; [ 37 134],[ 59.6182266 175.3817734] ; [ 43.3817734 127.6182266],0
s2,1,0.145388,2.119985,[178  56] ; [119  52],[171.6  62.4] ; [125.4  45.6],0
n2,1,0.154695,2.025333,[39  6] ; [36 12],[36.29032258  8.70967742] ; [38.70967742  9.29032258],0
b4,1,0.191022,1.709717,[139  96] ; [90 81],[132.54926108 102.45073892] ; [96.45073892 74.54926108],0
a3,1,0.203445,1.617469,[193  40] ; [133  38],[188.01485149  44.98514851] ; [137.98514851  33.01485149],0
p10,1,0.21398,1.544294,[202  29] ; [142  29],[197.67164179  33.32835821] ; [146.32835821  24.67164179],0
d5,1,0.245163,1.350659,[198  35] ; [137  33],[193.68486352  39.31513648] ; [141.31513648  28.68486352],0
n3,1,0.270226,1.215602,[28 17] ; [35 13],[30.48387097 14.51612903] ; [32.51612903 15.48387097],0
d1,1,0.274143,1.195898,[154  81] ; [103  68],[148.75615764  86.24384236] ; [108.24384236  62.75615764],0
p11,1,0.285817,1.13922,[189  46] ; [130  41],[184.64285714  50.35714286] ; [134.35714286  36.64285714],0
p1,1,0.296013,1.092071,[ 28 205] ; [ 15 156],[ 24.79950495 208.20049505] ; [ 18.20049505 152.79950495],0
n1,1,0.297032,1.08747,[25 20] ; [21 26],[22.5 22.5] ; [23.5 23.5],0
a6,1,0.338116,0.91756,[160  73] ; [109  61],[155.52605459  77.47394541] ; [113.47394541  56.52605459],0
a2,1,0.342373,0.901525,[ 72 163] ; [ 45 126],[ 67.72167488 167.27832512] ; [ 49.27832512 121.72167488],0
b1,1,0.342906,0.899536,[ 88 147] ; [72 99],[ 92.61083744 142.38916256] ; [ 67.38916256 103.61083744],0
a4,1,0.371141,0.799842,[120 114] ; [80 91],[115.55555556 118.44444444] ; [84.44444444 86.55555556],0
d2,1,0.40084,0.705805,[131 103] ; [88 82],[126.84653465 107.15346535] ; [92.15346535 77.84653465],0
u3,1,0.434392,0.611051,[31 11] ; [25 13],[29.4 12.6] ; [26.6 11.4],0
s1,1,0.494941,0.465768,[ 10 220] ; [ 10 161],[ 11.4713217 218.5286783] ; [  8.5286783 162.4713217],0
n4,1,0.573927,0.316156,[197  36] ; [141  30],[194.93564356  38.06435644] ; [143.06435644  27.93564356],0
r2,1,0.577784,0.309832,[227   6] ; [164   6],[226.06203474   6.93796526] ; [164.93796526   5.06203474],0
u2,1,0.630681,0.231139,[28 13] ; [24 14],[26.98734177 14.01265823] ; [25.01265823 12.98734177],0
p2,1,0.692782,0.15609,[203  31] ; [146  25],[201.64444444  32.35555556] ; [147.35555556  23.64444444],0
n6,1,0.739942,0.110177,[206  26] ; [150  21],[204.94292804  27.05707196] ; [151.05707196  19.94292804],0
a1,1,0.765097,0.089278,[ 14 221] ; [  9 162],[ 13.31280788 221.68719212] ; [  9.68719212 161.31280788],0
a7,1,0.77343,0.082881,[168  67] ; [120  51],[166.69950739  68.30049261] ; [121.30049261  49.69950739],0
s3,1,0.86847,0.027424,[173  59] ; [128  42],[173.71144279  58.28855721] ; [127.28855721  42.71144279],0
