Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,8e-05,15.56972,[ 58 119] ; [87 74],[ 75.93195266 101.06804734] ; [69.06804734 91.93195266],1
b4,1,0.341444,0.905,[101  80] ; [101  65],[105.36599424  75.63400576] ; [96.63400576 69.36599424],0
u1,1,0.348518,0.878846,[ 30 151] ; [ 34 132],[ 33.3832853 147.6167147] ; [ 30.6167147 135.3832853],0
p12,1,0.370744,0.801169,[  9 172] ; [ 12 153],[ 10.98554913 170.01445087] ; [ 10.01445087 154.98554913],0
a7,1,0.397132,0.716992,[129  52] ; [125  41],[132.48991354  48.51008646] ; [121.51008646  44.48991354],0
d5,1,0.406028,0.690402,[143  38] ; [137  29],[146.0518732  34.9481268] ; [133.9481268  32.0518732],0
d4,1,0.455547,0.556813,[146  35] ; [139  27],[148.65994236  32.34005764] ; [136.34005764  29.65994236],0
b1,1,0.49329,0.469342,[ 73 108] ; [ 61 105],[ 69.8962536 111.1037464] ; [ 64.1037464 101.8962536],0
p11,1,0.495426,0.464721,[135  46] ; [129  37],[137.70605187  43.29394813] ; [126.29394813  39.70605187],0
d1,1,0.502377,0.449911,[96 85] ; [94 72],[99.10662824 81.89337176] ; [90.89337176 75.10662824],0
p5,1,0.530575,0.39329,[ 16 165] ; [ 18 148],[ 17.73487032 163.26512968] ; [ 16.26512968 149.73487032],0
p8,1,0.532319,0.389963,[90 90] ; [87 76],[92.88629738 87.11370262] ; [84.11370262 78.88629738],0
n3,1,0.570241,0.32228,[35 16] ; [26  9],[36.1744186 14.8255814] ; [24.8255814 10.1744186],0
r4,1,0.572884,0.31788,[159  22] ; [149  17],[160.65706052  20.34293948] ; [147.34293948  18.65706052],0
p4,1,0.649172,0.206946,[112  69] ; [106  59],[114.04046243  66.95953757] ; [103.95953757  61.04046243],0
s2,1,0.655758,0.198717,[115  66] ; [101  64],[112.99421965  68.00578035] ; [103.00578035  61.99421965],0
p1,1,0.664434,0.188182,[ 12 168] ; [ 13 152],[ 13.04347826 166.95652174] ; [ 11.95652174 153.04347826],0
u3,1,0.698109,0.150446,[36 25] ; [27 16],[36.95192308 24.04807692] ; [26.04807692 16.95192308],0
a1,1,0.703284,0.145078,[  8 173] ; [  6 160],[  7.30259366 173.69740634] ; [  6.69740634 159.30259366],0
n6,1,0.714424,0.133898,[149  31] ; [139  26],[150.26086957  29.73913043] ; [137.73913043  27.26086957],0
r3,1,0.729627,0.119455,[170   9] ; [158   7],[170.6744186   8.3255814] ; [157.3255814   7.6744186],0
d3,1,0.799774,0.064333,[122  59] ; [114  52],[123.10086455  57.89913545] ; [112.89913545  53.10086455],0
p2,1,0.810125,0.057727,[153  28] ; [141  24],[153.79768786  27.20231214] ; [140.20231214  24.79768786],0
a6,1,0.92685,0.008429,[118  63] ; [109  57],[118.40634006  62.59365994] ; [108.59365994  57.40634006],0
s7,1,0.933115,0.007044,[96 80] ; [86 73],[95.61791045 80.38208955] ; [86.38208955 72.61791045],0
u2,1,0.951001,0.003776,[33 28] ; [23 20],[32.84615385 28.15384615] ; [23.15384615 19.84615385],0
d2,1,0.98909,0.000187,[83 98] ; [76 90],[82.93659942 98.06340058] ; [76.06340058 89.93659942],0
