Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,8e-06,19.916229,[48 13] ; [11 23],[37.88421053 23.11578947] ; [21.11578947 12.88421053],1
b4,1,0.261664,1.25993,[36 25] ; [16 18],[33.38947368 27.61052632] ; [18.61052632 15.38947368],0
n5,1,0.268903,1.222334,[40 21] ; [26  8],[42.37894737 18.62105263] ; [23.62105263 10.37894737],0
n4,1,0.268903,1.222334,[40 21] ; [26  8],[42.37894737 18.62105263] ; [23.62105263 10.37894737],0
a8,1,0.405251,0.692691,[ 4 51] ; [ 1 32],[ 3.125 51.875] ; [ 1.875 31.125],0
v4,1,0.429552,0.624035,[58  3] ; [30  3],[57.10638298  3.89361702] ; [30.89361702  2.10638298],0
s1,1,0.466208,0.530949,[ 3 57] ; [ 3 31],[ 3.82978723 56.17021277] ; [ 2.17021277 31.82978723],0
s3,1,0.466369,0.530565,[52  9] ; [27  7],[50.72631579 10.27368421] ; [28.27368421  5.72631579],0
u3,1,0.477395,0.504808,[10  3] ; [5 3],[9.28571429 3.71428571] ; [5.71428571 2.28571429],0
r1,1,0.487213,0.482675,[47 14] ; [24 10],[45.58947368 15.41052632] ; [25.41052632  8.58947368],0
v1,1,0.510434,0.433178,[28 33] ; [18 16],[29.53684211 31.46315789] ; [16.46315789 17.53684211],0
d2,1,0.510434,0.433178,[33 28] ; [16 18],[31.46315789 29.53684211] ; [17.53684211 16.46315789],0
p4,1,0.513211,0.427515,[40 21] ; [20 14],[38.52631579 22.47368421] ; [21.47368421 12.52631579],0
p9,1,0.514143,0.425626,[53  6] ; [29  5],[52.02150538  6.97849462] ; [29.97849462  4.02150538],0
r4,1,0.550228,0.356909,[53  8] ; [28  6],[52.01052632  8.98947368] ; [28.98947368  5.01052632],0
p8,1,0.5729,0.317855,[34 25] ; [21 12],[35.27173913 23.72826087] ; [19.72826087 13.27173913],0
s5,1,0.647141,0.209524,[34 21] ; [22 11],[35. 20.] ; [21. 12.],0
p6,1,0.654395,0.200404,[32 28] ; [16 17],[30.96774194 29.03225806] ; [17.03225806 15.96774194],0
r3,1,0.70192,0.146483,[56  4] ; [31  3],[55.53191489  4.46808511] ; [31.46808511  2.53191489],0
s8,1,0.710443,0.137835,[40 21] ; [21 13],[39.16842105 21.83157895] ; [21.83157895 12.16842105],0
s6,1,0.75204,0.099825,[54  6] ; [29  4],[53.5483871  6.4516129] ; [29.4516129  3.5483871],0
a4,1,0.792927,0.068913,[27 34] ; [16 18],[27.61052632 33.38947368] ; [15.38947368 18.61052632],0
a3,1,0.802788,0.062371,[48 13] ; [26  8],[47.51578947 13.48421053] ; [26.48421053  7.51578947],0
n2,1,0.854632,0.033566,[9 2] ; [11  2],[9.16666667 1.83333333] ; [10.83333333  2.16666667],0
p5,1,0.87166,0.026098,[ 6 55] ; [ 3 31],[ 5.77894737 55.22105263] ; [ 3.22105263 30.77894737],0
a5,1,0.873011,0.025547,[44 17] ; [24 10],[43.66315789 17.33684211] ; [24.33684211  9.66315789],0
p10,1,0.903274,0.014769,[50 10] ; [28  6],[49.78723404 10.21276596] ; [28.21276596  5.78723404],0
p12,1,0.916009,0.011122,[ 5 56] ; [ 3 31],[ 5.13684211 55.86315789] ; [ 2.86315789 31.13684211],0
v3,1,0.957104,0.002893,[20 41] ; [11 22],[20.11702128 40.88297872] ; [10.88297872 22.11702128],0
n6,1,0.962498,0.002211,[50 11] ; [28  6],[50.08421053 10.91578947] ; [27.91578947  6.08421053],0
d5,1,0.962498,0.002211,[50 11] ; [28  6],[50.08421053 10.91578947] ; [27.91578947  6.08421053],0
b2,1,0.974706,0.001005,[ 9 26] ; [ 6 17],[ 9.05172414 25.94827586] ; [ 5.94827586 17.05172414],0
b3,1,0.974706,0.001005,[ 9 26] ; [ 6 17],[ 9.05172414 25.94827586] ; [ 5.94827586 17.05172414],0
