Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000307,13.026512,[11 16] ; [45 11],[18.21686747  8.78313253] ; [37.78313253 18.21686747],1
s2,1,0.537627,0.379956,[ 9 18] ; [15 41],[ 7.80722892 19.19277108] ; [16.19277108 39.80722892],0
s1,1,0.542207,0.371464,[ 3 24] ; [ 4 52],[ 2.27710843 24.72289157] ; [ 4.72289157 51.27710843],0
a2,1,0.547167,0.362418,[ 3 24] ; [ 9 47],[ 3.90361446 23.09638554] ; [ 8.09638554 47.90361446],0
a1,1,0.593459,0.284975,[ 1 26] ; [ 1 55],[ 0.65060241 26.34939759] ; [ 1.34939759 54.65060241],0
a8,1,0.622582,0.242255,[ 1 26] ; [ 1 52],[ 0.675 26.325] ; [ 1.325 51.675],0
a3,1,0.64959,0.206418,[14 13] ; [32 24],[14.96385542 12.03614458] ; [31.03614458 24.96385542],0
p1,1,0.729424,0.119641,[ 1 26] ; [ 3 52],[ 1.31707317 25.68292683] ; [ 2.68292683 52.31707317],0
b1,1,0.736827,0.112935,[16 11] ; [31 25],[15.28915663 11.71084337] ; [31.71084337 24.28915663],0
d2,1,0.770648,0.084988,[12 15] ; [23 33],[11.38554217 15.61445783] ; [23.61445783 32.38554217],0
u3,1,0.792538,0.069177,[7 6] ; [14 10],[7.37837838 5.62162162] ; [13.62162162 10.37837838],0
s8,1,0.794352,0.067945,[ 4 23] ; [ 7 48],[ 3.62195122 23.37804878] ; [ 7.37804878 47.62195122],0
s5,1,0.807455,0.059395,[ 5 22] ; [ 9 46],[ 4.6097561 22.3902439] ; [ 9.3902439 45.6097561],0
s6,1,0.824491,0.049183,[10 17] ; [19 36],[ 9.54878049 17.45121951] ; [19.45121951 35.54878049],0
p3,1,0.824548,0.049151,[ 9 17] ; [18 38],[ 8.56097561 17.43902439] ; [18.43902439 37.56097561],0
n2,1,0.839931,0.040797,[7 5] ; [13  8],[7.27272727 4.72727273] ; [12.72727273  8.27272727],0
d1,1,0.854862,0.033459,[11 16] ; [24 32],[11.38554217 15.61445783] ; [23.61445783 32.38554217],0
d5,1,0.920645,0.009924,[19  8] ; [40 16],[19.19277108  7.80722892] ; [39.80722892 16.19277108],0
p10,1,0.941519,0.005382,[ 5 22] ; [10 46],[ 4.87951807 22.12048193] ; [10.12048193 45.87951807],0
p11,1,0.986407,0.00029,[12 15] ; [25 31],[12.03614458 14.96385542] ; [24.96385542 31.03614458],0
s7,1,1.0,0.0,[ 6 19] ; [12 38],[ 6. 19.] ; [12. 38.],0
