Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,79.521894,[340  69] ; [68 82],[298.51878354 110.48121646] ; [109.48121646  40.51878354],1
r3,1,0.094637,2.793666,[388  20] ; [137  13],[383.87096774  24.12903226] ; [141.12903226   8.87096774],0
s7,1,0.096925,2.755419,[207 181] ; [89 56],[215.47467167 172.52532833] ; [80.52532833 64.47467167],0
v3,1,0.101845,2.676413,[165 230] ; [72 73],[173.36111111 221.63888889] ; [63.63888889 81.36111111],0
p1,1,0.109448,2.56218,[ 43 367] ; [  9 140],[ 38.13953488 371.86046512] ; [ 13.86046512 135.13953488],0
v4,1,0.12164,2.396081,[389  19] ; [137  12],[385.29263914  22.70736086] ; [140.70736086   8.29263914],0
p8,1,0.154866,2.023658,[225 178] ; [71 74],[217.67883212 185.32116788] ; [78.32116788 66.67883212],0
p12,1,0.220643,1.500184,[ 42 366] ; [ 10 136],[ 38.29602888 369.70397112] ; [ 13.70397112 132.29602888],0
p6,1,0.232209,1.427281,[169 238] ; [52 93],[162.94746377 244.05253623] ; [58.05253623 86.94746377],0
a3,1,0.257953,1.279711,[327  83] ; [126  24],[331.66071429  78.33928571] ; [121.33928571  28.66071429],0
n2,1,0.264106,1.247108,[59 18] ; [24 12],[56.55752212 20.44247788] ; [26.44247788  9.55752212],0
p11,1,0.295467,1.09454,[330  82] ; [126  24],[334.29181495  77.70818505] ; [121.70818505  28.29181495],0
s5,1,0.390575,0.737152,[138 253] ; [57 88],[142.24813433 248.75186567] ; [52.75186567 92.24813433],0
v1,1,0.410043,0.678677,[231 169] ; [78 67],[226.78899083 173.21100917] ; [82.21100917 62.78899083],0
u2,1,0.426031,0.633619,[48 36] ; [11 12],[46.31775701 37.68224299] ; [12.68224299 10.31775701],0
p3,1,0.469593,0.522933,[218 191] ; [84 64],[221.75583483 187.24416517] ; [80.24416517 67.75583483],0
d5,1,0.470501,0.5208,[359  51] ; [127  22],[356.45796064  53.54203936] ; [129.54203936  19.45796064],0
d4,1,0.541919,0.371994,[355  55] ; [126  23],[352.79069767  57.20930233] ; [128.20930233  20.79069767],0
u4,1,0.558539,0.342241,[ 10 401] ; [  5 145],[ 10.98930481 400.01069519] ; [  4.01069519 145.98930481],0
p2,1,0.560092,0.339544,[349  62] ; [121  25],[346.8043088  64.1956912] ; [123.1956912  22.8043088],0
s2,1,0.57422,0.315672,[215 188] ; [76 74],[212.06690778 190.93309222] ; [78.93309222 71.06690778],0
p7,1,0.599572,0.275641,[258 143] ; [91 56],[255.38138686 145.61861314] ; [93.61861314 53.38138686],0
s6,1,0.620402,0.245303,[274 125] ; [97 49],[271.61284404 127.38715596] ; [99.38715596 46.61284404],0
p10,1,0.630191,0.231802,[342  65] ; [121  26],[340.14620939  66.85379061] ; [122.85379061  24.14620939],0
a4,1,0.642866,0.215013,[234 177] ; [81 67],[231.60107335 179.39892665] ; [83.39892665 64.60107335],0
s1,1,0.643074,0.214744,[ 13 391] ; [  6 143],[ 13.88065099 390.11934901] ; [  5.11934901 143.88065099],0
s4,1,0.646379,0.210496,[ 56 347] ; [ 23 126],[ 57.67572464 345.32427536] ; [ 21.32427536 127.67572464],0
p9,1,0.650813,0.204876,[350  54] ; [126  22],[348.37681159  55.62318841] ; [127.62318841  20.37681159],0
p5,1,0.734058,0.115418,[ 53 355] ; [ 21 128],[ 54.20466786 353.79533214] ; [ 19.79533214 129.20466786],0
n3,1,0.756542,0.096115,[56 20] ; [26  8],[56.65454545 19.34545455] ; [25.34545455  8.65454545],0
n6,1,0.785977,0.073733,[358  50] ; [132  17],[358.92280072  49.07719928] ; [131.07719928  17.92280072],0
n5,1,0.846565,0.037443,[351  57] ; [130  20],[351.69892473  56.30107527] ; [129.30107527  20.69892473],0
n1,1,0.90512,0.014208,[32 42] ; [16 20],[32.29090909 41.70909091] ; [15.70909091 20.29090909],0
s3,1,0.95542,0.003125,[225 176] ; [84 65],[225.28909091 175.71090909] ; [83.71090909 65.28909091],0
a1,1,0.9618,0.002294,[ 27 385] ; [ 10 140],[ 27.12455516 384.87544484] ; [  9.87544484 140.12455516],0
d2,1,0.970187,0.001397,[248 161] ; [90 58],[248.19030521 160.80969479] ; [89.80969479 58.19030521],0
