Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.215385,[ 1 27] ; [44 12],[15. 13.] ; [30. 26.],1
n2,1,0.159729,1.976786,[ 6 10] ; [15 10],[8.19512195 7.80487805] ; [12.80487805 12.19512195],0
n1,1,0.184946,1.757424,[7 9] ; [ 6 19],[ 5.07317073 10.92682927] ; [ 7.92682927 17.07317073],0
s4,1,0.226792,1.46087,[ 3 25] ; [12 44],[ 5. 23.] ; [10. 46.],0
p3,1,0.261213,1.262315,[ 6 22] ; [18 36],[ 8.19512195 19.80487805] ; [15.80487805 38.19512195],0
b1,1,0.276657,1.183439,[18 10] ; [29 27],[15.66666667 12.33333333] ; [31.33333333 24.66666667],0
p1,1,0.293114,1.105263,[ 4 24] ; [ 4 52],[ 2.66666667 25.33333333] ; [ 5.33333333 50.66666667],0
d2,1,0.31578,1.006343,[11 17] ; [28 27],[13.15662651 14.84337349] ; [25.84337349 29.15662651],0
b4,1,0.437134,0.603795,[14 14] ; [33 23],[15.66666667 12.33333333] ; [31.33333333 24.66666667],0
v3,1,0.45992,0.546088,[ 6 22] ; [14 34],[ 7.36842105 20.63157895] ; [12.63157895 35.36842105],0
p10,1,0.47227,0.51666,[ 8 19] ; [20 33],[ 9.45 17.55] ; [18.55 34.45],0
a8,1,0.548912,0.359271,[ 2 26] ; [ 6 47],[ 2.7654321 25.2345679] ; [ 5.2345679 47.7654321],0
v1,1,0.745526,0.105329,[ 9 19] ; [20 36],[ 9.66666667 18.33333333] ; [19.33333333 36.66666667],0
a3,1,0.77627,0.08076,[16 11] ; [35 21],[16.59036145 10.40963855] ; [34.40963855 21.59036145],0
s1,1,0.792683,0.069079,[ 3 25] ; [ 5 51],[ 2.66666667 25.33333333] ; [ 5.33333333 50.66666667],0
a4,1,1.0,0.0,[12 16] ; [24 32],[12. 16.] ; [24. 32.],0
