Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,9.6e-05,15.204829,[20  5] ; [ 7 20],[12.98076923 12.01923077] ; [14.01923077 12.98076923],1
r2,1,0.522022,0.409896,[14  9] ; [14 13],[12.88 10.12] ; [15.12 11.88],0
r1,1,0.530969,0.392537,[ 7 18] ; [ 6 23],[ 6.01851852 18.98148148] ; [ 6.98148148 22.01851852],0
p12,1,0.597193,0.27925,[ 1 25] ; [ 2 26],[ 1.44444444 24.55555556] ; [ 1.55555556 26.44444444],0
d3,1,0.598905,0.27665,[13 13] ; [12 16],[12.03703704 13.96296296] ; [12.96296296 15.03703704],0
u2,1,0.603848,0.269231,[5 4] ; [8 4],[5.57142857 3.42857143] ; [7.42857143 4.57142857],0
b2,1,0.611945,0.257353,[ 4 13] ; [ 3 15],[ 3.4 13.6] ; [ 3.6 14.4],0
b3,1,0.611945,0.257353,[ 4 13] ; [ 3 15],[ 3.4 13.6] ; [ 3.6 14.4],0
a2,1,0.618943,0.247356,[ 1 25] ; [ 2 27],[ 1.41818182 24.58181818] ; [ 1.58181818 27.41818182],0
v1,1,0.637365,0.222205,[10 15] ; [13 15],[10.8490566 14.1509434] ; [12.1509434 15.8490566],0
u3,1,0.644965,0.212308,[4 6] ; [4 9],[3.47826087 6.52173913] ; [4.52173913 8.47826087],0
a3,1,0.742557,0.107892,[16 10] ; [16 12],[15.40740741 10.59259259] ; [16.59259259 11.40740741],0
p11,1,0.777508,0.079844,[17  9] ; [20  9],[17.49090909  8.50909091] ; [19.50909091  9.49090909],0
p9,1,0.777508,0.079844,[17  9] ; [20  9],[17.49090909  8.50909091] ; [19.50909091  9.49090909],0
a1,1,0.937273,0.006193,[ 1 25] ; [ 1 28],[ 0.94545455 25.05454545] ; [ 1.05454545 27.94545455],0
a4,1,0.956035,0.003039,[ 7 19] ; [ 8 21],[ 7.09090909 18.90909091] ; [ 7.90909091 21.09090909],0
n5,1,0.974293,0.001038,[15  9] ; [18 11],[14.94339623  9.05660377] ; [18.05660377 10.94339623],0
d2,1,0.983044,0.000452,[ 8 18] ; [ 9 20],[ 8.03636364 17.96363636] ; [ 8.96363636 20.03636364],0
n6,1,1.0,0.0,[12 12] ; [14 14],[12. 12.] ; [14. 14.],0
