Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000532,12.0,[18  6] ; [ 6 18],[12. 12.] ; [12. 12.],1
d3,1,0.320472,0.98702,[11 13] ; [ 8 17],[ 9.30612245 14.69387755] ; [ 9.69387755 15.30612245],0
v1,1,0.375912,0.784029,[11 13] ; [ 8 16],[ 9.5 14.5] ; [ 9.5 14.5],0
s4,1,0.376123,0.783337,[ 5 19] ; [ 8 17],[ 6.36734694 17.63265306] ; [ 6.63265306 18.36734694],0
a3,1,0.386064,0.751304,[13 11] ; [10 14],[11.5 12.5] ; [11.5 12.5],0
u2,1,0.391153,0.735354,[7 4] ; [7 8],[5.92307692 5.07692308] ; [8.07692308 6.92307692],0
n4,1,0.403615,0.697529,[18  6] ; [16  9],[16.65306122  7.34693878] ; [17.34693878  7.65306122],0
n2,1,0.424954,0.636574,[1 1] ; [7 2],[1.45454545 0.54545455] ; [6.54545455 2.45454545],0
b4,1,0.425794,0.634268,[17  7] ; [15 10],[15.67346939  8.32653061] ; [16.32653061  8.67346939],0
a7,1,0.425794,0.634268,[17  7] ; [15 10],[15.67346939  8.32653061] ; [16.32653061  8.67346939],0
b1,1,0.457807,0.55125,[ 9 15] ; [12 13],[10.28571429 13.71428571] ; [10.71428571 14.28571429],0
p10,1,0.477197,0.505263,[20  4] ; [18  6],[19.  5.] ; [19.  5.],0
v3,1,0.482885,0.492342,[10 14] ; [ 8 17],[ 8.81632653 15.18367347] ; [ 9.18367347 15.81632653],0
n1,1,0.490153,0.47619,[1 1] ; [2 6],[0.6 1.4] ; [2.4 5.6],0
u1,1,0.527064,0.400048,[ 2 22] ; [ 1 24],[ 1.46938776 22.53061224] ; [ 1.53061224 23.46938776],0
a1,1,0.527064,0.400048,[ 2 22] ; [ 1 24],[ 1.46938776 22.53061224] ; [ 1.53061224 23.46938776],0
p2,1,0.559775,0.340094,[19  5] ; [18  7],[18.12244898  5.87755102] ; [18.87755102  6.12244898],0
s1,1,0.575811,0.313056,[ 1 23] ; [ 2 23],[ 1.46938776 22.53061224] ; [ 1.53061224 23.46938776],0
s6,1,0.597015,0.279521,[19  4] ; [22  3],[19.64583333  3.35416667] ; [21.35416667  3.64583333],0
b5,1,0.65591,0.19853,[14 10] ; [13 12],[13.2244898 10.7755102] ; [13.7755102 11.2244898],0
s7,1,0.685377,0.164136,[13  8] ; [14 11],[12.32608696  8.67391304] ; [14.67391304 10.32608696],0
s8,1,0.732455,0.11687,[ 9 14] ; [11 14],[ 9.58333333 13.41666667] ; [10.41666667 14.58333333],0
s3,1,0.762807,0.091082,[15  9] ; [16  8],[15.5  8.5] ; [15.5  8.5],0
b2,1,0.816334,0.053946,[6 8] ; [5 8],[5.7037037 8.2962963] ; [5.2962963 7.7037037],0
b3,1,0.816334,0.053946,[6 8] ; [5 8],[5.7037037 8.2962963] ; [5.2962963 7.7037037],0
s2,1,0.844579,0.038431,[16  8] ; [16  9],[15.67346939  8.32653061] ; [16.32653061  8.67346939],0
d4,1,0.897374,0.016636,[13 11] ; [14 11],[13.2244898 10.7755102] ; [13.7755102 11.2244898],0
p1,1,0.942321,0.005235,[ 5 19] ; [ 5 20],[ 4.89795918 19.10204082] ; [ 5.10204082 19.89795918],0
v4,1,0.976486,0.000869,[23  1] ; [24  1],[23.02040816  0.97959184] ; [23.97959184  1.02040816],0
