Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6e-06,20.609266,[57 11] ; [ 4 11],[49.97590361 18.02409639] ; [11.02409639  3.97590361],1
v2,1,0.437281,0.603407,[32 36] ; [5 9],[30.68292683 37.31707317] ; [6.31707317 7.68292683],0
b5,1,0.451043,0.56803,[39 29] ; [7 8],[37.68674699 30.31325301] ; [8.31325301 6.68674699],0
b4,1,0.545882,0.364746,[42 26] ; [8 7],[40.96385542 27.03614458] ; [9.03614458 5.96385542],0
n1,1,0.552248,0.353306,[4 7] ; [4 4],[4.63157895 6.36842105] ; [3.36842105 4.63157895],0
d1,1,0.570723,0.321474,[46 22] ; [9 6],[45.06024096 22.93975904] ; [9.93975904 5.06024096],0
a3,1,0.590906,0.288932,[50 18] ; [10  5],[49.15662651 18.84337349] ; [10.84337349  4.15662651],0
b2,1,0.619401,0.246711,[ 9 31] ; [3 7],[ 9.6 30.4] ; [2.4 7.6],0
b3,1,0.619401,0.246711,[ 9 31] ; [3 7],[ 9.6 30.4] ; [2.4 7.6],0
n3,1,0.635848,0.224213,[8 3] ; [5 3],[7.52631579 3.47368421] ; [5.47368421 2.52631579],0
s7,1,0.721602,0.126963,[44 22] ; [8 5],[43.44303797 22.55696203] ; [8.55696203 4.44303797],0
r3,1,0.722013,0.126572,[64  3] ; [14  1],[63.73170732  3.26829268] ; [14.26829268  0.73170732],0
d2,1,0.770849,0.084835,[38 30] ; [9 6],[38.5060241 29.4939759] ; [8.4939759 6.5060241],0
d5,1,0.783907,0.075203,[57 11] ; [13  2],[57.34939759 10.65060241] ; [12.65060241  2.34939759],0
d4,1,0.783907,0.075203,[57 11] ; [13  2],[57.34939759 10.65060241] ; [12.65060241  2.34939759],0
s2,1,0.791132,0.070141,[47 20] ; [10  5],[46.57317073 20.42682927] ; [10.42682927  4.57317073],0
a6,1,0.814627,0.054972,[43 25] ; [9 6],[42.60240964 25.39759036] ; [9.39759036 5.60240964],0
a4,1,0.8152,0.054626,[34 34] ; [8 7],[34.40963855 33.59036145] ; [7.59036145 7.40963855],0
v3,1,0.891934,0.018457,[23 45] ; [5 9],[23.2195122 44.7804878] ; [4.7804878 9.2195122],0
s1,1,0.925983,0.00863,[ 5 63] ; [ 1 14],[ 4.91566265 63.08433735] ; [ 1.08433735 13.91566265],0
s5,1,0.993584,6.5e-05,[34 29] ; [7 6],[33.98684211 29.01315789] ; [7.01315789 5.98684211],0
