Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,49.33713,[ 9 26] ; [94 14],[25.20979021  9.79020979] ; [77.79020979 30.20979021],1
p1,1,0.42395,0.639339,[ 2 33] ; [11 97],[ 3.18181818 31.81818182] ; [ 9.81818182 98.18181818],0
d3,1,0.471477,0.518513,[25 10] ; [70 38],[23.25174825 11.74825175] ; [71.74825175 36.25174825],0
s3,1,0.486915,0.483337,[16 19] ; [41 64],[14.25 20.75] ; [42.75 62.25],0
a3,1,0.600196,0.274701,[25 10] ; [72 36],[23.74125874 11.25874126] ; [73.25874126 34.74125874],0
a7,1,0.634339,0.226223,[25 10] ; [80 26],[26.06382979  8.93617021] ; [78.93617021 27.06382979],0
r2,1,0.636471,0.223387,[34  1] ; [101   5],[33.5106383  1.4893617] ; [101.4893617   4.5106383],0
u3,1,0.654641,0.200099,[4 5] ; [19 17],[4.6 4.4] ; [18.4 17.6],0
p5,1,0.658722,0.19508,[ 3 32] ; [12 95],[ 3.6971831 31.3028169] ; [11.3028169 95.6971831],0
p9,1,0.68064,0.169407,[27  8] ; [86 21],[27.85211268  7.14788732] ; [85.14788732 21.85211268],0
r3,1,0.683767,0.165917,[32  3] ; [100   7],[32.53521127  2.46478873] ; [99.46478873  7.53521127],0
s8,1,0.697751,0.150822,[ 7 28] ; [25 83],[ 7.83216783 27.16783217] ; [24.16783217 83.83216783],0
r1,1,0.697751,0.150822,[28  7] ; [83 25],[27.16783217  7.83216783] ; [83.83216783 24.16783217],0
p10,1,0.709691,0.138585,[26  9] ; [82 24],[26.80851064  8.19148936] ; [81.19148936 24.80851064],0
b5,1,0.753346,0.098741,[21 14] ; [68 40],[21.78321678 13.21678322] ; [67.21678322 40.78321678],0
b4,1,0.757935,0.094983,[24 11] ; [71 37],[23.25174825 11.74825175] ; [71.74825175 36.25174825],0
s5,1,0.863825,0.029414,[ 8 26] ; [23 81],[ 7.63768116 26.36231884] ; [23.36231884 80.63768116],0
b2,1,0.94144,0.005396,[ 5 10] ; [23 44],[5.12195122 9.87804878] ; [22.87804878 44.12195122],0
b3,1,0.94144,0.005396,[ 5 10] ; [23 44],[5.12195122 9.87804878] ; [22.87804878 44.12195122],0
p12,1,0.972323,0.001204,[ 4 31] ; [12 95],[ 3.94366197 31.05633803] ; [12.05633803 94.94366197],0
a6,1,0.995326,3.4e-05,[24 11] ; [74 34],[23.98601399 11.01398601] ; [74.01398601 33.98601399],0
