Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,6e-06,20.524626,[ 20 331] ; [17 62],[ 30.20232558 320.79767442] ; [ 6.79767442 72.20232558],1
b2,1,0.166661,1.912722,[ 70 134] ; [22 27],[ 74.18181818 129.81818182] ; [17.81818182 31.18181818],0
r4,1,0.177102,1.821773,[306  46] ; [73  6],[309.53132251  42.46867749] ; [69.46867749  9.53132251],0
d4,1,0.197932,1.657571,[264  87] ; [64 14],[268.36363636  82.63636364] ; [59.63636364 18.36363636],0
s7,1,0.218413,1.514766,[ 84 251] ; [24 51],[ 88.24390244 246.75609756] ; [19.75609756 55.24390244],0
r3,1,0.226245,1.464313,[319  33] ; [74  4],[321.71162791  30.28837209] ; [71.28837209  6.71162791],0
s3,1,0.247607,1.336753,[ 87 259] ; [15 64],[ 83.04 262.96] ; [18.96 60.04],0
a4,1,0.288406,1.127049,[136 212] ; [36 43],[140.17798595 207.82201405] ; [31.82201405 47.17798595],0
n2,1,0.336438,0.923959,[58 33] ; [15  5],[59.84684685 31.15315315] ; [13.15315315  6.84684685],0
d5,1,0.351768,0.867069,[268  84] ; [64 15],[271.14617169  80.85382831] ; [60.85382831 18.14617169],0
n3,1,0.385311,0.753688,[60 29] ; [14  4],[61.55140187 27.44859813] ; [12.44859813  5.55140187],0
a3,1,0.416507,0.66015,[230 120] ; [55 23],[233.06074766 116.93925234] ; [51.93925234 26.06074766],0
v2,1,0.427701,0.629059,[171 166] ; [44 35],[174.17067308 162.82932692] ; [40.82932692 38.17067308],0
d3,1,0.432004,0.61743,[234 117] ; [49 30],[231.00697674 119.99302326] ; [51.99302326 27.00697674],0
u2,1,0.541991,0.371863,[61 60] ; [10 13],[59.65972222 61.34027778] ; [11.34027778 11.65972222],0
n5,1,0.555636,0.347318,[240 109] ; [57 22],[242.17990654 106.82009346] ; [54.82009346 24.17990654],0
b4,1,0.583027,0.301366,[202 150] ; [48 31],[204.17633411 147.82366589] ; [45.82366589 33.17633411],0
s1,1,0.659011,0.194727,[  7 341] ; [ 1 78],[  6.51990632 341.48009368] ; [ 1.48009368 77.51990632],0
n4,1,0.67564,0.175076,[254  97] ; [59 20],[255.49534884  95.50465116] ; [57.50465116 21.49534884],0
p9,1,0.689395,0.159741,[264  83] ; [61 17],[265.35294118  81.64705882] ; [59.64705882 18.35294118],0
v4,1,0.743445,0.107122,[327  23] ; [73  6],[326.34032634  23.65967366] ; [73.65967366  5.34032634],0
v3,1,0.756132,0.09645,[120 221] ; [26 52],[118.82100239 222.17899761] ; [27.17899761 50.82100239],0
p2,1,0.799154,0.064741,[273  75] ; [63 16],[273.83606557  74.16393443] ; [62.16393443 16.83606557],0
p11,1,0.868941,0.027226,[266  86] ; [59 20],[265.42923434  86.57076566] ; [59.57076566 19.42923434],0
u3,1,0.883224,0.021575,[63 59] ; [12 12],[62.67123288 59.32876712] ; [12.32876712 11.67123288],0
a2,1,0.900766,0.015549,[ 69 283] ; [15 64],[ 68.60324826 283.39675174] ; [15.39675174 63.60324826],0
