Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.9e-05,17.507809,[110   5] ; [54 18],[100.85561497  14.14438503] ; [63.14438503  8.85561497],1
u4,1,0.146264,2.110788,[  2 114] ; [ 4 68],[  3.70212766 112.29787234] ; [ 2.29787234 69.70212766],0
n6,1,0.146538,2.107923,[80 35] ; [42 29],[75.43010753 39.56989247] ; [46.56989247 24.43010753],0
d5,1,0.173289,1.854258,[86 30] ; [46 25],[81.88235294 34.11764706] ; [50.11764706 20.88235294],0
b3,1,0.175512,1.835219,[20 53] ; [17 26],[23.28448276 49.71551724] ; [13.71551724 29.28448276],0
b2,1,0.175512,1.835219,[20 53] ; [17 26],[23.28448276 49.71551724] ; [13.71551724 29.28448276],0
n2,1,0.213728,1.54599,[28 10] ; [21 14],[25.50684932 12.49315068] ; [23.49315068 11.50684932],0
a3,1,0.225902,1.466481,[75 40] ; [40 31],[71.10215054 43.89784946] ; [43.89784946 27.10215054],0
p1,1,0.230189,1.439692,[ 10 104] ; [ 3 69],[  7.96774194 106.03225806] ; [ 5.03225806 66.96774194],0
d4,1,0.241868,1.369674,[89 25] ; [50 21],[85.65405405 28.34594595] ; [53.34594595 17.65405405],0
s2,1,0.297639,1.084741,[43 70] ; [22 50],[39.7027027 73.2972973] ; [25.2972973 46.7027027],0
a2,1,0.340151,0.909861,[26 90] ; [12 60],[23.44680851 92.55319149] ; [14.55319149 57.44680851],0
b4,1,0.376351,0.782589,[72 44] ; [40 32],[69.10638298 46.89361702] ; [42.89361702 29.10638298],0
s6,1,0.415673,0.662516,[60 54] ; [33 38],[57.30810811 56.69189189] ; [35.69189189 35.30810811],0
n4,1,0.415686,0.66248,[77 38] ; [44 28],[74.41176471 40.58823529] ; [46.58823529 25.41176471],0
u1,1,0.467682,0.527448,[19 97] ; [ 9 63],[17.27659574 98.72340426] ; [10.72340426 61.27659574],0
n1,1,0.493076,0.469807,[15 22] ; [17 18],[16.44444444 20.55555556] ; [15.55555556 19.44444444],0
s5,1,0.525015,0.404031,[25 86] ; [13 57],[23.3038674 87.6961326] ; [14.6961326 55.3038674],0
a5,1,0.529488,0.395375,[73 43] ; [42 30],[70.95744681 45.04255319] ; [44.04255319 27.95744681],0
v3,1,0.566405,0.328734,[33 78] ; [23 45],[34.72625698 76.27374302] ; [21.27374302 46.72625698],0
d1,1,0.578402,0.308825,[58 58] ; [33 39],[56.14893617 59.85106383] ; [34.85106383 37.14893617],0
s4,1,0.670402,0.181132,[17 97] ; [ 9 62],[16.02162162 97.97837838] ; [ 9.97837838 61.02162162],0
u2,1,0.72836,0.120623,[16 23] ; [14 17],[16.71428571 22.28571429] ; [13.28571429 17.71428571],0
p5,1,0.753529,0.098589,[  6 110] ; [ 3 69],[  5.55319149 110.44680851] ; [ 3.44680851 68.55319149],0
u3,1,0.80011,0.064113,[23 18] ; [17 15],[22.46575342 18.53424658] ; [17.53424658 14.46575342],0
d2,1,0.895675,0.017194,[58 57] ; [36 34],[58.43243243 56.56756757] ; [35.56756757 34.43243243],0
n5,1,0.954733,0.003222,[65 50] ; [41 31],[65.18716578 49.81283422] ; [40.81283422 31.18716578],0
a4,1,0.966011,0.001816,[51 65] ; [31 39],[51.13978495 64.86021505] ; [30.86021505 39.13978495],0
