Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.2e-05,19.210051,[50 15] ; [ 3 13],[42.5308642 22.4691358] ; [10.4691358  5.5308642],1
p1,1,0.372741,0.794508,[20 47] ; [ 3 13],[18.56626506 48.43373494] ; [ 4.43373494 11.56626506],0
a4,1,0.379176,0.773371,[29 38] ; [ 5 11],[27.44578313 39.55421687] ; [6.55421687 9.44578313],0
n2,1,0.45675,0.553846,[12  4] ; [1 1],[11.55555556  4.44444444] ; [1.44444444 0.55555556],0
d3,1,0.520449,0.413004,[44 22] ; [12  4],[45.07317073 20.92682927] ; [10.92682927  5.07317073],0
s5,1,0.57287,0.317904,[44 19] ; [10  6],[43.06329114 19.93670886] ; [10.93670886  5.06329114],0
u3,1,0.580543,0.305357,[9 6] ; [3 1],[9.47368421 5.52631579] ; [2.52631579 1.47368421],0
v2,1,0.583818,0.300102,[38 28] ; [8 8],[37.02439024 28.97560976] ; [8.97560976 7.02439024],0
n5,1,0.609221,0.261311,[60  7] ; [15  1],[60.54216867  6.45783133] ; [14.45783133  1.54216867],0
v1,1,0.66438,0.188246,[45 21] ; [10  6],[44.26829268 21.73170732] ; [10.73170732  5.26829268],0
s1,1,0.665983,0.186337,[ 6 61] ; [ 2 14],[ 6.45783133 60.54216867] ; [ 1.54216867 14.45783133],0
d1,1,0.716562,0.131811,[41 26] ; [9 7],[40.36144578 26.63855422] ; [9.63855422 6.36144578],0
r4,1,0.766156,0.088451,[64  3] ; [15  1],[63.77108434  3.22891566] ; [15.22891566  0.77108434],0
r3,1,0.766156,0.088451,[64  3] ; [15  1],[63.77108434  3.22891566] ; [15.22891566  0.77108434],0
b4,1,0.800859,0.063623,[40 27] ; [9 7],[39.55421687 27.44578313] ; [9.44578313 6.55421687],0
a6,1,0.802995,0.062236,[39 27] ; [10  6],[39.43902439 26.56097561] ; [9.56097561 6.43902439],0
a3,1,0.823204,0.049919,[52 15] ; [12  4],[51.6626506 15.3373494] ; [12.3373494  3.6626506],0
n4,1,0.866353,0.028322,[62  5] ; [15  1],[62.15662651  4.84337349] ; [14.84337349  1.15662651],0
n3,1,0.866815,0.028125,[9 7] ; [1 1],[8.88888889 7.11111111] ; [1.11111111 0.88888889],0
p4,1,0.897502,0.016594,[58  8] ; [13  2],[57.85185185  8.14814815] ; [13.14814815  1.85185185],0
r1,1,0.9375,0.006148,[55 12] ; [13  3],[54.89156627 12.10843373] ; [13.10843373  2.89156627],0
u1,1,0.952562,0.003539,[13 54] ; [ 3 13],[12.91566265 54.08433735] ; [ 3.08433735 12.91566265],0
a8,1,0.964929,0.001933,[11 53] ; [ 2 10],[10.94736842 53.05263158] ; [2.05263158 9.94736842],0
s4,1,0.991845,0.000104,[ 9 58] ; [ 2 13],[ 8.98780488 58.01219512] ; [ 2.01219512 12.98780488],0
