Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,90.187516,[154   5] ; [70 73],[117.93377483  41.06622517] ; [106.06622517  36.93377483],1
p5,1,0.410706,0.676757,[ 10 147] ; [  6 136],[  8.40133779 148.59866221] ; [  7.59866221 134.40133779],0
p3,1,0.461109,0.543201,[65 91] ; [54 90],[61.88 94.12] ; [57.12 86.88],0
s3,1,0.528931,0.396445,[ 41 116] ; [ 42 101],[ 43.43666667 113.56333333] ; [ 39.56333333 103.43666667],0
p2,1,0.569376,0.323728,[119  37] ; [105  38],[116.86956522  39.13043478] ; [107.13043478  35.86956522],0
a8,1,0.583976,0.299851,[ 12 130] ; [ 14 121],[ 13.32851986 128.67148014] ; [ 12.67148014 122.32851986],0
s7,1,0.589614,0.290948,[ 36 114] ; [ 29 107],[ 34.09090909 115.90909091] ; [ 30.90909091 105.09090909],0
u3,1,0.609111,0.261471,[21 17] ; [31 31],[19.76 18.24] ; [32.24 29.76],0
p6,1,0.6477,0.208812,[ 41 112] ; [ 35 108],[ 39.28378378 113.71621622] ; [ 36.71621622 106.28378378],0
s2,1,0.708237,0.140044,[ 30 127] ; [ 30 114],[ 31.29568106 125.70431894] ; [ 28.70431894 115.29568106],0
v4,1,0.785014,0.074415,[146  12] ; [130  12],[145.36  12.64] ; [130.64  11.36],0
p12,1,0.803771,0.061737,[  4 153] ; [  3 139],[  3.67558528 153.32441472] ; [  3.32441472 138.67558528],0
