Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,6e-06,20.436575,[21 31] ; [106  35],[34.21761658 17.78238342] ; [92.78238342 48.21761658],1
u3,1,0.124606,2.35845,[12 11] ; [36 15],[14.91891892  8.08108108] ; [33.08108108 17.91891892],0
s7,1,0.124875,2.355087,[12 37] ; [49 85],[16.33333333 32.66666667] ; [44.66666667 89.33333333],0
s6,1,0.141634,2.16012,[27 23] ; [92 48],[31.31578947 18.68421053] ; [87.68421053 52.31578947],0
v4,1,0.186618,1.744116,[48  3] ; [138   3],[49.40625  1.59375] ; [136.59375   4.40625],0
p1,1,0.245657,1.347836,[ 5 47] ; [  7 132],[ 3.26701571 48.73298429] ; [  8.73298429 130.26701571],0
p5,1,0.27879,1.172981,[ 1 50] ; [  8 132],[ 2.40314136 48.59685864] ; [  6.59685864 133.40314136],0
b1,1,0.295109,1.096167,[20 32] ; [43 98],[16.97409326 35.02590674] ; [46.02590674 94.97409326],0
n1,1,0.309395,1.033258,[ 8 14] ; [11 34],[ 6.23880597 15.76119403] ; [12.76119403 32.23880597],0
n6,1,0.324741,0.969756,[32 20] ; [96 43],[34.84816754 17.15183246] ; [93.15183246 45.84816754],0
a4,1,0.342145,0.902378,[20 32] ; [44 97],[17.24352332 34.75647668] ; [46.75647668 94.24352332],0
p4,1,0.374871,0.787453,[20 31] ; [65 75],[22.69633508 28.30366492] ; [62.30366492 77.69633508],0
a3,1,0.402082,0.702091,[29 23] ; [88 53],[31.52331606 20.47668394] ; [85.47668394 55.52331606],0
b2,1,0.423724,0.639965,[ 7 21] ; [22 44],[ 8.63829787 19.36170213] ; [20.36170213 45.63829787],0
b3,1,0.423724,0.639965,[ 7 21] ; [22 44],[ 8.63829787 19.36170213] ; [20.36170213 45.63829787],0
s8,1,0.434024,0.612031,[15 36] ; [50 91],[17.265625 33.734375] ; [47.734375 93.265625],0
p12,1,0.44934,0.572315,[ 1 50] ; [  6 134],[ 1.86910995 49.13089005] ; [  5.13089005 134.86910995],0
p3,1,0.453311,0.562359,[17 35] ; [54 86],[19.22916667 32.77083333] ; [51.77083333 88.22916667],0
a5,1,0.455207,0.557654,[29 23] ; [87 54],[31.25388601 20.74611399] ; [84.74611399 56.25388601],0
s2,1,0.488687,0.479417,[21 30] ; [66 75],[23.109375 27.890625] ; [63.890625 77.109375],0
d2,1,0.529145,0.396033,[21 31] ; [50 91],[19.12953368 32.87046632] ; [51.87046632 89.12953368],0
p11,1,0.553659,0.350803,[37 15] ; [94 47],[35.29533679 16.70466321] ; [95.70466321 45.29533679],0
s3,1,0.679762,0.170394,[25 27] ; [72 68],[26.27083333 25.72916667] ; [70.72916667 69.27083333],0
s5,1,0.687261,0.162067,[16 32] ; [42 97],[14.88770053 33.11229947] ; [43.11229947 95.88770053],0
p6,1,0.689752,0.159354,[13 37] ; [ 32 106],[11.96808511 38.03191489] ; [ 33.03191489 104.96808511],0
n5,1,0.703639,0.144714,[19 32] ; [48 92],[17.89005236 33.10994764] ; [49.10994764 90.89005236],0
v1,1,0.709992,0.138285,[21 31] ; [59 77],[22.12765957 29.87234043] ; [57.87234043 78.12765957],0
a8,1,0.71099,0.13729,[ 3 47] ; [  6 123],[ 2.51396648 47.48603352] ; [  6.48603352 122.51396648],0
p7,1,0.726293,0.122542,[30 21] ; [75 59],[28.94594595 22.05405405] ; [76.05405405 57.94594595],0
b4,1,0.744818,0.105937,[30 22] ; [85 56],[30.98445596 21.01554404] ; [84.01554404 56.98445596],0
n3,1,0.807528,0.059349,[17  6] ; [32 13],[16.57352941  6.42647059] ; [32.42647059 12.57352941],0
u2,1,0.868222,0.027528,[14  9] ; [30 21],[13.67567568  9.32432432] ; [30.32432432 20.67567568],0
s4,1,0.898697,0.016207,[13 39] ; [ 34 107],[12.66321244 39.33678756] ; [ 34.33678756 106.66321244],0
r2,1,0.899321,0.016007,[50  2] ; [135   6],[49.84455959  2.15544041] ; [135.15544041   5.84455959],0
