Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,9.7e-05,15.192249,[30  9] ; [ 9 21],[22.04347826 16.95652174] ; [16.95652174 13.04347826],1
s4,1,0.652781,0.202412,[ 5 34] ; [ 5 25],[ 5.65217391 33.34782609] ; [ 4.34782609 25.65217391],0
a3,1,0.659765,0.193809,[23 15] ; [16 13],[22.11940299 15.88059701] ; [16.88059701 12.11940299],0
a8,1,0.666062,0.186243,[ 2 34] ; [ 1 29],[ 1.63636364 34.36363636] ; [ 1.36363636 28.63636364],0
s1,1,0.692287,0.15662,[ 4 35] ; [ 4 26],[ 4.52173913 34.47826087] ; [ 3.47826087 26.52173913],0
a2,1,0.716774,0.131605,[ 5 34] ; [ 3 27],[ 4.52173913 34.47826087] ; [ 3.47826087 26.52173913],0
p6,1,0.724963,0.123787,[ 5 33] ; [ 3 26],[ 4.53731343 33.46268657] ; [ 3.46268657 25.53731343],0
p8,1,0.776447,0.080629,[ 6 32] ; [ 4 26],[ 5.58823529 32.41176471] ; [ 4.41176471 25.58823529],0
v3,1,0.778265,0.079288,[ 8 31] ; [ 7 23],[ 8.47826087 30.52173913] ; [ 6.52173913 23.47826087],0
d2,1,0.860964,0.030677,[16 22] ; [12 18],[15.64705882 22.35294118] ; [12.35294118 17.64705882],0
a5,1,0.865721,0.028594,[19 20] ; [14 16],[18.65217391 20.34782609] ; [14.34782609 15.65217391],0
a4,1,0.877967,0.023577,[12 26] ; [10 20],[12.29411765 25.70588235] ; [ 9.70588235 20.29411765],0
p10,1,0.939486,0.005763,[13 25] ; [10 20],[12.85294118 25.14705882] ; [10.14705882 19.85294118],0
s3,1,0.98132,0.000548,[12 27] ; [ 9 20],[12.04411765 26.95588235] ; [ 8.95588235 20.04411765],0
