Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,5e-06,20.80969,[23 19] ; [ 4 40],[13.18604651 28.81395349] ; [13.81395349 30.18604651],1
d3,1,0.322886,0.977222,[25 17] ; [21 22],[22.72941176 19.27058824] ; [23.27058824 19.72941176],0
u3,1,0.345779,0.888889,[5 5] ; [10 20],[3.75 6.25] ; [11.25 18.75],0
a7,1,0.443071,0.588317,[24 18] ; [21 22],[22.23529412 19.76470588] ; [22.76470588 20.23529412],0
s3,1,0.54286,0.370265,[18 19] ; [18 25],[16.65 20.35] ; [19.35 23.65],0
n3,1,0.548585,0.359859,[9 4] ; [13  9],[8.17142857 4.82857143] ; [13.82857143  8.17142857],0
p1,1,0.60688,0.264743,[ 3 39] ; [ 2 42],[ 2.44186047 39.55813953] ; [ 2.55813953 41.44186047],0
b3,1,0.625872,0.2377,[ 9 21] ; [ 5 16],[ 8.23529412 21.76470588] ; [ 5.76470588 15.23529412],0
b2,1,0.625872,0.2377,[ 9 21] ; [ 5 16],[ 8.23529412 21.76470588] ; [ 5.76470588 15.23529412],0
s5,1,0.654835,0.199859,[10 29] ; [ 9 33],[ 9.14814815 29.85185185] ; [ 9.85185185 32.14814815],0
s4,1,0.716955,0.131429,[ 8 33] ; [10 34],[ 8.68235294 32.31764706] ; [ 9.31764706 34.68235294],0
n2,1,0.736183,0.11351,[9 4] ; [14  8],[8.54285714 4.45714286] ; [14.45714286  7.54285714],0
b1,1,0.825248,0.048753,[22 20] ; [22 22],[21.48837209 20.51162791] ; [22.51162791 21.48837209],0
p7,1,0.835134,0.043315,[21 20] ; [23 20],[21.47619048 19.52380952] ; [22.52380952 20.47619048],0
r2,1,0.887922,0.019862,[20 16] ; [24 18],[20.30769231 15.69230769] ; [23.69230769 18.30769231],0
p8,1,0.891691,0.018541,[16 26] ; [17 26],[16.30588235 25.69411765] ; [16.69411765 26.30588235],0
r3,1,0.924947,0.008874,[26 12] ; [29 14],[25.80246914 12.19753086] ; [29.19753086 13.80246914],0
b5,1,0.967417,0.001669,[25 17] ; [26 18],[24.90697674 17.09302326] ; [26.09302326 17.90697674],0
s1,1,0.973446,0.001108,[ 1 41] ; [ 1 43],[ 0.97674419 41.02325581] ; [ 1.02325581 42.97674419],0
