Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6e-06,20.537949,[28  9] ; [22 51],[16.81818182 20.18181818] ; [33.18181818 39.81818182],1
b2,1,0.678291,0.172057,[ 7 15] ; [17 29],[ 7.76470588 14.23529412] ; [16.23529412 29.76470588],0
p5,1,0.699288,0.149214,[ 3 34] ; [ 8 69],[ 3.57017544 33.42982456] ; [ 7.42982456 69.57017544],0
p7,1,0.74183,0.108525,[23 14] ; [49 26],[23.78571429 13.21428571] ; [48.21428571 26.78571429],0
u1,1,0.754434,0.097842,[ 4 33] ; [ 7 71],[ 3.53913043 33.46086957] ; [ 7.46086957 70.53913043],0
n4,1,0.766865,0.087899,[28  9] ; [57 21],[27.34782609  9.65217391] ; [57.65217391 20.34782609],0
a4,1,0.772692,0.083437,[14 23] ; [27 50],[13.30701754 23.69298246] ; [27.69298246 49.30701754],0
p10,1,0.841868,0.039802,[26 11] ; [52 24],[25.53982301 11.46017699] ; [52.46017699 23.53982301],0
u2,1,0.853364,0.034161,[6 6] ; [15 17],[5.72727273 6.27272727] ; [15.27272727 16.72727273],0
u3,1,0.853364,0.034161,[6 6] ; [17 15],[6.27272727 5.72727273] ; [16.72727273 15.27272727],0
r1,1,0.863578,0.029523,[27 10] ; [55 22],[26.61403509 10.38596491] ; [55.38596491 21.61403509],0
a5,1,0.948742,0.004133,[23 14] ; [48 30],[22.84347826 14.15652174] ; [48.15652174 29.84347826],0
s8,1,0.967396,0.001671,[12 25] ; [25 53],[11.90434783 25.09565217] ; [25.09565217 52.90434783],0
n2,1,0.975646,0.000932,[5 2] ; [17  7],[4.96774194 2.03225806] ; [17.03225806  6.96774194],0
p12,1,0.982392,0.000487,[ 1 36] ; [ 2 74],[ 0.98230088 36.01769912] ; [ 2.01769912 73.98230088],0
