Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,117.52323,[244   3] ; [84 65],[204.58585859  42.41414141] ; [123.41414141  25.58585859],1
v4,1,0.346654,0.885666,[240  10] ; [139   9],[238.06532663  11.93467337] ; [140.93467337   7.06532663],0
p7,1,0.39171,0.733627,[163  79] ; [103  41],[166.76683938  75.23316062] ; [99.23316062 44.76683938],0
p1,1,0.400909,0.705597,[ 27 224] ; [ 12 135],[ 24.59547739 226.40452261] ; [ 14.40452261 132.59547739],0
a8,1,0.496408,0.462608,[ 39 193] ; [ 28 115],[ 41.45066667 190.54933333] ; [ 25.54933333 117.45066667],0
b1,1,0.506424,0.44145,[106 145] ; [68 81],[109.185 141.815] ; [64.815 84.185],0
p2,1,0.613019,0.255803,[215  36] ; [124  24],[213.2556391  37.7443609] ; [125.7443609  22.2556391],0
n1,1,0.645238,0.211957,[24 22] ; [15 17],[23. 23.] ; [16. 16.],0
s4,1,0.656476,0.197833,[ 49 199] ; [ 32 116],[ 50.72727273 197.27272727] ; [ 30.27272727 117.72727273],0
b4,1,0.706984,0.141308,[148 103] ; [85 64],[146.2075 104.7925] ; [86.7925 62.2075],0
s1,1,0.88873,0.019575,[ 11 237] ; [  6 139],[ 10.72773537 237.27226463] ; [  6.27226463 138.72773537],0
