Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.293199,[27  9] ; [ 5 25],[17.45454545 18.54545455] ; [14.54545455 15.45454545],1
d4,1,0.22601,1.465798,[30  6] ; [22  9],[27.94029851  8.05970149] ; [24.05970149  6.94029851],0
p7,1,0.233749,1.417903,[22 11] ; [24  6],[24.0952381  8.9047619] ; [21.9047619  8.0952381],0
v4,1,0.23464,1.41251,[35  1] ; [28  3],[33.85074627  2.14925373] ; [29.14925373  1.85074627],0
p1,1,0.263289,1.251379,[ 7 29] ; [ 3 28],[ 5.37313433 30.62686567] ; [ 4.62686567 26.37313433],0
p8,1,0.344343,0.894194,[14 21] ; [16 15],[15.90909091 19.09090909] ; [14.09090909 16.90909091],0
s1,1,0.415261,0.663687,[ 3 33] ; [ 1 28],[ 2.21538462 33.78461538] ; [ 1.78461538 27.21538462],0
d3,1,0.41878,0.653736,[21 15] ; [14 15],[19.38461538 16.61538462] ; [15.61538462 13.38461538],0
v1,1,0.459355,0.547465,[19 16] ; [14 17],[17.5 17.5] ; [15.5 15.5],0
a2,1,0.471111,0.519369,[ 7 29] ; [ 4 27],[ 5.91044776 30.08955224] ; [ 5.08955224 25.91044776],0
a7,1,0.4871,0.482927,[21 15] ; [20 10],[22.36363636 13.63636364] ; [18.63636364 11.36363636],0
d1,1,0.509184,0.435744,[18 18] ; [13 18],[16.65671642 19.34328358] ; [14.34328358 16.65671642],0
r1,1,0.511057,0.431903,[27  9] ; [21 10],[25.79104478 10.20895522] ; [22.20895522  8.79104478],0
a4,1,0.538424,0.378468,[13 23] ; [ 9 22],[11.82089552 24.17910448] ; [10.17910448 20.82089552],0
v2,1,0.564699,0.331633,[20 15] ; [15 15],[18.84615385 16.15384615] ; [16.15384615 13.84615385],0
b3,1,0.577046,0.311034,[12 15] ; [7 6],[12.825 14.175] ; [6.175 6.825],0
b2,1,0.577046,0.311034,[12 15] ; [7 6],[12.825 14.175] ; [6.175 6.825],0
n2,1,0.601448,0.272817,[7 1] ; [11  3],[6.54545455 1.45454545] ; [11.45454545  2.54545455],0
n3,1,0.603743,0.269388,[6 2] ; [9 5],[5.45454545 2.54545455] ; [9.54545455 4.45454545],0
p2,1,0.625944,0.237601,[26 10] ; [24  7],[26.86567164  9.13432836] ; [23.13432836  7.86567164],0
p12,1,0.648329,0.208013,[ 2 33] ; [ 1 29],[ 1.61538462 33.38461538] ; [ 1.38461538 28.61538462],0
n5,1,0.689461,0.15967,[26 10] ; [21 10],[25.25373134 10.74626866] ; [21.74626866  9.25373134],0
a6,1,0.727242,0.121659,[24 11] ; [20 11],[23.33333333 11.66666667] ; [20.66666667 10.33333333],0
b4,1,0.746907,0.104148,[16 20] ; [15 16],[16.65671642 19.34328358] ; [14.34328358 16.65671642],0
b1,1,0.805651,0.060536,[15 21] ; [12 19],[14.50746269 21.49253731] ; [12.49253731 18.50746269],0
d5,1,0.809362,0.058201,[25 11] ; [20 10],[24.54545455 11.45454545] ; [20.45454545  9.54545455],0
r4,1,0.848296,0.036593,[32  4] ; [28  3],[32.23880597  3.76119403] ; [27.76119403  3.23880597],0
a1,1,0.877334,0.023824,[ 2 34] ; [ 2 29],[ 2.14925373 33.85074627] ; [ 1.85074627 29.14925373],0
a8,1,0.922079,0.009568,[ 4 28] ; [ 4 26],[ 4.12903226 27.87096774] ; [ 3.87096774 26.12903226],0
p11,1,0.925548,0.008732,[24 12] ; [21 10],[24.17910448 11.82089552] ; [20.82089552 10.17910448],0
b5,1,0.939707,0.005721,[27  9] ; [23  8],[26.86567164  9.13432836] ; [23.13432836  7.86567164],0
n6,1,0.992621,8.6e-05,[29  7] ; [25  6],[29.01492537  6.98507463] ; [24.98507463  6.01492537],0
