Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.007631,7.11811,[10 34] ; [9 6],[14.16949153 29.83050847] ; [ 4.83050847 10.16949153],0
n1,1,0.582493,0.302222,[4 8] ; [1 4],[3.52941176 8.47058824] ; [1.47058824 3.52941176],0
a8,1,0.600599,0.274094,[ 5 36] ; [ 1 13],[ 4.47272727 36.52727273] ; [ 1.52727273 12.47272727],0
r3,1,0.603231,0.27015,[39  5] ; [14  1],[39.52542373  4.47457627] ; [13.47457627  1.52542373],0
a6,1,0.603927,0.269113,[23 21] ; [9 6],[23.86440678 20.13559322] ; [8.13559322 6.86440678],0
d3,1,0.679769,0.170386,[29 15] ; [9 6],[28.33898305 15.66101695] ; [9.66101695 5.33898305],0
d4,1,0.694249,0.154524,[33 11] ; [12  3],[33.55932203 10.44067797] ; [11.44067797  3.55932203],0
b1,1,0.69676,0.151865,[26 18] ; [8 7],[25.3559322 18.6440678] ; [8.6440678 6.3559322],0
p4,1,0.707619,0.140667,[21 23] ; [8 7],[21.62711864 22.37288136] ; [7.37288136 7.62711864],0
d1,1,0.707619,0.140667,[21 23] ; [8 7],[21.62711864 22.37288136] ; [7.37288136 7.62711864],0
n4,1,0.708255,0.140026,[30 14] ; [11  4],[30.57627119 13.42372881] ; [10.42372881  4.57627119],0
b5,1,0.713274,0.135029,[24 20] ; [9 6],[24.61016949 19.38983051] ; [8.38983051 6.61016949],0
u3,1,0.748328,0.102941,[10  7] ; [2 2],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
p6,1,0.790388,0.070653,[11 33] ; [ 4 10],[11.37931034 32.62068966] ; [ 3.62068966 10.37931034],0
r4,1,0.825811,0.048434,[34 10] ; [12  3],[34.30508475  9.69491525] ; [11.69491525  3.30508475],0
p11,1,0.829487,0.04638,[25 19] ; [9 6],[25.3559322 18.6440678] ; [8.6440678 6.3559322],0
p2,1,0.832356,0.044809,[28 16] ; [10  5],[28.33898305 15.66101695] ; [9.66101695 5.33898305],0
n3,1,0.875975,0.024359,[7 6] ; [3 3],[6.84210526 6.15789474] ; [3.15789474 2.84210526],0
p10,1,0.913635,0.011762,[14 30] ; [ 5 10],[14.16949153 29.83050847] ; [ 4.83050847 10.16949153],0
n5,1,0.950645,0.003831,[26 18] ; [9 6],[26.10169492 17.89830508] ; [8.89830508 6.10169492],0
a1,1,0.983918,0.000406,[ 3 41] ; [ 1 14],[ 2.98305085 41.01694915] ; [ 1.01694915 13.98305085],0
