Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,102.774389,[131   9] ; [24 59],[97.30941704 42.69058296] ; [57.69058296 25.30941704],1
a6,1,0.246794,1.341362,[98 44] ; [51 32],[94.03555556 47.96444444] ; [54.96444444 28.03555556],0
s1,1,0.260354,1.266875,[  3 137] ; [ 4 78],[  4.41441441 135.58558559] ; [ 2.58558559 79.41441441],0
u4,1,0.281867,1.158068,[  1 141] ; [ 2 81],[  1.89333333 140.10666667] ; [ 1.10666667 81.89333333],0
b5,1,0.300068,1.073894,[87 55] ; [45 38],[83.30666667 58.69333333] ; [48.69333333 34.30666667],0
d2,1,0.319094,0.992658,[51 89] ; [35 46],[54.47963801 85.52036199] ; [31.52036199 49.47963801],0
u3,1,0.329452,0.951049,[36 30] ; [16 20],[33.64705882 32.35294118] ; [18.35294118 17.64705882],0
n3,1,0.386566,0.749718,[25 12] ; [22 16],[23.18666667 13.81333333] ; [23.81333333 14.18666667],0
v3,1,0.411869,0.6734,[39 96] ; [19 61],[36.41860465 98.58139535] ; [21.58139535 58.41860465],0
a8,1,0.417272,0.657986,[ 10 127] ; [ 8 68],[ 11.57746479 125.42253521] ; [ 6.42253521 69.57746479],0
p6,1,0.428448,0.627027,[ 15 126] ; [ 6 75],[ 13.33783784 127.66216216] ; [ 7.66216216 73.33783784],0
r1,1,0.472072,0.517122,[95 46] ; [52 31],[92.53125 48.46875] ; [54.46875 28.53125],0
a3,1,0.51547,0.422947,[76 66] ; [47 34],[78.32286996 63.67713004] ; [44.67713004 36.32286996],0
d1,1,0.579975,0.306275,[67 75] ; [36 47],[65.00444444 76.99555556] ; [37.99555556 45.00444444],0
p1,1,0.616139,0.251332,[ 13 129] ; [ 6 77],[ 11.99111111 130.00888889] ; [ 7.00888889 75.99111111],0
s4,1,0.657235,0.1969,[ 22 119] ; [11 71],[ 20.86547085 120.13452915] ; [12.13452915 69.86547085],0
n1,1,0.750293,0.101285,[12 25] ; [14 25],[12.65789474 24.34210526] ; [13.34210526 25.65789474],0
d5,1,0.842835,0.039311,[101  41] ; [58 25],[100.34666667  41.65333333] ; [58.65333333 24.34666667],0
b4,1,0.887779,0.019913,[92 50] ; [53 30],[91.51111111 50.48888889] ; [53.48888889 29.51111111],0
s8,1,0.938338,0.005984,[ 20 122] ; [12 71],[ 20.19555556 121.80444444] ; [11.80444444 71.19555556],0
b2,1,0.942319,0.005235,[21 35] ; [21 36],[20.81415929 35.18584071] ; [21.18584071 35.81415929],0
b3,1,0.942319,0.005235,[21 35] ; [21 36],[20.81415929 35.18584071] ; [21.18584071 35.81415929],0
u1,1,0.996476,2e-05,[ 12 130] ; [ 7 76],[ 11.99111111 130.00888889] ; [ 7.00888889 75.99111111],0
