Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,9.5e-05,15.235587,[13 22] ; [36  9],[21.4375 13.5625] ; [27.5625 17.4375],1
s4,1,0.251853,1.312996,[ 7 28] ; [ 5 41],[ 5.18518519 29.81481481] ; [ 6.81481481 39.18518519],0
a8,1,0.266436,1.235004,[ 2 31] ; [ 6 37],[ 3.47368421 29.52631579] ; [ 4.52631579 38.47368421],0
u1,1,0.279431,1.169853,[ 1 34] ; [ 4 42],[ 2.16049383 32.83950617] ; [ 2.83950617 43.16049383],0
p2,1,0.334885,0.929916,[16 19] ; [26 20],[18.14814815 16.85185185] ; [23.85185185 22.14814815],0
p7,1,0.344063,0.895232,[15 20] ; [15 31],[12.96296296 22.03703704] ; [17.03703704 28.96296296],0
s8,1,0.367743,0.811275,[ 3 32] ; [ 7 39],[ 4.32098765 30.67901235] ; [ 5.67901235 40.32098765],0
b4,1,0.395498,0.721972,[18 17] ; [28 18],[19.87654321 15.12345679] ; [26.12345679 19.87654321],0
p1,1,0.396745,0.718169,[ 2 33] ; [ 5 40],[ 3.0625 31.9375] ; [ 3.9375 41.0625],0
s1,1,0.396745,0.718169,[ 2 33] ; [ 5 40],[ 3.0625 31.9375] ; [ 3.9375 41.0625],0
p4,1,0.423422,0.640798,[12 23] ; [12 34],[10.37037037 24.62962963] ; [13.62962963 32.37037037],0
s7,1,0.451322,0.56733,[ 7 23] ; [ 7 36],[ 5.75342466 24.24657534] ; [ 8.24657534 34.75342466],0
p6,1,0.561906,0.336415,[ 7 27] ; [ 7 38],[ 6.02531646 27.97468354] ; [ 7.97468354 37.02531646],0
v1,1,0.604314,0.268538,[11 24] ; [17 29],[12.09876543 22.90123457] ; [15.90123457 30.09876543],0
r2,1,0.65103,0.204604,[28  6] ; [36 10],[27.2  6.8] ; [36.8  9.2],0
p9,1,0.696793,0.15183,[10 25] ; [15 31],[10.80246914 24.19753086] ; [14.19753086 31.80246914],0
n5,1,0.704304,0.144033,[13 22] ; [19 27],[13.82716049 21.17283951] ; [18.17283951 27.82716049],0
u3,1,0.718894,0.129555,[ 9 10] ; [7 6],[9.5 9.5] ; [6.5 6.5],0
a1,1,0.731283,0.117937,[ 3 32] ; [ 5 41],[ 3.45679012 31.54320988] ; [ 4.54320988 41.45679012],0
d2,1,0.734034,0.11544,[15 20] ; [21 24],[15.75 19.25] ; [20.25 24.75],0
r4,1,0.735254,0.114342,[20 15] ; [28 18],[20.74074074 14.25925926] ; [27.25925926 18.74074074],0
s2,1,0.738434,0.111508,[ 8 27] ; [12 34],[ 8.64197531 26.35802469] ; [11.35802469 34.64197531],0
v4,1,0.801733,0.063054,[22 12] ; [31 15],[22.525 11.475] ; [30.475 15.525],0
s6,1,0.803849,0.061687,[12 23] ; [17 29],[12.5308642 22.4691358] ; [16.4691358 29.5308642],0
p8,1,0.809529,0.058097,[ 7 28] ; [10 35],[ 7.4375 27.5625] ; [ 9.5625 35.4375],0
v2,1,0.8385,0.04154,[11 22] ; [16 29],[11.42307692 21.57692308] ; [15.57692308 29.42307692],0
p3,1,0.849875,0.035826,[10 25] ; [12 33],[ 9.625 25.375] ; [12.375 32.625],0
n4,1,0.850358,0.035593,[19 16] ; [24 22],[18.58024691 16.41975309] ; [24.41975309 21.58024691],0
p12,1,0.856804,0.03256,[ 1 34] ; [ 1 44],[ 0.875 34.125] ; [ 1.125 43.875],0
v3,1,0.921311,0.009758,[ 7 25] ; [ 9 34],[ 6.82666667 25.17333333] ; [ 9.17333333 33.82666667],0
s3,1,0.954554,0.003248,[15 19] ; [20 26],[14.875 19.125] ; [20.125 25.875],0
n3,1,0.970496,0.001368,[10  6] ; [13  8],[9.94594595 6.05405405] ; [13.05405405  7.94594595],0
