Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.734502,[ 4 46] ; [16 12],[12.82051282 37.17948718] ; [ 7.17948718 20.82051282],1
n1,1,0.312563,1.019814,[ 6 14] ; [7 8],[ 7.42857143 12.57142857] ; [5.57142857 9.42857143],0
a7,1,0.320819,0.985603,[25 24] ; [11 17],[22.90909091 26.09090909] ; [13.09090909 14.90909091],0
p8,1,0.337621,0.919445,[16 34] ; [12 16],[17.94871795 32.05128205] ; [10.05128205 17.94871795],0
s6,1,0.338352,0.916667,[19 30] ; [14 14],[21. 28.] ; [12. 16.],0
u2,1,0.365437,0.819123,[10 18] ; [1 5],[ 9.05882353 18.94117647] ; [1.94117647 4.05882353],0
a2,1,0.380078,0.770449,[ 4 46] ; [ 4 24],[ 5.12820513 44.87179487] ; [ 2.87179487 25.12820513],0
d3,1,0.41675,0.659463,[28 22] ; [13 15],[26.28205128 23.71794872] ; [14.71794872 13.28205128],0
a4,1,0.438823,0.599359,[15 34] ; [11 17],[16.54545455 32.45454545] ; [ 9.45454545 18.54545455],0
a1,1,0.443677,0.586755,[ 4 46] ; [ 1 27],[ 3.20512821 46.79487179] ; [ 1.79487179 26.20512821],0
d2,1,0.444859,0.583717,[18 30] ; [13 15],[19.57894737 28.42105263] ; [11.42105263 16.57894737],0
p2,1,0.445569,0.581898,[32 16] ; [21  7],[33.47368421 14.52631579] ; [19.52631579  8.47368421],0
r1,1,0.468231,0.526148,[12 37] ; [ 9 19],[13.36363636 35.63636364] ; [ 7.63636364 20.36363636],0
p10,1,0.476877,0.505997,[28 20] ; [18  9],[29.44 18.56] ; [16.56 10.44],0
p1,1,0.480297,0.498188,[ 6 43] ; [ 2 26],[ 5.09090909 43.90909091] ; [ 2.90909091 25.09090909],0
d5,1,0.504377,0.445714,[32 18] ; [20  8],[33.33333333 16.66666667] ; [18.66666667  9.33333333],0
s1,1,0.546072,0.364402,[ 2 48] ; [ 2 26],[ 2.56410256 47.43589744] ; [ 1.43589744 26.56410256],0
b1,1,0.58145,0.303896,[20 30] ; [13 15],[21.15384615 28.84615385] ; [11.84615385 16.15384615],0
v3,1,0.582889,0.301587,[11 37] ; [ 8 20],[12. 36.] ; [ 7. 21.],0
n3,1,0.64266,0.21528,[13  7] ; [8 6],[12.35294118  7.64705882] ; [8.64705882 5.35294118],0
v4,1,0.655151,0.199468,[33 14] ; [21  7],[33.84 13.16] ; [20.16  7.84],0
r3,1,0.722978,0.125657,[30 17] ; [19  9],[30.70666667 16.29333333] ; [18.29333333  9.70666667],0
u1,1,0.772081,0.083899,[ 6 44] ; [ 4 24],[ 6.41025641 43.58974359] ; [ 3.58974359 24.41025641],0
r2,1,0.776876,0.080311,[26 20] ; [15 10],[26.56338028 19.43661972] ; [14.43661972 10.56338028],0
d1,1,0.805615,0.060559,[20 30] ; [12 16],[20.51282051 29.48717949] ; [11.48717949 16.51282051],0
b5,1,0.805615,0.060559,[30 20] ; [16 12],[29.48717949 20.51282051] ; [16.51282051 11.48717949],0
a8,1,0.848906,0.036296,[ 2 41] ; [ 1 26],[ 1.84285714 41.15714286] ; [ 1.15714286 25.84285714],0
v1,1,0.947809,0.004285,[15 33] ; [ 8 17],[15.12328767 32.87671233] ; [ 7.87671233 17.12328767],0
a6,1,0.970946,0.001327,[23 27] ; [13 15],[23.07692308 26.92307692] ; [12.92307692 15.07692308],0
s5,1,0.971248,0.001299,[ 8 41] ; [ 4 21],[ 7.94594595 41.05405405] ; [ 4.05405405 20.94594595],0
v2,1,0.989412,0.000176,[18 28] ; [11 17],[18.02702703 27.97297297] ; [10.97297297 17.02702703],0
