Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-05,19.542403,[105   7] ; [30 15],[96.30573248 15.69426752] ; [38.69426752  6.30573248],1
p5,1,0.195113,1.678582,[  9 103] ; [ 1 42],[  7.22580645 104.77419355] ; [ 2.77419355 40.22580645],0
d4,1,0.21703,1.523904,[74 38] ; [25 20],[70.62420382 41.37579618] ; [28.37579618 16.62420382],0
b2,1,0.233958,1.416633,[12 43] ; [11 22],[14.375 40.625] ; [ 8.625 24.375],0
b3,1,0.233958,1.416633,[12 43] ; [11 22],[14.375 40.625] ; [ 8.625 24.375],0
v3,1,0.254958,1.295929,[15 96] ; [ 9 34],[17.2987013 93.7012987] ; [ 6.7012987 36.2987013],0
n5,1,0.260474,1.266234,[72 40] ; [24 20],[68.92307692 43.07692308] ; [27.07692308 16.92307692],0
b1,1,0.270345,1.214995,[44 68] ; [22 23],[47.08280255 64.91719745] ; [18.91719745 26.08280255],0
r4,1,0.289709,1.120971,[84 28] ; [30 15],[81.32484076 30.67515924] ; [32.67515924 12.32484076],0
d1,1,0.318065,0.996885,[31 81] ; [ 9 36],[28.53503185 83.46496815] ; [11.46496815 33.53503185],0
r2,1,0.376237,0.782961,[96 16] ; [36  9],[94.1656051 17.8343949] ; [37.8343949  7.1656051],0
n2,1,0.406175,0.68997,[23 10] ; [8 6],[21.76595745 11.23404255] ; [9.23404255 4.76595745],0
d2,1,0.423181,0.641465,[21 91] ; [11 34],[22.82802548 89.17197452] ; [ 9.17197452 35.82802548],0
v1,1,0.439727,0.596995,[34 77] ; [11 34],[32.01923077 78.98076923] ; [12.98076923 32.01923077],0
n4,1,0.491741,0.472715,[64 48] ; [23 22],[62.06369427 49.93630573] ; [24.93630573 20.06369427],0
b4,1,0.558548,0.342225,[63 49] ; [23 22],[61.35031847 50.64968153] ; [24.64968153 20.35031847],0
a3,1,0.562927,0.334662,[43 67] ; [15 29],[41.42857143 68.57142857] ; [16.57142857 27.42857143],0
n3,1,0.668156,0.183767,[19 14] ; [9 5],[19.65957447 13.34042553] ; [8.34042553 5.65957447],0
r1,1,0.776326,0.080718,[65 47] ; [25 20],[64.20382166 47.79617834] ; [25.79617834 19.20382166],0
b5,1,0.777353,0.079959,[72 40] ; [30 15],[72.76433121 39.23566879] ; [29.23566879 15.76433121],0
p1,1,0.844627,0.038408,[ 11 100] ; [ 4 41],[ 10.67307692 100.32692308] ; [ 4.32692308 40.67307692],0
p12,1,0.869659,0.026926,[  3 109] ; [ 1 44],[  2.85350318 109.14649682] ; [ 1.14649682 43.85350318],0
n1,1,0.874822,0.024818,[11 22] ; [5 9],[11.23404255 21.76595745] ; [4.76595745 9.23404255],0
u3,1,0.971401,0.001285,[36 32] ; [16 14],[36.08163265 31.91836735] ; [15.91836735 14.08163265],0
u2,1,0.971401,0.001285,[36 32] ; [16 14],[36.08163265 31.91836735] ; [15.91836735 14.08163265],0
