Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.46487,[ 7 27] ; [30  8],[17.47222222 16.52777778] ; [19.52777778 18.47222222],1
p1,1,0.317053,1.001066,[ 2 31] ; [ 5 33],[ 3.25352113 29.74647887] ; [ 3.74647887 34.25352113],0
s1,1,0.319019,0.992964,[ 4 30] ; [ 2 36],[ 2.83333333 31.16666667] ; [ 3.16666667 34.83333333],0
p10,1,0.321999,0.98081,[17 15] ; [24 13],[19.01449275 12.98550725] ; [21.98550725 15.01449275],0
v1,1,0.345801,0.888805,[13 20] ; [10 25],[11.16176471 21.83823529] ; [11.83823529 23.16176471],0
p11,1,0.357856,0.845403,[16 18] ; [22 16],[17.94444444 16.05555556] ; [20.05555556 17.94444444],0
p3,1,0.358671,0.842542,[ 8 25] ; [13 25],[ 9.76056338 23.23943662] ; [11.23943662 26.76056338],0
p8,1,0.372217,0.796251,[10 23] ; [15 22],[11.78571429 21.21428571] ; [13.21428571 23.78571429],0
s7,1,0.406734,0.688328,[ 8 24] ; [12 23],[ 9.55223881 22.44776119] ; [10.44776119 24.55223881],0
a3,1,0.444872,0.583683,[20 14] ; [25 12],[21.54929577 12.45070423] ; [23.45070423 13.54929577],0
b1,1,0.453162,0.562731,[14 20] ; [19 19],[15.58333333 18.41666667] ; [17.41666667 20.58333333],0
u3,1,0.515759,0.422366,[6 8] ; [4 9],[5.18518519 8.81481481] ; [4.81481481 8.18518519],0
d2,1,0.55395,0.350287,[12 22] ; [16 22],[13.22222222 20.77777778] ; [14.77777778 23.22222222],0
v3,1,0.571154,0.320756,[ 7 26] ; [10 27],[ 8.01428571 24.98571429] ; [ 8.98571429 28.01428571],0
d1,1,0.636831,0.22291,[18 16] ; [18 20],[17. 17.] ; [19. 19.],0
b2,1,0.647264,0.209366,[ 4 12] ; [ 7 15],[ 4.63157895 11.36842105] ; [ 6.36842105 15.63157895],0
b3,1,0.647264,0.209366,[ 4 12] ; [ 7 15],[ 4.63157895 11.36842105] ; [ 6.36842105 15.63157895],0
s2,1,0.649954,0.205959,[ 9 25] ; [11 24],[ 9.85507246 24.14492754] ; [10.14492754 24.85507246],0
s6,1,0.663457,0.189351,[14 20] ; [13 23],[13.11428571 20.88571429] ; [13.88571429 22.11428571],0
v4,1,0.672362,0.178851,[22 10] ; [23 13],[21.17647059 10.82352941] ; [23.82352941 12.17647059],0
s4,1,0.674126,0.176813,[ 6 28] ; [ 8 29],[ 6.70422535 27.29577465] ; [ 7.29577465 29.70422535],0
b5,1,0.760676,0.092777,[20 14] ; [21 17],[19.36111111 14.63888889] ; [21.63888889 16.36111111],0
r1,1,0.811278,0.057015,[11 23] ; [11 26],[10.53521127 23.46478873] ; [11.46478873 25.53521127],0
p2,1,0.816684,0.053737,[20 13] ; [22 16],[19.52112676 13.47887324] ; [22.47887324 15.52112676],0
v2,1,0.852502,0.034569,[15 18] ; [16 21],[14.61428571 18.38571429] ; [16.38571429 20.61428571],0
b4,1,0.883077,0.02163,[20 14] ; [23 15],[20.30555556 13.69444444] ; [22.69444444 15.30555556],0
r2,1,0.914733,0.011464,[19 12] ; [21 14],[18.78787879 12.21212121] ; [21.21212121 13.78787879],0
p12,1,0.951622,0.003681,[ 1 33] ; [ 1 36],[ 0.95774648 33.04225352] ; [ 1.04225352 35.95774648],0
d3,1,0.957806,0.002799,[25  9] ; [27 10],[24.90140845  9.09859155] ; [27.09859155  9.90140845],0
s3,1,0.959286,0.002606,[13 20] ; [14 21],[13.10294118 19.89705882] ; [13.89705882 21.10294118],0
d5,1,0.987681,0.000238,[26  8] ; [29  9],[25.97222222  8.02777778] ; [29.02777778  8.97222222],0
u2,1,1.0,0.0,[7 7] ; [6 6],[7. 7.] ; [6. 6.],0
