Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,93.159359,[283   5] ; [25 18],[267.98791541  20.01208459] ; [40.01208459  2.98791541],1
u1,1,0.012818,6.194095,[ 76 213] ; [ 4 40],[ 69.42942943 219.57057057] ; [10.57057057 33.42942943],0
n5,1,0.01444,5.983484,[212  75] ; [24 19],[205.24848485  81.75151515] ; [30.75151515 12.24848485],0
a2,1,0.016003,5.802557,[106 183] ; [ 8 36],[ 98.93693694 190.06306306] ; [15.06306306 28.93693694],0
n4,1,0.028919,4.772433,[221  67] ; [27 17],[215.13253012  72.86746988] ; [32.86746988 11.13253012],0
a7,1,0.033427,4.523762,[230  59] ; [28 15],[224.58433735  64.41566265] ; [33.41566265  9.58433735],0
a1,1,0.036053,4.394602,[  8 281] ; [ 4 40],[ 10.41441441 278.58558559] ; [ 1.58558559 42.41441441],0
b5,1,0.038362,4.288882,[191  98] ; [22 22],[184.85585586 104.14414414] ; [28.14414414 15.85585586],0
v1,1,0.046098,3.978003,[139 140] ; [14 28],[132.98130841 146.01869159] ; [20.01869159 21.98130841],0
n2,1,0.053137,3.739615,[45 21] ; [11 13],[41.06666667 24.93333333] ; [14.93333333  9.06666667],0
n3,1,0.053644,3.723735,[47 20] ; [11 12],[43.17777778 23.82222222] ; [14.82222222  8.17777778],0
u2,1,0.064235,3.424508,[39 20] ; [5 8],[36.05555556 22.94444444] ; [7.94444444 5.05555556],0
v3,1,0.086335,2.941415,[116 152] ; [13 31],[110.80769231 157.19230769] ; [18.19230769 25.80769231],0
a8,1,0.091921,2.840406,[ 37 219] ; [ 2 39],[ 33.61616162 222.38383838] ; [ 5.38383838 35.61616162],0
s2,1,0.107971,2.583672,[144 142] ; [16 27],[139.0881459 146.9118541] ; [20.9118541 22.0881459],0
p1,1,0.109984,2.554451,[ 15 273] ; [ 5 39],[ 17.34939759 270.65060241] ; [ 2.65060241 41.34939759],0
b4,1,0.120453,2.411425,[168 121] ; [31 13],[172.70570571 116.29429429] ; [26.29429429 17.70570571],0
b1,1,0.13584,2.224464,[ 98 191] ; [20 24],[102.40840841 186.59159159] ; [15.59159159 28.40840841],0
v2,1,0.174659,1.84249,[170 104] ; [22 21],[165.95583596 108.04416404] ; [26.04416404 16.95583596],0
s7,1,0.177601,1.817585,[127 147] ; [14 26],[123.03821656 150.96178344] ; [17.96178344 22.03821656],0
a3,1,0.189502,1.721487,[229  60] ; [31 13],[225.64564565  63.35435435] ; [34.35435435  9.64564565],0
u3,1,0.205187,1.605064,[39 21] ; [6 7],[36.98630137 23.01369863] ; [8.01369863 4.98630137],0
n1,1,0.207126,1.591399,[26 40] ; [ 6 18],[23.46666667 42.53333333] ; [ 8.53333333 15.46666667],0
s3,1,0.249219,1.327678,[156 129] ; [19 23],[152.52293578 132.47706422] ; [22.47706422 19.52293578],0
b3,1,0.265518,1.239758,[ 69 111] ; [ 8 21],[ 66.31578947 113.68421053] ; [10.68421053 18.31578947],0
b2,1,0.265518,1.239758,[ 69 111] ; [ 8 21],[ 66.31578947 113.68421053] ; [10.68421053 18.31578947],0
a4,1,0.277503,1.179277,[166 122] ; [21 22],[162.70694864 125.29305136] ; [24.29305136 18.70694864],0
s1,1,0.328036,0.956635,[  6 279] ; [ 2 42],[  6.93009119 278.06990881] ; [ 1.06990881 42.93009119],0
p5,1,0.436413,0.605695,[ 23 262] ; [ 5 38],[ 24.32926829 260.67073171] ; [ 3.67073171 39.32926829],0
d4,1,0.47431,0.511918,[284   3] ; [42  1],[283.52121212   3.47878788] ; [42.47878788  0.52121212],0
s5,1,0.591097,0.288635,[ 87 191] ; [12 32],[ 85.47204969 192.52795031] ; [13.52795031 30.47204969],0
d2,1,0.758794,0.094289,[206  82] ; [31 11],[206.83636364  81.16363636] ; [30.16363636 11.83636364],0
s4,1,0.845896,0.037775,[ 36 250] ; [ 6 38],[ 36.4 249.6] ; [ 5.6 38.4],0
d5,1,0.847637,0.036915,[280   8] ; [43  1],[280.19277108   7.80722892] ; [42.80722892  1.19277108],0
d3,1,0.880946,0.022431,[253  35] ; [39  5],[253.30120482  34.69879518] ; [38.69879518  5.30120482],0
