Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.6e-05,18.622027,[ 9 19] ; [42 10],[17.85 10.15] ; [33.15 18.85],1
s1,1,0.274654,1.193354,[ 2 26] ; [ 8 43],[ 3.5443038 24.4556962] ; [ 6.4556962 44.5443038],0
p8,1,0.379386,0.77269,[ 9 19] ; [12 40],[ 7.35 20.65] ; [13.65 38.35],0
s5,1,0.390257,0.73814,[12 14] ; [18 32],[10.26315789 15.73684211] ; [19.73684211 30.26315789],0
r2,1,0.423161,0.641521,[25  3] ; [49  3],[25.9  2.1] ; [48.1  3.9],0
a1,1,0.423161,0.641521,[ 3 25] ; [ 3 49],[ 2.1 25.9] ; [ 3.9 48.1],0
r4,1,0.433765,0.612721,[23  5] ; [46  6],[24.15  3.85] ; [44.85  7.15],0
p6,1,0.44107,0.593497,[ 7 21] ; [17 34],[ 8.50632911 19.49367089] ; [15.49367089 35.50632911],0
r3,1,0.467671,0.527473,[27  1] ; [48  4],[26.25  1.75] ; [48.75  3.25],0
v1,1,0.467865,0.527015,[15 13] ; [31 19],[16.51282051 11.48717949] ; [29.48717949 20.51282051],0
n2,1,0.468084,0.526496,[11  2] ; [11  4],[10.21428571  2.78571429] ; [11.78571429  3.21428571],0
s4,1,0.494953,0.465741,[ 9 19] ; [13 39],[ 7.7 20.3] ; [14.3 37.7],0
a6,1,0.495588,0.464372,[14 14] ; [29 21],[15.43589744 12.56410256] ; [27.56410256 22.43589744],0
a8,1,0.497605,0.460041,[ 2 26] ; [ 6 44],[ 2.87179487 25.12820513] ; [ 5.12820513 44.87179487],0
d2,1,0.521034,0.411846,[13 15] ; [27 23],[14.35897436 13.64102564] ; [25.64102564 24.35897436],0
s3,1,0.522592,0.408776,[22  6] ; [43  8],[23.03797468  4.96202532] ; [41.96202532  9.03797468],0
a5,1,0.527296,0.3996,[18 10] ; [37 15],[19.25  8.75] ; [35.75 16.25],0
p1,1,0.531921,0.39072,[ 2 26] ; [ 6 46],[ 2.8 25.2] ; [ 5.2 46.8],0
b1,1,0.541721,0.372359,[12 16] ; [26 26],[13.3 14.7] ; [24.7 27.3],0
d4,1,0.60789,0.263259,[21  7] ; [40 10],[21.8974359  6.1025641] ; [39.1025641 10.8974359],0
v4,1,0.648207,0.208168,[25  3] ; [48  4],[25.55  2.45] ; [47.45  4.55],0
u4,1,0.667045,0.185078,[ 1 27] ; [ 3 49],[ 1.4 26.6] ; [ 2.6 49.4],0
a3,1,0.704477,0.143856,[20  8] ; [35 17],[19.25  8.75] ; [35.75 16.25],0
s6,1,0.721602,0.126963,[22  5] ; [44  8],[22.55696203  4.44303797] ; [43.44303797  8.55696203],0
a4,1,0.742476,0.107962,[14 14] ; [24 28],[13.3 14.7] ; [24.7 27.3],0
p4,1,0.752476,0.099462,[12 16] ; [20 31],[11.34177215 16.65822785] ; [20.65822785 30.34177215],0
p7,1,0.761439,0.092168,[13 15] ; [21 28],[12.36363636 15.63636364] ; [21.63636364 27.36363636],0
n1,1,0.795012,0.0675,[5 7] ; [7 8],[5.33333333 6.66666667] ; [6.66666667 8.33333333],0
b5,1,0.823479,0.049762,[19  9] ; [34 18],[18.55  9.45] ; [34.45 17.55],0
a2,1,0.880655,0.022542,[ 5 23] ; [10 42],[ 5.25 22.75] ; [ 9.75 42.25],0
d5,1,0.922707,0.009414,[21  7] ; [37 13],[20.82051282  7.17948718] ; [37.17948718 12.82051282],0
b2,1,1.0,0.0,[ 5 10] ; [12 24],[ 5. 10.] ; [12. 24.],0
b3,1,1.0,0.0,[ 5 10] ; [12 24],[ 5. 10.] ; [12. 24.],0
