Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.0779,[ 28 126] ; [37 38],[ 43.71179039 110.28820961] ; [21.28820961 53.71179039],1
d4,1,0.614489,0.25369,[117  37] ; [60 16],[118.51304348  35.48695652] ; [58.48695652 17.51304348],0
n4,1,0.620606,0.245017,[120  34] ; [57 19],[118.51304348  35.48695652] ; [58.48695652 17.51304348],0
u3,1,0.640873,0.217603,[36 27] ; [12  7],[36.87804878 26.12195122] ; [11.12195122  7.87804878],0
b4,1,0.716324,0.132042,[91 63] ; [43 33],[89.72173913 64.27826087] ; [44.27826087 31.72173913],0
a6,1,0.735487,0.114133,[104  50] ; [53 23],[105.12173913  48.87826087] ; [51.87826087 24.12173913],0
r4,1,0.739218,0.110815,[138  16] ; [67  9],[137.26086957  16.73913043] ; [67.73913043  8.26086957],0
d5,1,0.740385,0.109788,[127  27] ; [64 12],[127.88695652  26.11304348] ; [63.11304348 12.88695652],0
b5,1,0.785545,0.074039,[86 68] ; [41 35],[85.03478261 68.96521739] ; [41.96521739 34.03478261],0
v1,1,0.810814,0.057301,[80 71] ; [41 34],[80.84513274 70.15486726] ; [40.15486726 34.84513274],0
r3,1,0.826469,0.048063,[145   9] ; [71  5],[144.62608696   9.37391304] ; [71.37391304  4.62608696],0
v2,1,0.83754,0.042042,[85 65] ; [43 31],[85.71428571 64.28571429] ; [42.28571429 31.71428571],0
r1,1,0.853693,0.034007,[122  32] ; [61 15],[122.53043478  31.46956522] ; [60.46956522 15.53043478],0
n1,1,0.864154,0.029271,[10 18] ; [ 8 13],[10.28571429 17.71428571] ; [ 7.71428571 13.28571429],0
a7,1,0.870963,0.026385,[111  43] ; [54 22],[110.47826087  43.52173913] ; [54.52173913 21.47826087],0
a4,1,0.872169,0.02589,[67 86] ; [32 43],[66.43421053 86.56578947] ; [32.56578947 42.43421053],0
n6,1,0.915138,0.011355,[128  25] ; [64 12],[128.27947598  24.72052402] ; [63.72052402 12.27947598],0
s4,1,1.0,0.0,[ 18 134] ; [ 9 67],[ 18. 134.] ; [ 9. 67.],0
