Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,25.178363,[ 26 211] ; [30 56],[ 41.08978328 195.91021672] ; [14.91021672 71.08978328],1
s1,1,0.10941,2.562729,[  7 227] ; [ 6 80],[  9.50625 224.49375] ; [ 3.49375 82.50625],0
a1,1,0.114252,2.494402,[ 16 222] ; [ 2 87],[ 13.10091743 224.89908257] ; [ 4.89908257 84.10091743],0
a7,1,0.145969,2.113878,[146  89] ; [63 26],[151.58950617  83.41049383] ; [57.41049383 31.58950617],0
n4,1,0.164685,1.93067,[153  84] ; [64 24],[158.24307692  78.75692308] ; [58.75692308 29.24307692],0
n6,1,0.1925,1.698382,[168  67] ; [70 19],[172.62345679  62.37654321] ; [65.37654321 23.62345679],0
a6,1,0.200277,1.640356,[147  90] ; [62 27],[151.94171779  85.05828221] ; [57.05828221 31.94171779],0
p1,1,0.255035,1.295511,[  7 230] ; [ 5 84],[  8.72392638 228.27607362] ; [ 3.27607362 85.72392638],0
n5,1,0.260769,1.26467,[148  87] ; [62 27],[152.31481481  82.68518519] ; [57.68518519 31.31481481],0
p12,1,0.261204,1.262366,[ 12 224] ; [ 2 87],[ 10.16615385 225.83384615] ; [ 3.83384615 85.16615385],0
b1,1,0.319068,0.992764,[ 89 149] ; [28 61],[ 85.1559633 152.8440367] ; [31.8440367 57.1559633],0
a8,1,0.320539,0.986744,[ 25 200] ; [12 66],[ 27.47524752 197.52475248] ; [ 9.52475248 68.47524752],0
v2,1,0.326712,0.961886,[ 99 124] ; [44 43],[102.86774194 120.13225806] ; [40.13225806 46.86774194],0
r1,1,0.379541,0.772187,[166  71] ; [66 22],[169.18153846  67.81846154] ; [62.81846154 25.18153846],0
a3,1,0.441821,0.591549,[151  85] ; [61 28],[153.94461538  82.05538462] ; [58.05538462 30.94461538],0
r2,1,0.566368,0.328797,[202  29] ; [79  9],[203.48275862  27.51724138] ; [77.51724138 10.48275862],0
b5,1,0.605264,0.26713,[145  93] ; [57 32],[147.02140673  90.97859327] ; [54.97859327 34.02140673],0
b4,1,0.630905,0.230836,[146  92] ; [52 37],[144.11009174  93.88990826] ; [53.88990826 35.11009174],0
p11,1,0.632668,0.22846,[151  87] ; [59 30],[152.8440367  85.1559633] ; [57.1559633 31.8440367],0
u3,1,0.650931,0.204729,[44 43] ; [15 12],[45.02631579 41.97368421] ; [13.97368421 13.02631579],0
v3,1,0.699752,0.14873,[ 64 164] ; [22 63],[ 62.64536741 165.35463259] ; [23.35463259 61.64536741],0
u4,1,0.714819,0.133512,[  4 234] ; [ 1 88],[  3.63914373 234.36085627] ; [ 1.36085627 87.63914373],0
s4,1,0.724714,0.12402,[ 41 195] ; [14 75],[ 39.93846154 196.06153846] ; [15.06153846 73.93846154],0
d4,1,0.796815,0.066292,[179  56] ; [69 20],[179.87654321  55.12345679] ; [68.12345679 20.87654321],0
n3,1,0.86336,0.029618,[60 34] ; [18 11],[59.6097561 34.3902439] ; [18.3902439 10.6097561],0
n2,1,0.868007,0.027619,[64 33] ; [18 10],[63.632 33.368] ; [18.368  9.632],0
n1,1,0.895763,0.017165,[33 63] ; [10 18],[33.29032258 62.70967742] ; [ 9.70967742 18.29032258],0
u2,1,0.942422,0.005217,[47 39] ; [14 12],[46.83928571 39.16071429] ; [14.16071429 11.83928571],0
b2,1,0.998616,3e-06,[47 87] ; [20 37],[47.0052356 86.9947644] ; [19.9947644 37.0052356],0
b3,1,0.998616,3e-06,[47 87] ; [20 37],[47.0052356 86.9947644] ; [19.9947644 37.0052356],0
