Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000894,11.034336,[13 16] ; [42 10],[19.69135802  9.30864198] ; [35.30864198 16.69135802],1
p6,1,0.34689,0.884802,[ 8 21] ; [19 31],[ 9.91139241 19.08860759] ; [17.08860759 32.91139241],0
u1,1,0.413579,0.668489,[ 4 25] ; [11 41],[ 5.37037037 23.62962963] ; [ 9.62962963 42.37037037],0
p5,1,0.423161,0.641521,[ 3 25] ; [ 3 49],[ 2.1 25.9] ; [ 3.9 48.1],0
r4,1,0.45094,0.568289,[26  3] ; [49  3],[26.85185185  2.14814815] ; [48.14814815  3.85185185],0
p9,1,0.454339,0.559804,[23  5] ; [45  6],[24.10126582  3.89873418] ; [43.89873418  7.10126582],0
d5,1,0.459165,0.54793,[22  7] ; [43  9],[23.27160494  5.72839506] ; [41.72839506 10.27160494],0
s5,1,0.521198,0.411523,[11 16] ; [16 32],[ 9.72 17.28] ; [17.28 30.72],0
d4,1,0.534917,0.385042,[25  4] ; [42 10],[23.98765432  5.01234568] ; [43.01234568  8.98765432],0
a1,1,0.54354,0.369019,[ 2 27] ; [ 2 50],[ 1.43209877 27.56790123] ; [ 2.56790123 49.43209877],0
a6,1,0.545604,0.365252,[17 12] ; [34 18],[18.25925926 10.74074074] ; [32.74074074 19.25925926],0
s6,1,0.578748,0.308263,[24  4] ; [42 10],[23.1  4.9] ; [42.9  9.1],0
p8,1,0.581785,0.303357,[11 18] ; [23 29],[12.17283951 16.82716049] ; [21.82716049 30.17283951],0
p4,1,0.630501,0.231381,[14 15] ; [28 24],[15.03703704 13.96296296] ; [26.96296296 25.03703704],0
s1,1,0.643934,0.213633,[ 1 28] ; [ 3 49],[ 1.43209877 27.56790123] ; [ 2.56790123 49.43209877],0
n1,1,0.644965,0.212308,[4 6] ; [4 9],[3.47826087 6.52173913] ; [4.52173913 8.47826087],0
d3,1,0.647863,0.208605,[22  7] ; [37 15],[21.12345679  7.87654321] ; [37.87654321 14.12345679],0
v3,1,0.652909,0.202252,[ 8 19] ; [17 32],[ 8.88157895 18.11842105] ; [16.11842105 32.88157895],0
n2,1,0.672754,0.178397,[7 3] ; [8 5],[6.52173913 3.47826087] ; [8.47826087 4.52173913],0
b4,1,0.72221,0.126385,[19 10] ; [32 20],[18.25925926 10.74074074] ; [32.74074074 19.25925926],0
b5,1,0.72221,0.126385,[19 10] ; [32 20],[18.25925926 10.74074074] ; [32.74074074 19.25925926],0
p3,1,0.752942,0.099075,[15 14] ; [25 27],[14.32098765 14.67901235] ; [25.67901235 26.32098765],0
p11,1,0.799004,0.06484,[21  8] ; [39 13],[21.48148148  7.51851852] ; [38.51851852 13.48148148],0
p10,1,0.880856,0.022465,[22  6] ; [40 10],[22.25641026  5.74358974] ; [39.74358974 10.25641026],0
s2,1,0.900977,0.015482,[18 11] ; [33 19],[18.25925926 10.74074074] ; [32.74074074 19.25925926],0
r1,1,0.913963,0.011673,[22  7] ; [40 12],[22.19753086  6.80246914] ; [39.80246914 12.19753086],0
d1,1,0.935309,0.006588,[17 12] ; [30 22],[16.82716049 12.17283951] ; [30.17283951 21.82716049],0
s7,1,0.948831,0.004118,[16 10] ; [31 20],[15.87012987 10.12987013] ; [31.12987013 19.87012987],0
p12,1,0.950809,0.003806,[ 1 27] ; [ 2 50],[ 1.05 26.95] ; [ 1.95 50.05],0
s3,1,0.9904,0.000145,[19 10] ; [34 18],[18.97530864 10.02469136] ; [34.02469136 17.97530864],0
