Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.3e-05,17.944748,[11 93] ; [15 20],[19.45323741 84.54676259] ; [ 6.54676259 28.45323741],1
n5,1,0.497861,0.459494,[58 45] ; [22 13],[59.71014493 43.28985507] ; [20.28985507 14.71014493],0
b4,1,0.517377,0.41912,[65 39] ; [24 11],[66.58992806 37.41007194] ; [22.41007194 12.58992806],0
d2,1,0.523635,0.406728,[49 53] ; [19 16],[50.62773723 51.37226277] ; [17.37226277 17.62773723],0
v4,1,0.562178,0.335947,[80 23] ; [28  6],[81.19708029 21.80291971] ; [26.80291971  7.19708029],0
s1,1,0.569717,0.323156,[ 6 97] ; [ 3 32],[ 6.7173913 96.2826087] ; [ 2.2826087 32.7173913],0
p2,1,0.591232,0.288425,[51 53] ; [19 16],[52.37410072 51.62589928] ; [17.62589928 17.37410072],0
p7,1,0.694018,0.15477,[37 65] ; [14 21],[37.97080292 64.02919708] ; [13.02919708 21.97080292],0
a1,1,0.71546,0.132884,[ 7 97] ; [ 3 32],[ 7.48201439 96.51798561] ; [ 2.51798561 32.48201439],0
b2,1,0.816205,0.054023,[17 43] ; [ 7 20],[16.55172414 43.44827586] ; [ 7.44827586 19.55172414],0
b3,1,0.816205,0.054023,[17 43] ; [ 7 20],[16.55172414 43.44827586] ; [ 7.44827586 19.55172414],0
p1,1,0.83259,0.044682,[ 7 97] ; [ 2 33],[ 6.73381295 97.26618705] ; [ 2.26618705 32.73381295],0
p4,1,0.843911,0.038767,[36 66] ; [13 22],[36.48175182 65.51824818] ; [12.51824818 22.48175182],0
p3,1,0.958763,0.002674,[28 76] ; [ 9 25],[27.88405797 76.11594203] ; [ 9.11594203 24.88405797],0
a7,1,0.983709,0.000417,[61 41] ; [21 14],[61.05109489 40.94890511] ; [20.94890511 14.05109489],0
p5,1,0.986515,0.000286,[  3 100] ; [ 1 34],[  2.98550725 100.01449275] ; [ 1.01449275 33.98550725],0
