Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,35.937215,[11 23] ; [88 15],[24.56934307  9.43065693] ; [74.43065693 28.56934307],1
p10,1,0.045544,3.998395,[10 22] ; [52 49],[14.91729323 17.08270677] ; [47.08270677 53.91729323],0
p7,1,0.050257,3.832876,[ 7 26] ; [40 60],[11.66165414 21.33834586] ; [35.33834586 64.66165414],0
s8,1,0.053225,3.736845,[ 4 31] ; [28 74],[ 8.17518248 26.82481752] ; [23.82481752 78.17518248],0
r2,1,0.06681,3.359707,[26  8] ; [90 11],[29.21481481  4.78518519] ; [86.78518519 14.21481481],0
s7,1,0.080586,3.053038,[ 6 27] ; [33 63],[ 9.97674419 23.02325581] ; [29.02325581 66.97674419],0
u1,1,0.098345,2.732181,[ 1 34] ; [13 90],[ 3.55072464 31.44927536] ; [10.44927536 92.55072464],0
n3,1,0.116822,2.459416,[7 9] ; [31 16],[9.65079365 6.34920635] ; [28.34920635 18.65079365],0
n4,1,0.156613,2.006625,[24 10] ; [58 44],[20.5 13.5] ; [61.5 40.5],0
p2,1,0.157189,2.001061,[13 22] ; [52 50],[16.60583942 18.39416058] ; [48.39416058 53.60583942],0
a6,1,0.159118,1.982584,[17 18] ; [64 39],[20.54347826 14.45652174] ; [60.45652174 42.54347826],0
s4,1,0.160156,1.972751,[ 4 31] ; [23 80],[ 6.84782609 28.15217391] ; [20.15217391 82.84782609],0
v1,1,0.219615,1.506884,[10 25] ; [41 61],[13.02919708 21.97080292] ; [37.97080292 64.02919708],0
b4,1,0.235259,1.408783,[16 19] ; [59 44],[19.02173913 15.97826087] ; [55.97826087 47.02173913],0
a1,1,0.254042,1.300937,[ 5 30] ; [ 8 95],[ 3.29710145 31.70289855] ; [ 9.70289855 93.29710145],0
b5,1,0.256297,1.288651,[19 16] ; [67 36],[21.8115942 13.1884058] ; [64.1884058 38.8115942],0
u2,1,0.31156,1.02405,[ 7 15] ; [12 14],[ 8.70833333 13.29166667] ; [10.29166667 15.70833333],0
n6,1,0.392153,0.732257,[17 17] ; [59 42],[19.14074074 14.85925926] ; [56.85925926 44.14074074],0
b3,1,0.442436,0.589955,[ 9 10] ; [19 32],[ 7.6 11.4] ; [20.4 30.6],0
b2,1,0.442436,0.589955,[ 9 10] ; [19 32],[ 7.6 11.4] ; [20.4 30.6],0
p9,1,0.443108,0.58822,[14 17] ; [52 46],[15.86046512 15.13953488] ; [50.13953488 47.86046512],0
n1,1,0.49716,0.460993,[ 6 12] ; [20 27],[ 7.2 10.8] ; [18.8 28.2],0
n2,1,0.500718,0.453415,[10  8] ; [31 17],[11.18181818  6.81818182] ; [29.81818182 18.18181818],0
p6,1,0.568846,0.324617,[ 7 26] ; [17 84],[ 5.91044776 27.08955224] ; [18.08955224 82.91044776],0
a8,1,0.599605,0.275592,[ 4 28] ; [ 9 88],[ 3.2248062 28.7751938] ; [ 9.7751938 87.2248062],0
p8,1,0.624308,0.239859,[ 8 26] ; [20 82],[ 7. 27.] ; [21. 81.],0
s1,1,0.704419,0.143915,[ 3 31] ; [ 7 95],[ 2.5 31.5] ; [ 7.5 94.5],0
b1,1,0.768048,0.086983,[17 18] ; [53 50],[17.75362319 17.24637681] ; [52.24637681 50.75362319],0
u3,1,0.772822,0.083339,[ 7 15] ; [10 18],[ 7.48 14.52] ; [ 9.52 18.48],0
v3,1,0.887366,0.020061,[ 8 24] ; [26 73],[ 8.30534351 23.69465649] ; [25.69465649 73.30534351],0
