Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1.9e-05,18.29757,[ 1 32] ; [15 15],[ 8.38095238 24.61904762] ; [ 7.61904762 22.38095238],1
b3,1,0.427801,0.628786,[ 8 12] ; [ 5 13],[ 6.84210526 13.15789474] ; [ 6.15789474 11.84210526],0
b2,1,0.427801,0.628786,[ 8 12] ; [ 5 13],[ 6.84210526 13.15789474] ; [ 6.15789474 11.84210526],0
u1,1,0.48166,0.495103,[ 1 33] ; [ 2 28],[ 1.59375 32.40625] ; [ 1.40625 28.59375],0
n2,1,0.483522,0.490909,[8 8] ; [7 4],[8.88888889 7.11111111] ; [6.11111111 4.88888889],0
b1,1,0.495516,0.464527,[21 13] ; [16 14],[19.65625 14.34375] ; [17.34375 12.65625],0
s7,1,0.497601,0.460048,[ 6 25] ; [ 7 19],[ 7.07017544 23.92982456] ; [ 5.92982456 20.07017544],0
a1,1,0.540186,0.375194,[ 2 32] ; [ 3 27],[ 2.65625 31.34375] ; [ 2.34375 27.65625],0
d1,1,0.548733,0.359592,[ 9 25] ; [10 20],[10.09375 23.90625] ; [ 8.90625 21.09375],0
r3,1,0.564731,0.331579,[22 11] ; [22  8],[23.04761905  9.95238095] ; [20.95238095  9.04761905],0
n4,1,0.593803,0.284444,[17 17] ; [17 13],[18.0625 15.9375] ; [15.9375 14.0625],0
u2,1,0.654001,0.200893,[9 9] ; [7 5],[9.6 8.4] ; [6.4 5.6],0
n3,1,0.679365,0.170842,[10  6] ; [6 5],[9.48148148 6.51851852] ; [6.51851852 4.48148148],0
r1,1,0.697974,0.150588,[12 22] ; [12 18],[12.75 21.25] ; [11.25 18.75],0
a8,1,0.727724,0.121212,[ 6 27] ; [ 4 23],[ 5.5 27.5] ; [ 4.5 22.5],0
d2,1,0.735544,0.114082,[10 24] ; [10 20],[10.625 23.375] ; [ 9.375 20.625],0
p1,1,0.748324,0.102944,[ 3 31] ; [ 2 28],[ 2.65625 31.34375] ; [ 2.34375 27.65625],0
a2,1,0.748324,0.102944,[ 3 31] ; [ 2 28],[ 2.65625 31.34375] ; [ 2.34375 27.65625],0
a7,1,0.790027,0.070903,[17 17] ; [16 14],[17.53125 16.46875] ; [15.46875 14.53125],0
n1,1,0.89466,0.017532,[ 4 12] ; [3 8],[ 4.14814815 11.85185185] ; [2.85185185 8.14814815],0
