Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.920102,[105  23] ; [ 7 14],[96.2147651 31.7852349] ; [15.7852349  5.2147651],1
b2,1,0.653425,0.201609,[28 52] ; [5 7],[28.69565217 51.30434783] ; [4.30434783 7.69565217],0
b4,1,0.69018,0.15889,[79 49] ; [12  9],[78.17449664 49.82550336] ; [12.82550336  8.17449664],0
s1,1,0.6942,0.154576,[  9 118] ; [ 1 20],[  8.58108108 118.41891892] ; [ 1.41891892 19.58108108],0
p2,1,0.714426,0.133896,[102  26] ; [16  5],[101.36912752  26.63087248] ; [16.63087248  4.36912752],0
v3,1,0.754863,0.09749,[43 79] ; [ 6 13],[42.39716312 79.60283688] ; [ 6.60283688 12.39716312],0
a2,1,0.769957,0.085516,[ 28 100] ; [ 4 17],[ 27.48993289 100.51006711] ; [ 4.51006711 16.48993289],0
a5,1,0.790239,0.070756,[94 34] ; [16  5],[94.4966443 33.5033557] ; [15.5033557  5.4966443],0
r3,1,0.790771,0.070389,[120   8] ; [20  1],[120.26845638   7.73154362] ; [19.73154362  1.26845638],0
n3,1,0.861623,0.030383,[23 10] ; [6 3],[22.78571429 10.21428571] ; [6.21428571 2.78571429],0
r1,1,0.878452,0.023388,[98 30] ; [15  5],[97.72972973 30.27027027] ; [15.27027027  4.72972973],0
p1,1,0.928863,0.00797,[ 13 115] ; [ 2 19],[ 12.88590604 115.11409396] ; [ 2.11409396 18.88590604],0
n2,1,0.953574,0.00339,[21 11] ; [6 3],[21.07317073 10.92682927] ; [5.92682927 3.07317073],0
n1,1,0.956962,0.002912,[15 18] ; [4 5],[14.92857143 18.07142857] ; [4.07142857 4.92857143],0
v2,1,0.960099,0.002503,[68 57] ; [11  9],[68.10344828 56.89655172] ; [10.89655172  9.10344828],0
