Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.000373,12.663726,[ 2 17] ; [7 2],[ 6.10714286 12.89285714] ; [2.89285714 6.10714286],1
r4,1,0.258437,1.277111,[ 8 30] ; [ 2 19],[ 6.44067797 31.55932203] ; [ 3.55932203 17.44067797],0
p3,1,0.299901,1.074634,[12 26] ; [ 4 17],[10.30508475 27.69491525] ; [ 5.69491525 15.30508475],0
p5,1,0.332214,0.94025,[ 5 33] ; [ 1 19],[ 3.93103448 34.06896552] ; [ 2.06896552 17.93103448],0
v2,1,0.342242,0.902016,[ 7 30] ; [ 2 19],[ 5.74137931 31.25862069] ; [ 3.25862069 17.74137931],0
s8,1,0.342242,0.902016,[ 7 30] ; [ 2 19],[ 5.74137931 31.25862069] ; [ 3.25862069 17.74137931],0
p10,1,0.383523,0.75938,[15 22] ; [11 10],[16.5862069 20.4137931] ; [ 9.4137931 11.5862069],0
p8,1,0.391973,0.732814,[ 9 28] ; [ 7 13],[10.38596491 26.61403509] ; [ 5.61403509 14.38596491],0
d4,1,0.393248,0.728874,[21 17] ; [14  7],[22.54237288 15.45762712] ; [12.45762712  8.54237288],0
b4,1,0.419763,0.650979,[24 14] ; [11 10],[22.54237288 15.45762712] ; [12.45762712  8.54237288],0
a2,1,0.446536,0.57943,[ 4 34] ; [ 1 20],[ 3.22033898 34.77966102] ; [ 1.77966102 19.22033898],0
d5,1,0.448125,0.575391,[22 16] ; [10 11],[20.61016949 17.38983051] ; [11.38983051  9.61016949],0
u2,1,0.506984,0.440286,[ 6 13] ; [4 5],[ 6.78571429 12.21428571] ; [3.21428571 5.78571429],0
r1,1,0.510796,0.432437,[13 25] ; [ 9 12],[14.16949153 23.83050847] ; [ 7.83050847 13.16949153],0
n1,1,0.553564,0.350972,[11 10] ; [5 7],[10.18181818 10.81818182] ; [5.81818182 6.18181818],0
n3,1,0.553564,0.350972,[10 11] ; [7 5],[10.81818182 10.18181818] ; [6.18181818 5.81818182],0
s1,1,0.646734,0.210042,[ 3 35] ; [ 1 20],[ 2.57627119 35.42372881] ; [ 1.42372881 19.57627119],0
n2,1,0.691801,0.157143,[12  9] ; [6 6],[11.45454545  9.54545455] ; [6.54545455 5.45454545],0
r2,1,0.71632,0.132046,[24 12] ; [13  8],[23.36842105 12.63157895] ; [13.63157895  7.36842105],0
p4,1,0.726099,0.122724,[11 27] ; [ 7 14],[11.59322034 26.40677966] ; [ 6.40677966 14.59322034],0
a7,1,0.739119,0.110902,[18 20] ; [ 9 12],[17.38983051 20.61016949] ; [ 9.61016949 11.38983051],0
a3,1,0.749597,0.10187,[19 17] ; [12  9],[19.57894737 16.42105263] ; [11.42105263  9.57894737],0
p9,1,0.759419,0.093786,[16 19] ; [10 10],[16.54545455 18.45454545] ; [ 9.45454545 10.54545455],0
s4,1,0.806749,0.05984,[ 8 30] ; [ 5 16],[ 8.37288136 29.62711864] ; [ 4.62711864 16.37288136],0
s7,1,0.821925,0.050657,[ 9 27] ; [ 4 14],[ 8.66666667 27.33333333] ; [ 4.33333333 13.66666667],0
b5,1,0.831512,0.045268,[21 17] ; [11 10],[20.61016949 17.38983051] ; [11.38983051  9.61016949],0
d3,1,0.831512,0.045268,[17 21] ; [10 11],[17.38983051 20.61016949] ; [ 9.61016949 11.38983051],0
p6,1,0.845273,0.038085,[ 6 31] ; [ 3 18],[ 5.74137931 31.25862069] ; [ 3.25862069 17.74137931],0
p11,1,0.924073,0.009083,[14 24] ; [ 8 13],[14.16949153 23.83050847] ; [ 7.83050847 13.16949153],0
v1,1,0.991357,0.000117,[ 9 29] ; [ 5 16],[ 9.01694915 28.98305085] ; [ 4.98305085 16.01694915],0
