Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,51.96339,[107   9] ; [10 20],[92.95890411 23.04109589] ; [24.04109589  5.95890411],1
b2,1,0.137198,2.209105,[36 44] ; [ 5 14],[33.13131313 46.86868687] ; [ 7.86868687 11.13131313],0
b3,1,0.137198,2.209105,[36 44] ; [ 5 14],[33.13131313 46.86868687] ; [ 7.86868687 11.13131313],0
d2,1,0.162162,1.953947,[63 53] ; [12 18],[59.5890411 56.4109589] ; [15.4109589 14.5890411],0
b5,1,0.176693,1.825226,[46 70] ; [16 14],[49.26027397 66.73972603] ; [12.73972603 17.26027397],0
s5,1,0.203663,1.615909,[50 60] ; [ 9 19],[47.02898551 62.97101449] ; [11.97101449 16.02898551],0
r2,1,0.222983,1.485067,[100  13] ; [24  6],[97.98601399 15.01398601] ; [26.01398601  3.98601399],0
d5,1,0.239517,1.383435,[92 23] ; [21  9],[89.62068966 25.37931034] ; [23.37931034  6.62068966],0
p6,1,0.240961,1.374961,[55 58] ; [11 19],[52.15384615 60.84615385] ; [13.84615385 16.15384615],0
s3,1,0.243771,1.358653,[71 44] ; [15 15],[68.20689655 46.79310345] ; [17.79310345 12.20689655],0
a8,1,0.281495,1.15986,[16 95] ; [ 2 27],[14.27142857 96.72857143] ; [ 3.72857143 25.27142857],0
a2,1,0.328071,0.956495,[ 10 106] ; [ 1 29],[  8.73972603 107.26027397] ; [ 2.26027397 27.73972603],0
d4,1,0.341562,0.904559,[90 25] ; [21  9],[88.03448276 26.96551724] ; [22.96551724  7.03448276],0
a4,1,0.39535,0.722423,[56 59] ; [12 18],[53.93103448 61.06896552] ; [14.06896552 15.93103448],0
p8,1,0.438339,0.600628,[74 41] ; [17 13],[72.17241379 42.82758621] ; [18.82758621 11.17241379],0
p1,1,0.443712,0.586664,[ 10 105] ; [ 4 26],[ 11.10344828 103.89655172] ; [ 2.89655172 27.10344828],0
a1,1,0.590267,0.289927,[  5 111] ; [ 2 28],[  5.56164384 110.43835616] ; [ 1.43835616 28.56164384],0
a3,1,0.600822,0.273757,[83 33] ; [20 10],[81.83561644 34.16438356] ; [21.16438356  8.83561644],0
s2,1,0.612318,0.256813,[64 52] ; [15 15],[62.76712329 53.23287671] ; [16.23287671 13.76712329],0
a6,1,0.636476,0.22338,[41 75] ; [12 18],[42.10958904 73.89041096] ; [10.89041096 19.10958904],0
b4,1,0.673122,0.177972,[63 53] ; [15 15],[61.97260274 54.02739726] ; [16.02739726 13.97260274],0
n3,1,0.719932,0.128558,[16  8] ; [8 3],[16.45714286  7.54285714] ; [7.54285714 3.45714286],0
a5,1,0.773144,0.083097,[78 38] ; [21  9],[78.65753425 37.34246575] ; [20.34246575  9.65753425],0
d3,1,0.866258,0.028363,[60 56] ; [15 15],[59.5890411 56.4109589] ; [15.4109589 14.5890411],0
b1,1,0.87504,0.024731,[60 56] ; [16 14],[60.38356164 55.61643836] ; [15.61643836 14.38356164],0
n1,1,0.91483,0.011438,[13 12] ; [5 5],[12.85714286 12.14285714] ; [5.14285714 4.85714286],0
p7,1,0.969052,0.001505,[84 30] ; [22  8],[83.91666667 30.08333333] ; [22.08333333  7.91666667],0
