Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,3e-06,21.907268,[51 39] ; [116  21],[66.21145374 23.78854626] ; [100.78854626  36.21145374],1
b5,1,0.038896,4.265421,[61 30] ; [73 64],[53.48245614 37.51754386] ; [80.51754386 56.48245614],0
n5,1,0.052641,3.755289,[50 41] ; [92 44],[56.92511013 34.07488987] ; [85.07488987 50.92511013],0
s1,1,0.084641,2.97346,[ 5 85] ; [  2 133],[ 2.8 87.2] ; [  4.2 130.8],0
s5,1,0.091846,2.84172,[10 75] ; [ 27 104],[14.56018519 70.43981481] ; [ 22.43981481 108.56018519],0
p4,1,0.101667,2.679195,[24 67] ; [50 86],[29.66519824 61.33480176] ; [44.33480176 91.66519824],0
s6,1,0.107462,2.591161,[32 59] ; [62 73],[37.84955752 53.15044248] ; [56.15044248 78.84955752],0
r3,1,0.127097,2.327614,[72 18] ; [119  17],[76.0619469 13.9380531] ; [114.9380531  21.0619469],0
p3,1,0.139334,2.185298,[17 74] ; [37 99],[21.64757709 69.35242291] ; [ 32.35242291 103.64757709],0
v3,1,0.157044,2.002461,[19 68] ; [40 91],[23.54587156 63.45412844] ; [35.45412844 95.54587156],0
p11,1,0.158567,1.98784,[57 34] ; [98 39],[61.86403509 29.13596491] ; [93.13596491 43.86403509],0
p5,1,0.188522,1.729132,[ 2 89] ; [  8 129],[ 3.99122807 87.00877193] ; [  6.00877193 130.99122807],0
p9,1,0.289054,1.124021,[58 31] ; [97 38],[61.58482143 27.41517857] ; [93.41517857 41.58482143],0
p1,1,0.343274,0.898166,[ 6 85] ; [ 14 123],[ 7.98245614 83.01754386] ; [ 12.01754386 124.98245614],0
n3,1,0.421718,0.645523,[21 10] ; [27 19],[19.32467532 11.67532468] ; [28.67532468 17.32467532],0
a8,1,0.453872,0.560965,[ 9 76] ; [ 10 121],[ 7.47685185 77.52314815] ; [ 11.52314815 119.47685185],0
p2,1,0.455373,0.557244,[54 37] ; [88 49],[56.6754386 34.3245614] ; [85.3245614 51.6754386],0
a1,1,0.488178,0.48054,[ 4 87] ; [  9 128],[ 5.18859649 85.81140351] ; [  7.81140351 129.18859649],0
n2,1,0.489862,0.47683,[19 11] ; [34 14],[20.38461538  9.61538462] ; [32.61538462 15.38461538],0
p6,1,0.512519,0.428922,[ 7 83] ; [ 14 121],[ 8.4 81.6] ; [ 12.6 122.4],0
n6,1,0.537775,0.37968,[63 28] ; [100  37],[65.05701754 25.94298246] ; [97.94298246 39.05701754],0
b4,1,0.549928,0.357446,[60 31] ; [85 52],[57.87280702 33.12719298] ; [87.12719298 49.87280702],0
n1,1,0.582167,0.302744,[12 19] ; [15 31],[10.87012987 20.12987013] ; [16.12987013 29.87012987],0
b1,1,0.598631,0.277066,[35 56] ; [48 89],[33.12719298 57.87280702] ; [49.87280702 87.12719298],0
u3,1,0.614808,0.253233,[27 29] ; [25 22],[28.27184466 27.72815534] ; [23.72815534 23.27184466],0
p8,1,0.637836,0.221583,[18 72] ; [ 31 106],[19.42731278 70.57268722] ; [ 29.57268722 107.42731278],0
s8,1,0.763769,0.090322,[12 79] ; [ 20 117],[12.77192982 78.22807018] ; [ 19.22807018 117.77192982],0
u2,1,0.773267,0.083004,[27 29] ; [24 23],[27.72815534 28.27184466] ; [23.27184466 23.72815534],0
u4,1,0.814805,0.054865,[ 1 90] ; [  2 135],[ 1.19736842 89.80263158] ; [  1.80263158 135.19736842],0
s3,1,0.888361,0.019706,[28 59] ; [45 91],[28.47982063 58.52017937] ; [44.52017937 91.47982063],0
s4,1,0.912037,0.012204,[13 78] ; [ 20 115],[13.28761062 77.71238938] ; [ 19.71238938 115.28761062],0
p12,1,0.912415,0.012098,[ 5 86] ; [  8 129],[ 5.18859649 85.81140351] ; [  7.81140351 129.18859649],0
b2,1,0.985963,0.00031,[15 25] ; [28 47],[14.95652174 25.04347826] ; [28.04347826 46.95652174],0
b3,1,0.985963,0.00031,[15 25] ; [28 47],[14.95652174 25.04347826] ; [28.04347826 46.95652174],0
