Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000442,12.345779,[7 5] ; [ 3 30],[2.66666667 9.33333333] ; [ 7.33333333 25.66666667],1
n2,1,0.368688,0.808081,[3 1] ; [8 8],[2.2 1.8] ; [8.8 7.2],0
n5,1,0.372382,0.795699,[9 3] ; [20 13],[7.73333333 4.26666667] ; [21.26666667 11.73333333],0
u2,1,0.416448,0.660317,[2 1] ; [4 6],[1.38461538 1.61538462] ; [4.61538462 5.38461538],0
p12,1,0.445249,0.582717,[ 1 11] ; [ 1 32],[ 0.53333333 11.46666667] ; [ 1.46666667 31.53333333],0
p1,1,0.474549,0.511364,[ 2 10] ; [ 3 30],[ 1.33333333 10.66666667] ; [ 3.66666667 29.33333333],0
p5,1,0.530201,0.394006,[ 1 11] ; [ 5 27],[ 1.63636364 10.36363636] ; [ 4.36363636 27.63636364],0
r1,1,0.558917,0.341583,[5 7] ; [17 16],[5.86666667 6.13333333] ; [16.13333333 16.86666667],0
d1,1,0.581989,0.30303,[8 4] ; [19 14],[7.2 4.8] ; [19.8 13.2],0
d3,1,0.593353,0.285138,[9 3] ; [22 11],[8.26666667 3.73333333] ; [22.73333333 10.26666667],0
u3,1,0.611541,0.257937,[2 1] ; [5 5],[1.61538462 1.38461538] ; [5.38461538 4.61538462],0
d5,1,0.613102,0.255682,[9 3] ; [27  6],[9.6 2.4] ; [26.4  6.6],0
a1,1,0.720681,0.127841,[ 1 11] ; [ 4 29],[ 1.33333333 10.66666667] ; [ 3.66666667 29.33333333],0
a3,1,0.72853,0.120465,[9 3] ; [23 10],[8.53333333 3.46666667] ; [23.46666667  9.53333333],0
a4,1,0.757315,0.095486,[5 7] ; [15 17],[5.45454545 6.54545455] ; [14.54545455 17.45454545],0
v3,1,0.786944,0.073052,[3 9] ; [ 7 26],[2.66666667 9.33333333] ; [ 7.33333333 25.66666667],0
b3,1,0.873631,0.025296,[3 6] ; [ 7 16],[2.8125 6.1875] ; [ 7.1875 15.8125],0
b2,1,0.873631,0.025296,[3 6] ; [ 7 16],[2.8125 6.1875] ; [ 7.1875 15.8125],0
a2,1,0.901305,0.015379,[ 2 10] ; [ 5 28],[ 1.86666667 10.13333333] ; [ 5.13333333 27.86666667],0
d2,1,1.0,0.0,[6 6] ; [16 16],[6. 6.] ; [16. 16.],0
