Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,32.301384,[88 14] ; [144 121],[64.47956403 37.52043597] ; [167.52043597  97.47956403],1
n5,1,0.205378,1.60371,[75 26] ; [178  86],[70.00821918 30.99178082] ; [182.99178082  81.00821918],0
n1,1,0.212114,1.55694,[14 16] ; [27 53],[11.18181818 18.81818182] ; [29.81818182 50.18181818],0
d4,1,0.294332,1.099698,[87 14] ; [216  49],[83.6147541 17.3852459] ; [219.3852459  45.6147541],0
d3,1,0.29847,1.081016,[68 34] ; [192  74],[72.06521739 29.93478261] ; [187.93478261  78.06521739],0
s1,1,0.339376,0.912787,[ 3 97] ; [ 14 246],[ 4.72222222 95.27777778] ; [ 12.27777778 247.72222222],0
b1,1,0.358832,0.841978,[38 64] ; [ 86 181],[34.27642276 67.72357724] ; [ 89.72357724 177.27642276],0
b4,1,0.365688,0.818265,[57 45] ; [163 104],[60.81300813 41.18699187] ; [159.18699187 107.81300813],0
v3,1,0.374998,0.787037,[38 63] ; [ 83 171],[34.42535211 66.57464789] ; [ 86.57464789 167.42535211],0
d1,1,0.375227,0.786281,[61 41] ; [146 121],[57.2195122 44.7804878] ; [149.7804878 117.2195122],0
u1,1,0.379663,0.771791,[17 85] ; [ 35 232],[14.37398374 87.62601626] ; [ 37.62601626 229.37398374],0
n4,1,0.38465,0.755787,[76 26] ; [186  80],[72.61956522 29.38043478] ; [189.38043478  76.61956522],0
r4,1,0.445264,0.582679,[95  7] ; [242  25],[93.15447154  8.84552846] ; [243.84552846  23.15447154],0
a1,1,0.511417,0.431167,[ 4 98] ; [  7 260],[ 3.04065041 98.95934959] ; [  7.95934959 259.04065041],0
v2,1,0.518569,0.416739,[56 44] ; [131 120],[53.27635328 46.72364672] ; [133.72364672 117.27635328],0
a8,1,0.524879,0.404297,[15 73] ; [ 35 211],[13.17365269 74.82634731] ; [ 36.82634731 209.17365269],0
v4,1,0.529643,0.395076,[95  5] ; [247  18],[93.69863014  6.30136986] ; [248.30136986  16.69863014],0
a7,1,0.607047,0.264497,[73 28] ; [200  67],[74.92663043 26.07336957] ; [198.07336957  68.92663043],0
p2,1,0.640755,0.217756,[81 21] ; [206  61],[79.33333333 22.66666667] ; [207.66666667  59.33333333],0
n2,1,0.661674,0.191497,[23  8] ; [56 24],[22.06306306  8.93693694] ; [56.93693694 23.06306306],0
u3,1,0.856976,0.032481,[16 11] ; [51 38],[15.59482759 11.40517241] ; [51.40517241 37.59482759],0
p11,1,0.960563,0.002445,[75 27] ; [197  70],[75.18699187 26.81300813] ; [196.81300813  70.18699187],0
