Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,44.314064,[ 2 69] ; [73 79],[23.87892377 47.12107623] ; [ 51.12107623 100.87892377],1
b2,1,0.487496,0.482048,[ 9 33] ; [22 59],[10.58536585 31.41463415] ; [20.41463415 60.58536585],0
b3,1,0.487496,0.482048,[ 9 33] ; [22 59],[10.58536585 31.41463415] ; [20.41463415 60.58536585],0
s5,1,0.500547,0.453776,[15 52] ; [ 39 107],[16.98591549 50.01408451] ; [ 37.01408451 108.98591549],0
u2,1,0.571685,0.319871,[28 19] ; [38 32],[26.51282051 20.48717949] ; [39.48717949 30.51282051],0
u1,1,0.672397,0.178811,[ 2 69] ; [  6 146],[ 2.5470852 68.4529148] ; [  5.4529148 146.5470852],0
n2,1,0.681582,0.168351,[13  4] ; [22  9],[12.39583333  4.60416667] ; [22.60416667  8.39583333],0
p6,1,0.683963,0.165698,[22 47] ; [51 96],[23.31944444 45.68055556] ; [49.68055556 97.31944444],0
a1,1,0.691947,0.156985,[ 2 69] ; [  3 149],[ 1.59192825 69.40807175] ; [  3.40807175 148.59192825],0
n1,1,0.702655,0.145725,[ 7 10] ; [15 17],[7.63265306 9.36734694] ; [14.36734694 17.63265306],0
r3,1,0.70294,0.145431,[69  2] ; [147   3],[69.39366516  1.60633484] ; [146.60633484   3.39366516],0
p7,1,0.710178,0.138099,[41 26] ; [86 61],[39.76168224 27.23831776] ; [87.23831776 59.76168224],0
s3,1,0.726118,0.122706,[40 28] ; [85 66],[38.81278539 29.18721461] ; [86.18721461 64.81278539],0
n5,1,0.820067,0.051737,[46 23] ; [103  48],[46.73181818 22.26818182] ; [102.26818182  48.73181818],0
p1,1,0.842084,0.039692,[ 6 65] ; [ 14 137],[ 6.3963964 64.6036036] ; [ 13.6036036 137.3963964],0
n6,1,0.856296,0.032794,[58 13] ; [121  29],[57.50678733 13.49321267] ; [121.49321267  28.50678733],0
r2,1,0.898385,0.016308,[68  3] ; [145   7],[67.8161435  3.1838565] ; [145.1838565   6.8161435],0
p12,1,0.907738,0.013431,[ 4 66] ; [  8 142],[ 3.81818182 66.18181818] ; [  8.18181818 141.81818182],0
a8,1,0.930796,0.007542,[ 9 57] ; [ 20 122],[ 9.20192308 56.79807692] ; [ 19.79807692 122.20192308],0
