Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,99.60482,[595 100] ; [12 33],[570.08783784 124.91216216] ; [36.91216216  8.08783784],1
s7,1,0.05259,3.75689,[348 319] ; [15 26],[341.97881356 325.02118644] ; [21.02118644 19.97881356],0
n5,1,0.053814,3.718466,[562 134] ; [31 14],[556.98785425 139.01214575] ; [36.01214575  8.98785425],0
v2,1,0.055227,3.675233,[390 283] ; [18 24],[384.03356643 288.96643357] ; [23.96643357 18.03356643],0
u1,1,0.07194,3.238189,[138 560] ; [ 4 41],[133.39973082 564.60026918] ; [ 8.60026918 36.39973082],0
d5,1,0.077163,3.123666,[569 127] ; [32 13],[564.50202429 131.49797571] ; [36.49797571  8.50202429],0
n3,1,0.079922,3.06648,[104  34] ; [12  9],[100.67924528  37.32075472] ; [15.32075472  5.67924528],0
d4,1,0.103572,2.649659,[574 122] ; [32 12],[569.96756757 126.03243243] ; [36.03243243  7.96756757],0
u2,1,0.105049,2.627168,[101  92] ; [ 5 11],[97.88516746 95.11483254] ; [8.11483254 7.88516746],0
d1,1,0.115555,2.47656,[424 274] ; [22 23],[418.98788694 279.01211306] ; [27.01211306 17.98788694],0
a2,1,0.13979,2.180272,[177 521] ; [ 7 38],[172.85598923 525.14401077] ; [11.14401077 33.85598923],0
p6,1,0.170366,1.879724,[269 418] ; [13 32],[264.66393443 422.33606557] ; [17.33606557 27.66393443],0
v3,1,0.174876,1.84064,[285 390] ; [14 30],[280.70236439 394.29763561] ; [18.29763561 25.70236439],0
u3,1,0.2015,1.631467,[111  83] ; [ 7 10],[108.492891  85.507109] ; [9.507109 7.492891],0
a3,1,0.205492,1.602902,[503 191] ; [28 16],[499.34146341 194.65853659] ; [31.65853659 12.34146341],0
b1,1,0.260244,1.267458,[252 446] ; [20 25],[255.52624495 442.47375505] ; [16.47375505 28.52624495],0
b4,1,0.26168,1.259849,[406 292] ; [30 15],[409.5935397 288.4064603] ; [26.4064603 18.5935397],0
b2,1,0.325986,0.964779,[167 259] ; [ 7 17],[164.72 261.28] ; [ 9.28 14.72],0
b3,1,0.325986,0.964779,[167 259] ; [ 7 17],[164.72 261.28] ; [ 9.28 14.72],0
a4,1,0.467386,0.528149,[323 371] ; [18 26],[320.66937669 373.33062331] ; [20.33062331 23.66937669],0
a1,1,0.522836,0.408296,[ 32 666] ; [ 3 42],[ 32.88021534 665.11978466] ; [ 2.11978466 42.88021534],0
p5,1,0.595972,0.281115,[ 83 609] ; [ 4 39],[ 81.91020408 610.08979592] ; [ 5.08979592 37.91020408],0
d2,1,0.643885,0.213697,[349 347] ; [20 23],[347.52909337 348.47090663] ; [21.47090663 21.52909337],0
s1,1,0.715028,0.133307,[ 22 665] ; [ 1 44],[ 21.58606557 665.41393443] ; [ 1.41393443 43.58606557],0
s4,1,0.739697,0.110393,[120 566] ; [ 7 38],[119.18194254 566.81805746] ; [ 7.81805746 37.18194254],0
n1,1,0.89427,0.017663,[54 83] ; [ 9 13],[54.28301887 82.71698113] ; [ 8.71698113 13.28301887],0
p1,1,0.974069,0.001057,[ 62 631] ; [ 4 40],[ 62.05970149 630.94029851] ; [ 3.94029851 40.05970149],0
b5,1,0.987869,0.000231,[418 280] ; [27 18],[418.04845222 279.95154778] ; [26.95154778 18.04845222],0
