Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,25.912758,[11 19] ; [83 16],[21.86046512  8.13953488] ; [72.13953488 26.86046512],1
n2,1,0.257264,1.283422,[12  6] ; [22  5],[13.6  4.4] ; [20.4  6.6],0
b3,1,0.279728,1.168409,[10 10] ; [26 45],[ 7.91208791 12.08791209] ; [28.08791209 42.91208791],0
b2,1,0.279728,1.168409,[10 10] ; [26 45],[ 7.91208791 12.08791209] ; [28.08791209 42.91208791],0
p5,1,0.285256,1.141875,[ 1 29] ; [ 9 87],[ 2.38095238 27.61904762] ; [ 7.61904762 88.38095238],0
v1,1,0.32424,0.971768,[ 9 21] ; [38 57],[11.28 18.72] ; [35.72 59.28],0
a5,1,0.437164,0.603714,[18 12] ; [67 32],[19.76744186 10.23255814] ; [65.23255814 33.76744186],0
a3,1,0.508319,0.437526,[20  9] ; [61 37],[18.49606299 10.50393701] ; [62.50393701 35.49606299],0
s4,1,0.508816,0.436502,[ 4 26] ; [18 79],[ 5.19685039 24.80314961] ; [16.80314961 80.19685039],0
d3,1,0.576403,0.312086,[15 14] ; [57 42],[16.3125 12.6875] ; [55.6875 43.3125],0
a2,1,0.58666,0.29559,[ 5 25] ; [21 78],[ 6.04651163 23.95348837] ; [19.95348837 79.04651163],0
d2,1,0.590874,0.288981,[13 16] ; [49 48],[14.26984127 14.73015873] ; [47.73015873 49.26984127],0
u2,1,0.626745,0.236501,[4 6] ; [18 19],[4.68085106 5.31914894] ; [17.31914894 19.68085106],0
s3,1,0.741293,0.108993,[14 15] ; [43 53],[13.224 15.776] ; [43.776 52.224],0
b1,1,0.786014,0.073707,[16 14] ; [50 49],[15.34883721 14.65116279] ; [50.65116279 48.34883721],0
s1,1,0.823937,0.049499,[ 2 27] ; [ 8 90],[ 2.28346457 26.71653543] ; [ 7.71653543 90.28346457],0
a4,1,0.845292,0.038075,[13 17] ; [44 53],[13.46456693 16.53543307] ; [43.53543307 53.46456693],0
u4,1,0.860476,0.030894,[ 1 29] ; [ 4 95],[ 1.1627907 28.8372093] ; [ 3.8372093 95.1627907],0
n1,1,0.888117,0.019793,[10  8] ; [15 11],[10.22727273  7.77272727] ; [14.77272727 11.22727273],0
p1,1,0.987154,0.000259,[ 3 27] ; [10 89],[ 3.02325581 26.97674419] ; [ 9.97674419 89.02325581],0
