Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,8.2e-05,15.501732,[ 3 13] ; [23  6],[9.24444444 6.75555556] ; [16.75555556 12.24444444],1
r1,1,0.308987,1.035,[ 4 12] ; [12 18],[ 5.56521739 10.43478261] ; [10.43478261 19.56521739],0
d1,1,0.308987,1.035,[ 4 12] ; [12 18],[ 5.56521739 10.43478261] ; [10.43478261 19.56521739],0
d3,1,0.311816,1.022969,[ 5 11] ; [14 16],[6.60869565 9.39130435] ; [12.39130435 17.60869565],0
s4,1,0.317731,0.998264,[ 1 15] ; [ 5 25],[ 2.08695652 13.91304348] ; [ 3.91304348 26.08695652],0
a4,1,0.343814,0.896158,[ 6 10] ; [ 7 22],[ 4.62222222 11.37777778] ; [ 8.37777778 20.62222222],0
u2,1,0.386876,0.748739,[1 7] ; [ 4 10],[1.81818182 6.18181818] ; [ 3.18181818 10.81818182],0
a2,1,0.401318,0.704375,[ 3 13] ; [ 3 27],[ 2.08695652 13.91304348] ; [ 3.91304348 26.08695652],0
n2,1,0.456605,0.554205,[4 5] ; [5 3],[4.76470588 4.23529412] ; [4.23529412 3.76470588],0
n1,1,0.485845,0.485714,[6 3] ; [4 4],[5.29411765 3.70588235] ; [4.70588235 3.29411765],0
r2,1,0.486205,0.484914,[10  6] ; [15 14],[8.88888889 7.11111111] ; [16.11111111 12.88888889],0
s5,1,0.491556,0.473119,[ 2 14] ; [ 6 23],[ 2.84444444 13.15555556] ; [ 5.15555556 23.84444444],0
a5,1,0.514643,0.424615,[8 8] ; [18 12],[9.04347826 6.95652174] ; [16.95652174 13.04347826],0
a8,1,0.572044,0.319274,[ 4 12] ; [ 5 23],[ 3.27272727 12.72727273] ; [ 5.72727273 22.27272727],0
n4,1,0.626162,0.237302,[13  3] ; [26  4],[13.56521739  2.43478261] ; [25.43478261  4.56521739],0
p1,1,0.626162,0.237302,[ 3 13] ; [ 4 26],[ 2.43478261 13.56521739] ; [ 4.56521739 25.43478261],0
p5,1,0.711086,0.137195,[ 1 14] ; [ 3 27],[ 1.33333333 13.66666667] ; [ 2.66666667 27.33333333],0
d2,1,0.770816,0.08486,[7 9] ; [14 15],[7.46666667 8.53333333] ; [13.53333333 15.46666667],0
a7,1,0.849975,0.035778,[7 9] ; [14 16],[7.30434783 8.69565217] ; [13.69565217 16.30434783],0
b1,1,0.849975,0.035778,[9 7] ; [16 14],[8.69565217 7.30434783] ; [16.30434783 13.69565217],0
s1,1,0.956527,0.002972,[ 1 15] ; [ 2 28],[ 1.04347826 14.95652174] ; [ 1.95652174 28.04347826],0
a3,1,1.0,0.0,[8 7] ; [16 14],[8. 7.] ; [16. 14.],0
