Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.1e-05,19.375415,[26 82] ; [18  8],[35.46268657 72.53731343] ; [ 8.53731343 17.46268657],1
b5,1,0.261274,1.261994,[67 41] ; [13 13],[64.47761194 43.52238806] ; [15.52238806 10.47761194],0
p4,1,0.301144,1.069122,[42 66] ; [13 13],[44.32835821 63.67164179] ; [10.67164179 15.32835821],0
s8,1,0.337477,0.919992,[20 88] ; [ 7 19],[21.76119403 86.23880597] ; [ 5.23880597 20.76119403],0
n6,1,0.385644,0.752631,[73 34] ; [20  6],[74.81954887 32.18045113] ; [18.18045113  7.81954887],0
v3,1,0.441107,0.5934,[15 93] ; [ 5 20],[16.2406015 91.7593985] ; [ 3.7593985 21.2406015],0
p8,1,0.474179,0.512221,[41 66] ; [ 8 18],[39.42105263 67.57894737] ; [ 9.57894737 16.42105263],0
a2,1,0.514856,0.424185,[  8 100] ; [ 1 25],[  7.25373134 100.74626866] ; [ 1.74626866 24.25373134],0
n1,1,0.545739,0.365007,[12 22] ; [5 6],[12.84444444 21.15555556] ; [4.15555556 6.84444444],0
n4,1,0.550728,0.356014,[61 47] ; [13 13],[59.64179104 48.35820896] ; [14.35820896 11.64179104],0
p9,1,0.582259,0.302598,[74 31] ; [19  6],[75.11538462 29.88461538] ; [17.88461538  7.11538462],0
p10,1,0.592358,0.286677,[66 40] ; [17  8],[67.16030534 38.83969466] ; [15.83969466  9.16030534],0
d5,1,0.613595,0.254972,[60 47] ; [16 10],[61.14285714 45.85714286] ; [14.85714286 11.14285714],0
a5,1,0.662183,0.190883,[53 55] ; [14 12],[54. 54.] ; [13. 13.],0
p3,1,0.686865,0.1625,[37 71] ; [10 16],[37.88059701 70.11940299] ; [ 9.11940299 16.88059701],0
a3,1,0.728449,0.12054,[56 52] ; [12 13],[55.21804511 52.78195489] ; [12.78195489 12.21804511],0
p12,1,0.780138,0.077919,[  3 104] ; [ 1 25],[  3.21804511 103.78195489] ; [ 0.78195489 25.21804511],0
n3,1,0.802816,0.062353,[20 14] ; [6 5],[19.64444444 14.35555556] ; [6.35555556 4.64444444],0
a7,1,0.814252,0.055199,[59 48] ; [15 11],[59.53383459 47.46616541] ; [14.46616541 11.53383459],0
r2,1,0.857916,0.032051,[79 26] ; [20  6],[79.35114504 25.64885496] ; [19.64885496  6.35114504],0
p7,1,0.877037,0.02394,[48 57] ; [11 14],[47.65384615 57.34615385] ; [11.34615385 13.65384615],0
b2,1,0.880655,0.022542,[23 42] ; [ 5 10],[22.75 42.25] ; [5.25 9.75],0
b3,1,0.880655,0.022542,[23 42] ; [ 5 10],[22.75 42.25] ; [5.25 9.75],0
b1,1,0.884065,0.021263,[44 64] ; [11 15],[44.32835821 63.67164179] ; [10.67164179 15.32835821],0
r3,1,0.937509,0.006147,[79 28] ; [19  7],[78.84210526 28.15789474] ; [19.15789474  6.84210526],0
p11,1,0.967978,0.001612,[66 42] ; [16 10],[66.08955224 41.91044776] ; [15.91044776 10.08955224],0
u1,1,0.972553,0.001184,[  4 104] ; [ 1 25],[  4.02985075 103.97014925] ; [ 0.97014925 25.02985075],0
