Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,1e-06,23.930602,[57 34] ; [ 45 103],[38.83682008 52.16317992] ; [63.16317992 84.83682008],1
s1,1,0.131348,2.276499,[ 7 81] ; [  5 140],[ 4.53218884 83.46781116] ; [  7.46781116 137.53218884],0
s3,1,0.138542,2.194079,[37 53] ; [74 71],[42.5106383 47.4893617] ; [68.4893617 76.5106383],0
a3,1,0.139007,2.188913,[46 43] ; [91 57],[51.44725738 37.55274262] ; [85.55274262 62.44725738],0
a6,1,0.141433,2.162299,[44 47] ; [86 62],[49.49790795 41.50209205] ; [80.50209205 67.49790795],0
p12,1,0.185666,1.751677,[ 1 90] ; [  6 141],[ 2.67647059 88.32352941] ; [  4.32352941 142.67647059],0
a5,1,0.211427,1.561629,[41 50] ; [79 69],[45.69037657 45.30962343] ; [74.30962343 73.69037657],0
v1,1,0.214879,1.538244,[35 55] ; [67 75],[39.56896552 50.43103448] ; [62.43103448 79.56896552],0
d2,1,0.275075,1.191262,[20 71] ; [ 24 123],[16.82352941 74.17647059] ; [ 27.17647059 119.82352941],0
u3,1,0.286674,1.135178,[20 24] ; [32 25],[22.65346535 21.34653465] ; [29.34653465 27.65346535],0
n4,1,0.311014,1.026366,[55 34] ; [101  47],[58.58227848 30.41772152] ; [97.41772152 50.58227848],0
s6,1,0.315206,1.008734,[42 48] ; [79 69],[45.75630252 44.24369748] ; [75.24369748 72.75630252],0
u1,1,0.318072,0.996858,[ 2 89] ; [  7 141],[ 3.42677824 87.57322176] ; [  5.57322176 142.42677824],0
p1,1,0.350459,0.871795,[ 7 84] ; [  7 140],[ 5.35294118 85.64705882] ; [  8.64705882 138.35294118],0
p6,1,0.351105,0.869458,[14 76] ; [ 30 117],[16.70886076 73.29113924] ; [ 27.29113924 119.70886076],0
s8,1,0.377113,0.780092,[22 68] ; [ 44 104],[24.95798319 65.04201681] ; [ 41.04201681 106.95798319],0
p5,1,0.434116,0.611786,[ 5 86] ; [  5 142],[ 3.82352941 87.17647059] ; [  6.17647059 140.82352941],0
p3,1,0.437451,0.60296,[24 67] ; [ 46 102],[26.65271967 64.34728033] ; [ 43.34728033 104.65271967],0
v3,1,0.457586,0.551794,[22 64] ; [ 44 102],[24.46551724 61.53448276] ; [ 41.53448276 104.46551724],0
n5,1,0.561979,0.33629,[60 29] ; [93 53],[57.94468085 31.05531915] ; [95.05531915 50.94468085],0
s5,1,0.588653,0.292453,[21 67] ; [ 30 114],[19.34482759 68.65517241] ; [ 31.65517241 112.34482759],0
b5,1,0.646759,0.210011,[55 36] ; [85 63],[53.30543933 37.69456067] ; [86.69456067 61.30543933],0
d4,1,0.660082,0.193424,[49 42] ; [84 64],[50.64016736 40.35983264] ; [82.35983264 65.64016736],0
a4,1,0.685948,0.163507,[22 69] ; [ 39 108],[23.32352941 67.67647059] ; [ 37.67647059 109.32352941],0
b2,1,0.720901,0.127631,[18 31] ; [30 59],[17.04347826 31.95652174] ; [30.95652174 58.04347826],0
b3,1,0.720901,0.127631,[18 31] ; [30 59],[17.04347826 31.95652174] ; [30.95652174 58.04347826],0
a7,1,0.723927,0.124761,[52 37] ; [83 65],[50.69620253 38.30379747] ; [84.30379747 63.69620253],0
s4,1,0.741922,0.108445,[17 74] ; [ 25 122],[16.05882353 74.94117647] ; [ 25.94117647 121.05882353],0
n1,1,0.782724,0.076049,[11 22] ; [16 28],[11.57142857 21.42857143] ; [15.42857143 28.57142857],0
s7,1,0.835617,0.043057,[27 58] ; [47 95],[27.7092511 57.2907489] ; [46.2907489 95.7092511],0
a2,1,0.874006,0.025145,[ 6 85] ; [  9 139],[ 5.71129707 85.28870293] ; [  9.28870293 138.71129707],0
p7,1,0.882867,0.021708,[36 54] ; [59 85],[36.53846154 53.46153846] ; [58.46153846 85.53846154],0
d5,1,0.901161,0.015424,[50 40] ; [81 67],[49.53781513 40.46218487] ; [81.46218487 66.53781513],0
p4,1,0.913864,0.0117,[30 60] ; [48 99],[29.62025316 60.37974684] ; [48.37974684 98.62025316],0
a8,1,0.977977,0.000762,[12 74] ; [ 20 122],[12.07017544 73.92982456] ; [ 19.92982456 122.07017544],0
s2,1,0.985041,0.000352,[34 57] ; [54 91],[33.93220339 57.06779661] ; [54.06779661 90.93220339],0
