Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.785104,[134  11] ; [53 26],[121.04910714  23.95089286] ; [65.95089286 13.04910714],1
p6,1,0.015548,5.853335,[45 97] ; [13 65],[ 37.43636364 104.56363636] ; [20.56363636 57.43636364],0
s2,1,0.018948,5.506327,[72 72] ; [27 53],[63.64285714 80.35714286] ; [35.35714286 44.64285714],0
v2,1,0.03907,4.257831,[70 72] ; [26 49],[62.8202765 79.1797235] ; [33.1797235 41.8202765],0
a1,1,0.043778,4.065112,[  5 140] ; [ 8 72],[  8.37777778 136.62222222] ; [ 4.62222222 75.37777778],0
u2,1,0.043985,4.057142,[15 32] ; [17 14],[19.28205128 27.71794872] ; [12.71794872 18.28205128],0
a5,1,0.051539,3.790681,[97 48] ; [43 37],[90.22222222 54.77777778] ; [49.77777778 30.22222222],0
p8,1,0.098146,2.735421,[46 98] ; [17 62],[ 40.68161435 103.31838565] ; [22.31838565 56.68161435],0
d5,1,0.111464,2.533346,[114  30] ; [55 24],[109.13004484  34.86995516] ; [59.86995516 19.13004484],0
p3,1,0.128986,2.30467,[55 90] ; [22 57],[49.84375 95.15625] ; [27.15625 51.84375],0
d1,1,0.149232,2.080079,[78 67] ; [35 45],[72.82222222 72.17777778] ; [40.17777778 39.82222222],0
v3,1,0.201884,1.628691,[47 95] ; [18 55],[42.93023256 99.06976744] ; [22.06976744 50.93023256],0
n1,1,0.202448,1.624625,[22 28] ; [12 27],[19.1011236 30.8988764] ; [14.8988764 24.1011236],0
p1,1,0.210435,1.568429,[  8 137] ; [ 8 72],[ 10.31111111 134.68888889] ; [ 5.68888889 74.31111111],0
r1,1,0.213028,1.550727,[101  42] ; [50 30],[96.82959641 46.17040359] ; [54.17040359 25.82959641],0
a7,1,0.242495,1.366033,[101  43] ; [50 30],[97.07142857 46.92857143] ; [53.92857143 26.07142857],0
s1,1,0.244506,1.354424,[  7 136] ; [ 7 72],[  9.01801802 133.98198198] ; [ 4.98198198 74.01801802],0
v1,1,0.269203,1.220805,[59 84] ; [27 53],[55.14798206 87.85201794] ; [30.85201794 49.14798206],0
a3,1,0.305977,1.047963,[96 46] ; [48 31],[92.52488688 49.47511312] ; [51.47511312 27.52488688],0
a2,1,0.352088,0.865917,[ 35 110] ; [15 65],[ 32.22222222 112.77777778] ; [17.77777778 62.22222222],0
d3,1,0.4096,0.679961,[93 51] ; [46 32],[90.16216216 53.83783784] ; [48.83783784 29.16216216],0
s4,1,0.466479,0.530303,[ 33 111] ; [15 65],[ 30.85714286 113.14285714] ; [17.14285714 62.85714286],0
a6,1,0.494907,0.46584,[85 60] ; [50 29],[87.38839286 57.61160714] ; [47.61160714 31.38839286],0
b1,1,0.514799,0.4243,[75 70] ; [45 35],[77.33333333 67.66666667] ; [42.66666667 37.33333333],0
d2,1,0.526616,0.400917,[72 72] ; [36 43],[69.73991031 74.26008969] ; [38.26008969 40.73991031],0
n3,1,0.531666,0.391206,[33 17] ; [22 15],[31.6091954 18.3908046] ; [23.3908046 13.6091954],0
s3,1,0.629152,0.233213,[70 73] ; [36 43],[68.27927928 74.72072072] ; [37.72072072 41.27927928],0
d4,1,0.647396,0.209199,[110  35] ; [57 21],[108.58744395  36.41255605] ; [58.41255605 19.58744395],0
a4,1,0.760265,0.093106,[62 81] ; [33 47],[60.91928251 82.08071749] ; [34.08071749 45.91928251],0
u3,1,0.824227,0.049333,[22 26] ; [15 16],[22.48101266 25.51898734] ; [14.51898734 16.48101266],0
a8,1,0.930089,0.007697,[ 11 115] ; [ 7 70],[ 11.17241379 114.82758621] ; [ 6.82758621 70.17241379],0
b2,1,0.948742,0.004133,[23 48] ; [14 30],[22.84347826 48.15652174] ; [14.15652174 29.84347826],0
b3,1,0.948742,0.004133,[23 48] ; [14 30],[22.84347826 48.15652174] ; [14.15652174 29.84347826],0
b4,1,0.995047,3.9e-05,[78 67] ; [43 37],[77.97777778 67.02222222] ; [43.02222222 36.97777778],0
