Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.010934,6.476,[9 7] ; [655 149],[12.95609756  3.04390244] ; [651.04390244 152.95609756],0
p9,1,0.571388,0.320366,[12  3] ; [676 117],[12.77227723  2.22772277] ; [675.22772277 117.77227723],0
a5,1,0.603625,0.269564,[11  5] ; [601 206],[11.89793439  4.10206561] ; [600.10206561 206.89793439],0
s3,1,0.618328,0.248224,[7 7] ; [451 345],[7.91604938 6.08395062] ; [450.08395062 345.91604938],0
s7,1,0.636916,0.222798,[6 8] ; [379 391],[6.875 7.125] ; [378.125 391.875],0
r1,1,0.638065,0.221282,[13  3] ; [687 117],[13.65853659  2.34146341] ; [686.34146341 117.65853659],0
a7,1,0.650357,0.205451,[11  5] ; [594 211],[11.79049939  4.20950061] ; [593.20950061 211.79049939],0
p3,1,0.655779,0.198692,[9 7] ; [406 396],[8.11735941 7.88264059] ; [406.88264059 395.11735941],0
a1,1,0.731418,0.117814,[ 1 15] ; [ 36 772],[ 0.7184466 15.2815534] ; [ 36.2815534 771.7184466],0
s2,1,0.740043,0.110089,[9 7] ; [416 383],[8.34355828 7.65644172] ; [416.65644172 382.34355828],0
s4,1,0.817687,0.05314,[ 3 13] ; [132 664],[ 2.66009852 13.33990148] ; [132.33990148 663.66009852],0
a3,1,0.871418,0.026198,[11  4] ; [575 230],[10.7195122  4.2804878] ; [575.2804878 229.7195122],0
p6,1,0.970023,0.001412,[ 6 10] ; [293 498],[ 5.92812887 10.07187113] ; [293.07187113 497.92812887],0
n3,1,0.977005,0.000831,[6 2] ; [126  41],[6.03428571 1.96571429] ; [125.96571429  41.03428571],0
