Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,9.1e-05,15.3125,[31  9] ; [ 5 15],[24. 16.] ; [12.  8.],1
v3,1,0.252658,1.308544,[11 27] ; [ 8 10],[12.89285714 25.10714286] ; [ 6.10714286 11.89285714],0
s7,1,0.283679,1.149381,[17 21] ; [ 5 12],[15.2 22.8] ; [ 6.8 10.2],0
u2,1,0.29008,1.119251,[10  5] ; [3 4],[8.86363636 6.13636364] ; [4.13636364 2.86363636],0
a5,1,0.311102,1.025992,[27 13] ; [16  4],[28.66666667 11.33333333] ; [14.33333333  5.66666667],0
p8,1,0.326804,0.961523,[18 22] ; [ 6 13],[16.27118644 23.72881356] ; [ 7.72881356 11.27118644],0
n1,1,0.342782,0.9,[5 4] ; [3 6],[4. 5.] ; [4. 5.],0
a6,1,0.360241,0.837054,[23 17] ; [ 9 11],[21.33333333 18.66666667] ; [10.66666667  9.33333333],0
s1,1,0.379345,0.772823,[ 3 36] ; [ 3 17],[ 3.96610169 35.03389831] ; [ 2.03389831 17.96610169],0
a7,1,0.461198,0.542986,[24 16] ; [10 10],[22.66666667 17.33333333] ; [11.33333333  8.66666667],0
a4,1,0.464961,0.533927,[18 22] ; [11  9],[19.33333333 20.66666667] ; [ 9.66666667 10.33333333],0
v2,1,0.468022,0.526643,[19 19] ; [12  8],[20.31034483 17.68965517] ; [10.68965517  9.31034483],0
n3,1,0.509893,0.434286,[8 2] ; [6 3],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
b1,1,0.581989,0.30303,[17 23] ; [10 10],[18. 22.] ; [ 9. 11.],0
d3,1,0.581989,0.30303,[23 17] ; [10 10],[22. 18.] ; [11.  9.],0
d1,1,0.581989,0.30303,[23 17] ; [10 10],[22. 18.] ; [11.  9.],0
s6,1,0.591565,0.287907,[28 11] ; [13  7],[27.10169492 11.89830508] ; [13.89830508  6.10169492],0
u4,1,0.611069,0.258621,[ 1 39] ; [ 1 19],[ 1.33333333 38.66666667] ; [ 0.66666667 19.33333333],0
s2,1,0.639903,0.218869,[22 17] ; [10 10],[21.15254237 17.84745763] ; [10.84745763  9.15254237],0
b3,1,0.663911,0.188808,[10 19] ; [5 7],[10.6097561 18.3902439] ; [4.3902439 7.6097561],0
b2,1,0.663911,0.188808,[10 19] ; [5 7],[10.6097561 18.3902439] ; [4.3902439 7.6097561],0
u3,1,0.679109,0.171131,[10  6] ; [5 2],[10.43478261  5.56521739] ; [4.56521739 2.43478261],0
a3,1,0.707278,0.141011,[24 16] ; [13  7],[24.66666667 15.33333333] ; [12.33333333  7.66666667],0
d2,1,0.714849,0.133482,[20 20] ; [11  9],[20.66666667 19.33333333] ; [10.33333333  9.66666667],0
a1,1,0.741182,0.109091,[ 3 37] ; [ 2 18],[ 3.33333333 36.66666667] ; [ 1.66666667 18.33333333],0
a8,1,0.769097,0.086176,[ 3 36] ; [ 1 17],[ 2.73684211 36.26315789] ; [ 1.26315789 16.73684211],0
s5,1,0.790146,0.07082,[13 24] ; [ 6 13],[12.55357143 24.44642857] ; [ 6.44642857 12.55357143],0
u1,1,0.813494,0.055659,[ 7 33] ; [ 4 16],[ 7.33333333 32.66666667] ; [ 3.66666667 16.33333333],0
d4,1,0.836454,0.042614,[29 11] ; [15  5],[29.33333333 10.66666667] ; [14.66666667  5.33333333],0
b5,1,0.853842,0.033937,[23 17] ; [11  9],[22.66666667 17.33333333] ; [11.33333333  8.66666667],0
s4,1,0.963053,0.002146,[ 8 31] ; [ 4 16],[ 7.93220339 31.06779661] ; [ 4.06779661 15.93220339],0
d5,1,1.0,0.0,[30 10] ; [15  5],[30. 10.] ; [15.  5.],0
s3,1,1.0,0.0,[20 20] ; [10 10],[20. 20.] ; [10. 10.],0
