Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2e-06,23.142857,[ 1 24] ; [23 12],[10. 15.] ; [14. 21.],1
s2,1,0.470101,0.521739,[ 7 18] ; [ 7 28],[ 5.83333333 19.16666667] ; [ 8.16666667 26.83333333],0
b4,1,0.484018,0.489796,[12 13] ; [20 15],[13.33333333 11.66666667] ; [18.66666667 16.33333333],0
r1,1,0.524913,0.404229,[ 7 17] ; [13 22],[ 8.13559322 15.86440678] ; [11.86440678 23.13559322],0
p4,1,0.56373,0.333287,[ 5 20] ; [ 9 25],[ 5.93220339 19.06779661] ; [ 8.06779661 25.93220339],0
p11,1,0.594247,0.28376,[ 8 17] ; [ 9 26],[ 7.08333333 17.91666667] ; [ 9.91666667 25.08333333],0
s6,1,0.594247,0.28376,[ 8 17] ; [ 9 26],[ 7.08333333 17.91666667] ; [ 9.91666667 25.08333333],0
v1,1,0.605897,0.266193,[ 5 20] ; [ 9 26],[ 5.83333333 19.16666667] ; [ 8.16666667 26.83333333],0
s5,1,0.626087,0.237405,[ 3 21] ; [ 6 29],[ 3.66101695 20.33898305] ; [ 5.33898305 29.66101695],0
p1,1,0.662521,0.190476,[ 3 22] ; [ 3 32],[ 2.5 22.5] ; [ 3.5 31.5],0
a1,1,0.662521,0.190476,[ 2 23] ; [ 4 31],[ 2.5 22.5] ; [ 3.5 31.5],0
s8,1,0.726393,0.122449,[ 2 23] ; [ 2 33],[ 1.66666667 23.33333333] ; [ 2.33333333 32.66666667],0
u1,1,0.763891,0.090226,[ 1 24] ; [ 2 33],[ 1.25 23.75] ; [ 1.75 33.25],0
b3,1,0.792538,0.069177,[ 6 10] ; [ 7 14],[ 5.62162162 10.37837838] ; [ 7.37837838 13.62162162],0
b2,1,0.792538,0.069177,[ 6 10] ; [ 7 14],[ 5.62162162 10.37837838] ; [ 7.37837838 13.62162162],0
b5,1,0.793428,0.068571,[13 12] ; [17 18],[12.5 12.5] ; [17.5 17.5],0
s7,1,0.81501,0.054741,[ 5 20] ; [ 7 24],[ 5.35714286 19.64285714] ; [ 6.64285714 24.35714286],0
p3,1,0.818625,0.052585,[ 5 20] ; [ 6 28],[ 4.66101695 20.33898305] ; [ 6.33898305 27.66101695],0
s1,1,0.900508,0.01563,[ 3 21] ; [ 4 31],[ 2.84745763 21.15254237] ; [ 4.15254237 30.84745763],0
s3,1,0.905816,0.013999,[ 7 18] ; [10 24],[ 7.20338983 17.79661017] ; [ 9.79661017 24.20338983],0
n4,1,0.992806,8.1e-05,[13 11] ; [19 16],[13.01694915 10.98305085] ; [18.98305085 16.01694915],0
p10,1,1.0,0.0,[ 5 20] ; [ 7 28],[ 5. 20.] ; [ 7. 28.],0
